"data","label","num_stars"
"Mình mua tủ này tại ĐMX được 32 ngày thì tủ bắt đầu có tiếng kêu lạ, nhỏ và không thường xuyên. Sau 5 tháng thì tủ kêu to như đàn gà, kêu ngày kêu đêm. Nhân viên đến bảo hành bảo do điện nhà khách không ổn định và kết cấu của tủ là kêu như vậy . Nếu còn gọi bảo hành nữa thì sẽ thu phí . Sợ luôn","0","1"
"Mới mua nửa tháng máy không lạnh liên hệ bảo hành lề mề chậm trễ","0","1"
"K biết sao 2 hôm nay bắt đầu bị như này","0","2"
"ĐMX và Capsper lừa dối khách hàng. Sp quạt kêu cực kì to mà bảo hành nói bình thường. Khốn khiếp","0","1"
"Tủ không lạnh, bảo hành đổi tủ khác củng không lạnh, đợi chờ hư hết thực phẩm rau củ, quá tệ không nên mua dòng này.","0","1"
"mới mua thì thấy ổn dùng được gần 3 tháng thì bảng điều khiển cảm ứng kêu và nháy chế độ liên tục (trong khi mình không bấm nút). chế độ bảo hành đến giờ vẫn chưa giải quyết được. đề nghị điện máy xanh giải quyết. Nếu không hãy đổi sản phẩm bởi vì đây là lỗi của nhà sản xuất!","0","2"
"Mới mua chưa đc tháng, dùng nước đọng vòng quanh tủ nhue 1 cốc nước lạnh để ngoài trời, đây là mùa hè chứ mùa nồm chắc vắt ra nước","0","1"
"Máy lạnh hư mà bảo hành quá chậm trễ, sẽ ko mua hàng ở dmx lần nào nữa","0","1"
"Làm đá 3 ngày ko được vẫn nguyên nước","0","2"
"Tủ kêu quá to. Nạp điện nhiều lần.không hài lòng với sản phầm này. Khuyên mọi người nên mua loại lớn hơn 233l","0","1"
"Lắt đặt rất tệ, xài được 1 tuần thì xì ga, gọi bảo hành xài đk tuần thì lại ko làm lạnh, bật máy lên không khác j quạt máy thông thường.","0","2"
"Tủ lạnh mới mua nhưng bị lỗi gas, đóng tuyết, k lạnh. BH chậm chạp, nhiêu khê, né tránh trách nhiệm.Tủ hư 3 tuần mà k sửa được nhưng cũng k có cách nào khắc phục mà chỉ biết kêu chờ đợi. Giờ nhà k có tủ xài, 1 lô yến đông lạnh gần 50 triệu bị hư hỏng giờ k biết xử lý ra sao.","0","1"
"Cục nóng kêu to báo anh lắp máy ảnh cho số nói gọi báo tổng đài, xong cho người xuống xem báo bình thường, mình báo lại tổng đài lần nữa hô để bên bảo hành xuống kiểm định cái đổ tại gắn vị trí đó ồn kêu gắn thêm ống đồng đem xa ra cho hết ồn với lấy tiền công 300k, lạy các thánh, ồn là do máy có vấn đề chứ mấy máy khác ta có kêu to vậy đâu.","0","2"
"mua tủ lạnh về sử dụng mới 4 tháng tủ bị hư không đông làm đông được, gọi báo cho chăm sóc khách hàng từ 24/7 đến 5/8 vẫn chưa sửa được gọi báo vòng vòng, thời gian chờ đợi lâu, khâu nhận và xử lý thông tin quá chậm","0","2"
"Dàn máy kêu rất to. Đã từng sử dụng 2 tủ lạnh của Samsung nhưng đến sản phẩm này thì không thể chấp nhận được độ ồn của máy, nhưng chỉ cần sử dụng trong thời gian ngắn nên vẫn chấp nhận không đổi trả.","0","2"
"Bỏ qua chất lượng sản phẩm.Đánh giá chế độ phục vụ của dmx cực kì tệ, mua điều hòa thì gọi đến 3 đội thợ khác nhau đến mà lắp 2 ngày mới xong, nhà thì bt k khó lắp. Mua 2 tuần rồi chưa thấy kích hoạt bảo hành sp, gọi nv sale thì chỉ thấy bảo để ktra lại rồi k nói gì nữa, gọi tổng đài khiếu nại thì luôn trong trạng thái bận, sinh ra cái tổng đài để cho có à Mua khá nhiều sp bên dmx rồi, nhưng lần này thấy cực kì tệ cho chế độ cskh của dmx","0","1"
"Cần hổ trợ khắc phục máy lạnh chảy nước quá ạ","0","2"
"Dòng tủ lạnh này rất kém nha mọi người. Mình mua tủ này từ tháng 1 năm 2022 tại điện máy xanh Phan Huy Ích, chạy ổn định được đúng 10 tháng đầu sau đó tủ lúc chạy lúc không, bên trong thực phẩm đổ mồ hôi. Gọi thợ bảo trì của hãng Panasonic xuống kiểm tra mấy lần rồi mà ko tìm ra được nguyên nhân, chỉ xã đá hệ thống bên trong tủ rồi bảo theo dõi kiểm tra. Sau đó vài tháng thì bị lại hiện tượng cũ, đến nay là lần thứ 4 bị rồi. Sáng nay lại gọi thợ bảo trì xuống kiểm tra tiếp. Nản thiệt....hixhix","0","1"
"Con người yêu nó mua 1 cái y chang như này cách 3 tháng nó giới thiệu mua mình mua theo y chang cái như này thật sự thất vọng. Tủ nhỏ bạn gái im như chó thở. Với lại ko chạy xuyên suốt ngày đêm như cái tủ mình hiện tại. Tủ mình giờ nó chạy xuyên suốt ngày đêm ko nghĩ mà phát ra tiếng kêu to nữa","0","1"
"Mới lắp đc 20ngày máy chảy nước mất lạnh,xì gas.thất vọng với cách làm việc của thợ","0","1"
"Tủ về dùng được 1 hôm thì ngăn đá không đóng đá được, ngăn mát thì không mát. Gọi phản hồi gần 10 lần mà không cho nhân viên xuống kiểm tra. Quá thất vọng với cách sử lý của điện máy xanh.","0","1"
"Từ trước đến giờ chưa bao giờ mua phải cái sản phẩm nào tệ như vậy. Mua về sài loóc máy kêu è è tôi ngày. Kêu bảo hành xuống thì nói bình thường. Trong khi đó cái tủ đông bự gấp đôi để kế bên không nghe tiếng gì còn cái tủ nhỏ xíu kêu inh ỏi khó chịu. Gọi bảo hành cho bên hãng thì cứ nói bình thường bình thường mà tức. Giờ muốn đổi máy hãng khác thì phải mất 20% tiền máy cũ. Từ nay về sau ai mà hỏi toi về hãng Samsung thì sát định chê từ đầu tới cuối. Nếu hãng nói máy bên hãng kêu vậy bình thường thì dẹp mẹ mấy cái tủ lạnh này đi máy hãng người ta chạy êm ru còn máy Samsung mình kêu vậy mà nói đừng so sánh máy hãng này với hãng khác. Dung la bỏ tiền ra mua cục tức.","0","1"
"Tủ lạnh khi chạy có tiếng kêu re re... nghe rất khó chịu. Đặc biệt buổi tối không thể ngủ được. Lúc máy nghỉ thì có tiếng gõ gõ sau lưng máy... rất mong được hỗ trợ bảo hành hoặc đổi sang sp khác tốt hơn. Làm lạnh tốt tiếc mỗi chỗ phát ra tiếng kêu khó chịu quá","0","2"
"sản phẩm xấu so với hình ảnh đmx chụp. giá quá đắt khi tôi mua.","0","1"
"Máy lạnh mở 1 tiếng chưa nghe mát","0","1"
"Chức năng đông mềm k có tác dụng còn lại ổn","0","2"
"Máy mới mua vừa lắp đặt đã bị lỗi không sử dụng được","0","2"
"Mua ở đmx mà về như này đây, ngăn đá đóng tuyết ngăn mát đổ mồ hôi.gọi nhân viên bán hàng thì nv bảo gọi tổng đài,gọi tổng đài thì hẹn hết ngày nọ sang ngày kia,rồi chờ nhân viên của hãng,không biết các bạn chăm sóc khách hàng kiểu gì😪","0","1"
"Mua về đc 2 ngày đã bong hết đệm cao su ở ngăn mát. Ngày thứ 5 thì ngăn đá bị đọng nước. Ko hiểu sản phẩm. Kiểu gì","0","2"
"Quá tệ. Tôi là khách hàng của Điện Máy Xanh từ khi thành lập đến nay, hầu hết đồ điện máy đều mua của ĐMX, lần này tôi mua tủ lạnh Hitachi này vào chiều 08/4/2024, tới 20h00 thì giao tủ lạnh tới, sáng cắm điện, chưa sử dụng được gì thì phát hiện ngay đèn led không hoạt động, báo CSKH ĐMX ngay sáng 09/4/2024. Các bạn mãi tới 15/4/2024 mới có bảo hành của Hitachi xuống kiểm tra. Lúc này thì không những ko sáng đèn mà tủ ngăn đông còn đóng tuyết, Kỹ thuật viên mở kiểm tra thì báo hư con điện trở bên trong dòng máy. Cuối cùng, tôi phải chịu thiệt, tốn thêm tiền ngu và ôm cục bực tức để đổi tủ lạnh mới. Tôi không hiểu ĐMX chăm sóc khách hàng lâu năm như thế nào","0","1"
"Tôi mới mua tủ này đc 2hôm , nay đã thấy ngăn đá có đóng tuyết","0","2"
"Máy làm lạnh chậm 1h chưa lạnh, thợ lắp hk hút chân không, bảo hành thì kiểm tra giám định xong về , bỏ số tiền 14tr mấy không xứng đáng","0","1"
