"Category","Product Link"
"dien-thoai","https://www.dienmayxanh.com/dien-thoai/iphone-17-pro-max"
"dien-thoai","https://www.dienmayxanh.com/dien-thoai/iphone-17-pro"
"dien-thoai","https://www.dienmayxanh.com/dien-thoai/iphone-air"
"dien-thoai","https://www.dienmayxanh.com/dien-thoai/iphone-17"
"dien-thoai","https://www.dienmayxanh.com/dien-thoai/samsung-galaxy-s25-fe-5g-8gb-256gb"
"dien-thoai","https://www.dienmayxanh.com/dien-thoai/samsung-galaxy-a17-5g-8gb-128gb"
"dien-thoai","https://www.dienmayxanh.com/dien-thoai/oppo-a5-8gb-128gb?utm_flashsale=1"
"dien-thoai","https://www.dienmayxanh.com/dien-thoai/oppo-reno14-f-5g-12gb-256gb"
"dien-thoai","https://www.dienmayxanh.com/dien-thoai/xiaomi-redmi-15-8gb-128gb"
"dien-thoai","https://www.dienmayxanh.com/dien-thoai/xiaomi-redmi-note-14-pro-plus-5g-12gb-512g"
"dien-thoai","https://www.dienmayxanh.com/dien-thoai/vivo-v50-lite-5g"
"dien-thoai","https://www.dienmayxanh.com/dien-thoai/vivo-v60-12gb-256gb"
"dien-thoai","https://www.dienmayxanh.com/dien-thoai/realme-note-70-4gb-64gb"
"dien-thoai","https://www.dienmayxanh.com/dien-thoai/honor-x6c-6gb-128gb"
"dien-thoai","https://www.dienmayxanh.com/dien-thoai/tecno-spark-go-2"
"dien-thoai","https://www.dienmayxanh.com/dien-thoai/masstel-alfa-5"
"dien-thoai","https://www.dienmayxanh.com/dien-thoai/iphone-16-plus"
"dien-thoai","https://www.dienmayxanh.com/dien-thoai/iphone-16"
"dien-thoai","https://www.dienmayxanh.com/dien-thoai/samsung-galaxy-a07-4gb-64gb"
"dien-thoai","https://www.dienmayxanh.com/dien-thoai/samsung-galaxy-s25-ultra"
"dien-thoai","https://www.dienmayxanh.com/dien-thoai/oppo-a5x-4gb-64gb?utm_flashsale=1"
"dien-thoai","https://www.dienmayxanh.com/dien-thoai/oppo-a5-pro-5g"
"dien-thoai","https://www.dienmayxanh.com/dien-thoai/vivo-y19s-pro-6gb"
"dien-thoai","https://www.dienmayxanh.com/dien-thoai/xiaomi-redmi-note-14-8gb-128gb"
"dien-thoai","https://www.dienmayxanh.com/dien-thoai/vivo-y29-8gb-128gb"
"dien-thoai","https://www.dienmayxanh.com/dien-thoai/realme-14t-5g"
"dien-thoai","https://www.dienmayxanh.com/dien-thoai/honor-400-lite"
"dien-thoai","https://www.dienmayxanh.com/dien-thoai/tecno-spark-30c"
"dien-thoai","https://www.dienmayxanh.com/dien-thoai/tcl-60-nxtpaper"
"dien-thoai","https://www.dienmayxanh.com/dien-thoai/samsung-galaxy-z-fold7"
"dien-thoai","https://www.dienmayxanh.com/dien-thoai/iphone-16e"
"dien-thoai","https://www.dienmayxanh.com/dien-thoai/iphone-15"
"dien-thoai","https://www.dienmayxanh.com/dien-thoai/samsung-galaxy-a56-8gb-128gb?utm_flashsale=1"
"dien-thoai","https://www.dienmayxanh.com/dien-thoai/samsung-galaxy-a26-8gb-128gb"
"dien-thoai","https://www.dienmayxanh.com/dien-thoai/masstel-s9"
"dien-thoai","https://www.dienmayxanh.com/dien-thoai/samsung-galaxy-a06-5g-6gb-128gb"
