"Category","Product Link"
"may-giat","https://www.dienmayxanh.com/may-giat/may-giat-toshiba-aw-duk1300kv-mk?utm_flashsale=1"
"may-giat","https://www.dienmayxanh.com/may-giat/may-giat-lg-inverter-9-kg-fb1209s5w?utm_flashsale=1"
"may-giat","https://www.dienmayxanh.com/may-giat/toshiba-7-kg-aw-l805av-sg?utm_flashsale=1"
"may-giat","https://www.dienmayxanh.com/may-giat/may-giat-casper-inverter-12-5-kg-wf-d125vgr1?utm_flashsale=1"
"may-giat","https://www.dienmayxanh.com/may-giat/samsung-ai-ww10t634dlx-sv"
"may-giat","https://www.dienmayxanh.com/may-giat/may-giat-hisense-13-kg-wtjh1313ub?utm_flashsale=1"
"may-giat","https://www.dienmayxanh.com/may-giat/may-giat-panasonic-inverter-11-5-kg-na-v115fa1lv"
"may-giat","https://www.dienmayxanh.com/may-giat/may-giat-casper-inverter-10-5-kg-wf-d105vgr1?utm_flashsale=1"
"may-giat","https://www.dienmayxanh.com/may-giat/may-giat-toshiba-inverter-12-kg-tw-t21bu130uwv-mg?utm_flashsale=1"
"may-giat","https://www.dienmayxanh.com/may-giat/aqua-11-kg-aqw-fr110jt-bk"
"may-giat","https://www.dienmayxanh.com/may-giat/may-giat-aqua-8-kg-awm8-316k-b?utm_flashsale=1"
"may-giat","https://www.dienmayxanh.com/may-giat/may-giat-hisense-inverter-10-5-kg-wt105f50?utm_flashsale=1"
"may-giat","https://www.dienmayxanh.com/may-giat/may-giat-toshiba-inverter-13-kg-tw-t21bu140uwv-mg?utm_flashsale=1"
"may-giat","https://www.dienmayxanh.com/may-giat/may-giat-say-toshiba-inverter-giat-13-kg-say-8-kg-twd-t21bu140uwv-mg?utm_flashsale=1"
"may-giat","https://www.dienmayxanh.com/may-giat/may-giat-say-toshiba-inverter-twd-bm135gf4v-mg?utm_flashsale=1"
"may-giat","https://www.dienmayxanh.com/may-giat/toshiba-inverter-10kg-aw-dm1100pv-kk"
"may-giat","https://www.dienmayxanh.com/may-giat/lg-ai-dd-inverter-12-kg-fv1412s3b"
"may-giat","https://www.dienmayxanh.com/may-giat/lg-inverter-12-kg-fv1412s4w"
"may-giat","https://www.dienmayxanh.com/may-giat/may-giat-aqua-inverter-11-kg-aqw-dr110jt-bk"
"may-giat","https://www.dienmayxanh.com/may-giat/may-giat-lg-fv1410s4m1?utm_flashsale=1"
"may-giat","https://www.dienmayxanh.com/may-giat/may-giat-lg-turbodrum-inverter-14-kg-t2514vbtb"
