"data","label","num_stars"
"Mình bị mất sạc quạt, ko biết bên siêu thị có bán sạc rời ko","2","4"
"Mình bị mất xây sạc có thể mua lử dây sạc ko","2","5"
"Mình cần hỗ trợ","2","5"
"Dùng đc tầm 5 lần. Giờ bật nháy nháy không lên. Mua phí tiền","0","1"
"Mình mua hàng trưng bày 942k. Xài được 1 năm thì hỏng. Gởi sửa thì hãng báo 2.300.000. Còn đắt hơn cả quạt mới nữa. Trước khi gởi sửa pin quạt vẫn chạy tốt. K hiểu sao hãng báo hư luôn pin. Thiệt, mua 1 lần là chạy. Anh chị cân nhắc trước khi mua. Tránh bị ức chế như mình.","0","1"
"Dùng dk 1 tháng nóng là hỏng luôn, đi sửa mang đi 10 tiệm không tiệm nào sửa dk","0","1"
"Quạt chạy êm, pin sử dụng được lâu, thích hợp cho vùng hay mất điện, đi dã ngoại, quạt cho em bé...","2","5"
"Pin quạt không được nhiều, sạc rất lâu không thấy đầy pin nó cứ nháy đèn hoài","1","3"
"Đã mua 2 cây xài tố tuyệt đối","2","5"
"Rất TốtQuạt chạy Mát","2","5"
"Rât ok khi mất điện","2","4"
"Quạt dùng Ok. Sạc nhanh và dùng được lâu như giới thiệu","2","5"
"Quạt xuống pin rất nhanh.. dùng chậm tầm 4 tiếng là hết.. dùng max thì tầm 1 tiếng","1","3"
"Bình thường","1","3"
"Quạt chạy rất tốt nhé Dùng thời gian mà pin kém thì mình sẽ thay pin nâng cấp thêm dung lượng các Bạn có thể vào kênh YouTube Hiền Trần Tc coi tham khảo","2","5"
"Quạt sử dụng rất tốt và lau hết pin","2","5"
"Mua vì thấy nhiều đáng giá tốt, nua hồi tháng 11 về sử dụng đúng 1 lần cúp điện lần sau cúp điện lấy ra sử dụng thì k sài được tưởng hết pin nhưng sạt rồi vẫn k mở lên được nữa ghim điện trực tiếp thì quạt được. Nhà có con nhỏ mà gặp cảnh như này nản thiệt chớ, gửi bảo hành ĐMX, TTDD thì lâu thôi rồi","0","2"
"Mua cai quạt về. Quạt yếu xìu. Chán","0","1"
"Sài ngon lành lắm","2","5"
"Quạt không giữ điện, đang bị hỏng, muốn được bảo hành, thanks.","0","1"
"Quạt rất êm và bền Pin sài dc rất lâuĐã mua cái thứ 2","2","5"
"Hơi nhỏ nhưng quạt mạnh thời gian xài cũng lâu cầm cũng nhẹ tay.","2","4"
"Quạt chắc chắn gió mạnh sạc nhanh dùng thích","2","5"
"Quạt xài tốt tiện lợi cho gđinh có con nhỏ","2","4"
"Rất tuyệt vời","2","5"
"Quạt chạy êm. Chạy đi thời gian dài. Gió khi quạt ra tạm ổn. Phù hợp với nhà có trẻ nhỏ","2","4"
