"data","label","num_stars"
"Quá bức xúc mình phải đánh giá lại, đánh giá trước đó của mình bị xóa nên mình đánh giá lại luôn 1 thể. Thứ nhất về vấn đề chất lượng máyMáy mình mua về dùng được 1 ngày thì hư, máy k có hơi lạnh, máy ồn, cục nóng k hoạt độngThứ 2 về chế độ hậu mãi quá tệKhi khách hàng thông báo mãy lỗi thì k cho người xuống kiểm tra liền trời thì nóng mà bắt khách hàng chờ vài ngày mới cho người đến kiểm tra, mình liên hệ lại hối thúc thì nhân viên hẹn tới hẹn lui, đến khi đánh giá 1 sao thì mới liên hệ lại cho ng đến kiểm tra.Tới lúc đổi máy lại hẹn, hẹn giờ giao mình về nhà ngồi chờ cả buổi k thấy ai giao cũng k ai thông tin lại mà tự đồng sửa giờ giao, mình đợi lâu gọi lên hỏi thì mới đc báo đã dời lịch qua hôm sau.hỏi lý do thì báo quá tải, lúc nào cũng quá tải sao k tuyển thêm người.Thứ 3 vẫn là chế độ hậu mãi xử lý vấn đề quá tệ.Hàng đã giao cho mình hơn 10 ngày nhưng hóa đơn chứng từ vẫn chưa xử lý cho mình, k 1 ai thông tin lại, chờ gọi lên hỏi thì báo để kiểm tra hẹn rất nhiều lần, bắt chờ 7 ngày mới có thông tin, lần sau mình goi lên hỏi lại bảo chờ. Lý do đưa ra là lỗi IT nhưng bán hàng vẫn xuất hóa đơn đi giao bình thường riêng cái hóa đơn của mình k chịu xử lý lại bắt chờ đến cuối tháng. Yêu cầu bộ phận có thẩm quyền liên hệ lại xử lý thì k thấy đâu.Không hiểu cách vận hành làm việc của ĐMX sao lại tệ đến mức này, RẤT MẤT THỜI GIAN CỦA KHÁCH HÀNG.MỘT LẦN NỮA MÌNH YÊU CẦU BP CÓ THẨM QUYỀN LIÊN HỆ XỬ LÝ HÓA ĐƠN CHO MÌNH TRONG HÔM NAY.Mua 1 lần sợ tới già k bao giời dám quay lại.ĐỀ NGHỊ ĐĂNG ĐÁNH GIÁ NÀY LÊN K ĐƯỢC XÓA","0","1"
"Máy gì mà cục nóng kêu như máy cày. Trong khi mới lắp lên bật xài 1h thôi á. Đúng chán cái thương hiệu Aqua này","0","1"
"Xài 12h trưa tới 16h30 hết 7.5 kg điện bật 30","0","1"
"Quá tệ, điều hoà mới mua mà được 37 ngày thì hư dàn nóng, hãng xuống bảo hành , bảo đợi 710 ngày, đợi máy về, không thấy xuống thì nhắn tin hỏi thì bảo đợi 1 tuần nữa, lúc mua thì nhanh lắm, tới lúc hỏng thì bảo hành rồi bảo đợi, rồi đợi tới khi nào.đã bỏ tiền ra mua hàng còn rước bực về người, trời thì nắng , nhà trẻ con thì nhiều, hỏi thử ai chịu được với trời nắng nàySẽ không bao giờ mua hàng của aqua nữa, chính sách bảo hành quá chậm","0","1"
"xài ngày 10 tiếng 22 độ ngốn 10kg điện buồn dã man","1","3"
"Đã sử dụng 1 máy rất tốt,mới mua thêm 1 máy đang sử dụng","2","5"
"Hao điện quá m....nhãn 4sao hao hơn 5sao hả gì","1","3"
"Mới mua, không biết xài tốt không vs bền không","2","5"
"Máy ráp nhanh, làm lạnh nhanh chóng, SX Thái Lan","2","5"
"Mới lắp đặt đang sử dụng được 5ngày thấy ok, chưa thấy gì bất thường.","2","4"
"Máy lạnh thì cũng mát nhưng thấy cục nóng hơi ồn","1","3"
"sản phẩm xài thấy cũng ổn, làm lạnh cũng nhanh, cũng êm","2","5"
"máy lạnh xài thấy ok, hoạt động ổn định, máy chạy êm, tốt","2","5"
"sản phẩm hoạt động tốt lắm, máy chạy êm, rất hài lòng, máy quá ok","2","5"
"sản phẩm tốt, máy hoạt động ok, chất lượng, xài êm lắm","2","5"
"lúc đầu mua về lắp bị xì gas hay sao đó, sau đó có thợ về sửa lại thì ok rồi, giờ máy hoạt động tốt, mát","2","5"
"máy lạnh hoạt động vẫn bình thường, hiện tại chưa có trục trặc gì","2","5"
"máy mới bảo hành xong, dùng thấy vẫn còn êm, tốt","2","4"
"máy lạnh cũng thấy êm, tạm chấp nhận, máy phù hợp với túi tiền","2","5"
"máy làm lạnh ok, máy xài tốt","2","5"
"sản phẩm rất ok","2","5"
"máy 1 ngựa rưỡi mà mình thấy không được mát lắm, do phòng mình to mà kiểu vừa chứ không to lắm","2","4"
"sản phẩm xài rất là tốt, đợi mình cất nhà nữa mình sẽ mua thêm 1 cái như vậy","2","5"
"máy lạnh xài thấy ngon","2","5"
"máy lạnh hoạt động tốt","2","5"
"xài cũng được, thấy cũng êm","2","5"
"máy Aqua xài tốt, êm","2","5"
"máy lạnh hoạt động ổn định, thấy ok","2","5"
"máy làm lạnh thấy ít lạnh, cục nóng hơi ồn","2","4"
"máy lạnh mới mua dùng được 12 tháng thấy máy hoạt động vẫn tốt, ok","2","5"
"máy lạnh mới dùng thời gian đầu thấy máy hoạt động tốt","2","5"
"tính tới thời điểm hiện tại thì thấy máy vẫn hoạt động tốt, ok","2","5"
"máy lạnh chạy êm lắm","2","5"
"máy lạnh lúc phà ra gió thấy hơi ồn, chế độ làm lạnh thì tốt, mình để 2728 ngủ thấy lạnh","2","5"
"máy chạy ổn, sản phẩm ok","2","5"
"máy lạnh hoạt động êm, dùng tốt","2","5"
"máy hoạt động tốt, chất lượng ok","2","5"
"chất lượng sản phẩm tốt, ok","2","5"
"máy xài tốt, làm lạnh ok","2","5"
"máy lạnh xài thấy cũng êm, hiện tại chưa có vấn đề gì cả","2","4"
"máy lạnh hoạt động tốt, êm","2","5"
"hiện tại máy xài ổn, ok","2","5"
"máy xài rất tốt, mình rất ưng ý về sản phẩm","2","5"
"máy xài êm, tất cả đều tốt hết","2","5"
"máy chạy êm, làm lạnh tốt","2","5"
"Máy mình thấy xài không mát, không ngon bằng Daikin","1","3"
"máy làm lạnh thì êm, còn cục nóng hơi ồn","2","5"
"hiện tại máy xài mình thấy chạy êm, dùng tốt","2","5"
"máy lạnh hoạt động êm, hiện tại mình thấy ổn á, không có vấn đề gì","2","5"
"máy lạnh làm lạnh cũng nhanh, xài thấy máy chạy êm, ổn","2","5"
"máy lạnh AQUA hoạt động bình thường tốt, xài thấy ok","2","5"
"sản phẩm hoạt động được, máy lạnh chạy êm, làm lạnh ok","2","5"
"máy lạnh AQUA này sử dụng thấy hoạt động tốt, chạy êm, không ồn","2","5"
"máy lạnh hoạt động tốt, xài êm, chưa có vấn đề gì cả","2","4"
