"data","label","num_stars"
"Mua chưa đc tháng đỗi máy 2 lần vẫn ồn kêu quá tệ","0","1"
"Cho thợ kiễm tra dùm quá hao điện","1","3"
"Mới sử dụng chưa đủ 1 tháng mà thỉn thoảng phát sinh tiếng ồn","1","3"
"Máy mới mua bị lỗi kêu to , kéo dài thời gian không đổi cho khách, gần cả tháng nay rồi, lỗi 1 đổi 1 mà giờ ko cho đổi.","0","1"
"máy lạnh Aqua hoạt động thấy cũng tốt, ổn định, ok , cần theo dõi thêm","2","5"
"Mua 3 cái bên điện máy xanh.mà hai cái AQuA ko mát tí nào.rất bực bội.gọi thì nhân viên xử lý rồi mà vẫn ko mát là sao.quá ức chế","0","1"
"sản phẩm hoạt động tốt, dùng ok, máy chạy cũng êm không có tiếng ồn","2","5"
"máy lạnh hãng này hoạt động thấy cũng ok, xài tốt, chạy cũng êm","2","5"
"máy lạnh Aqua chạy êm, tới giờ vẫn hoạt động tốt, ok đó","2","5"
"từ hồi mua tới giờ máy hoạt động vẫn ổn định, xài vẫn ok","2","5"
"sản phẩm xài ok, mà cái quạt gió hơi ồn tí nhưng mà không sao, vẫn tốt","2","5"
"Máy lạnh AQUA hoạt động bình thường, ổn định. Sản phẩm xài ok","2","5"
"máy lạnh hoạt động tốt, mình mua cho cả em của mình nữa, dùng rất ok","2","5"
"máy lạnh Aqua xài thấy cũng bình thường, mà máy làm lạnh nhanh","2","4"
"sản phẩm máy lạnh Aqua hoạt động tốt, dùng ok, chưa có vấn đề gì cả","2","5"
"Máy lạnh mình thấy có lúc thì mát, có lúc thì không, mà máy mới thì xài thấy ok","2","4"
"máy lạnh aqua này hoạt động tốt, hiện tại đang dùng thấy xài êm","2","5"
"máy lạnh Aqua hoạt động êm, xài tốt, sản phẩm ok","2","5"
"máy lạnh Aqua hoạt động nói chung là ok, hài lòng về sản phẩm","2","4"
"máy lạnh Aqua sử dụng ok lắm, máy hoạt động chạy êm ru","2","5"
"sản phẩm hoạt động tốt, máy chạy êm, hiện chưa có vấn đề gì","2","5"
"máy mới mua về xài thấy tốt, hoạt động ok, sản phẩm vừa ý","2","5"
"sản phẩm máy lạnh Aqua hoạt động tốt, xài êm, chế độ làm lạnh ok","2","5"
"máy lạnh Aqua hoạt động cũng tốt, chế độ làm lạnh mau, xài ok","2","5"
"sản phẩm máy lạnh Aqua hoạt động bình thường, ổn định ạ","2","5"
"sản phẩm máy lạnh Aqua xài tốt, máy chạy êm, ok lắm ạ","2","5"
"sản phẩm máy lạnh xài thấy ok, chế độ làm lạnh nhanh, tốt","2","5"
"mới dùng thời gian đầu thì thấy máy lạnh Aqua hoạt động tốt,xài ok, còn cần theo dõi thêm","2","4"
"sản phẩm máy lạnh Aqua hoạt động tốt, chế độ làm lạnh nhanh, ok","2","5"
"máy lạnh làm lạnh nhanh, hiện tại vẫn ổn, thiết kế nhỏ gọn đẹp","2","5"
"sản phẩm máy lạnh Aqua hoạt động tốt, hiện tại vẫn ok, ổn","2","5"
"mình xài thấy ok, hiện tại chưa có sao, mình đang theo dõi thêm nếu bền mình sẽ mua thêm 1 cái","2","5"
"máy lạnh Aqua hoạt động bình thường, ổn định, không có vấn đề gì cả","2","5"
"sản phẩm máy lạnh Aqua xài tốt, dùng ok, mình hài lòng","2","5"
"sản phẩm máy lạnh Aqua thấy xài cũng êm mà lúc đầu lắp thì hơi ồn tí","2","5"
"máy lạnh hoạt động thì tốt, ok, nhưng cục nóng thì hơi ồn thôi, mà mình đã xử lí ổn định rồi","2","4"
"sản phẩm máy lạnh hoạt động tốt, xài êm, mình cho 5 sao","2","5"
"sản phẩm hoạt động tốt, sắp tới mình sẽ mua lắp phòng cho con gái ở nước ngoài về","2","5"
"máy lạnh Aqua hoạt động tốt, xài ok, hiện tại chưa có gì trục trặc","2","5"
"sản phẩm máy lạnh Aqua hoạt động tốt, hiện tại dùng mình thấy vẫn êm","2","5"
"máy lạnh xài thì thấy tốt mà đợt trước mua máy lạnh Toshiba xài bị hư phải đổi mất % nên cho 3 sao thôi","1","3"
"máy lạnh Aqua hoạt động mình thấy tốt, xài êm, chất lượng ổn định","2","5"
"sản phẩm máy lạnh Aqua hoạt động tốt, xài ok, ổn định","2","5"
"máy mới mua về thấy xài ok, hài lòng, chưa có vấn đề gì cả vì máy mới mà","2","5"
"sản phẩm máy lạnh Aqua hoạt động thấy ổn định, xài tốt, ok","2","5"
"hiện tại thì thấy máy lạnh xài tốt, ok đó, mình rất hài lòng về sản phẩm","2","5"
"sản phẩm máy lạnh Aqua xài tốt, mình dùng thấy máy ok, ổn","2","5"
"phòng mình to mà thấy máy làm lạnh nhanh, tốt, dùng êm á","2","5"
"máy lạnh hoạt động thấy bình thường, hiện tại xài thì ok","2","5"
"sản phẩm hoạt động được, xài êm lắm, sắp tới mình sẽ mua thêm cái Tivi nữa","2","5"
