"data","label","num_stars"
"Điện máy xanh làm việc không chuyên nghiệp, thiếu trách nhiệm, liên hệ nhiều lần không ai tới sửa khi điều hoà có vấn đề. Mình mua điều hoà hãng casper , mới được 5 tháng không thấy mát. Điện máy xanh cho bên hãng xuống kiểm tra, và bên hãng phát hiện rắc co bị hở nên dò gas hết gas dẫn đến điều hoà không mát, lỗi do thợ lắp đặt và bên hãng không chịu trách nhiệm bảo hành. Mình liên hệ điện máy xanh thì nhận được phản hồi sẽ cho ng tới sửa vào hôm sau. Hôm sau không ai tới sửa, gọi lại thì báo kỹ thuật đã tới sửa lúc 14h chiều và thực tế là không ai tới, nhà mình luôn có ng ở nhà hôm đấy để đợi sửa. Mình LIÊN HỆ LẦN 2 thì lại hẹn sẽ sửa trong ngày hôm sau. Và lần nữa vẫn không ai tới sửa. Mình LIÊN HỆ LẦN 3 thì hẹn sẽ đến sửa trước 17h hôm nay, tới giờ vẫn chưa ai tới sửa nên mình LIÊN HỆ LẦN 4 và nhận phản hồi sáng mai sẽ tới sửa. Trước giờ mình luôn tin tưởng và mua ở điện máy xanh. Nhưng với trải nghiệm mua hàng lần này Mình quá thất vọng. Và chắc chắn mình không mua thêm một lần nào ở đây nữa","0","1"
"Tạm thời ổn Thợ lắp nhanh, tư vấn lắp tốt.","2","5"
"Điều hòa làm lạnh nhanh nhưng cục nóng phát ra tiếng ồn rất khó chịu, tiếng cục nóng vọng vào trong nhà ù ù và vang sang cả phòng khác. nhân viên kĩ thuật của điện máy xanh đến kiểm tra chỉ nhìn cho có lệ sau đó trả lời khách dòng này tiếng ồn nó như vậy, 10 nhà thì đều 10 nhà kêu to như thế, nếu là nhân viên bán hàng sẽ không tư vấn sản phẩm này vì hay lỗi, bên hãng thì gọi điện nói với khách là điều hòa kêu êm. Bên nhà sản xuất và phân phối nói chuyện với khách hàng quá mâu thuẫn. Đồng ý điều hòa giá trung bình có thể có nhược điểm nhưng thái độ của nhân viên kĩ thuật trả lời khách như vậy là không chậm nhận được, thậm chí còn đi cả giày vào nhà khách. lần cuối cùng mua sản phẩm của điện máy xanh. Nhân viên còn tỏ thái độ điều hòa như thế nào thì em cứ đánh giá thế thôi, anh bên kĩ thuật, vậy ok 2 sao","0","2"
"Nhà có 1 mẫu casper cũ dùng ok. Riêng mẫu này rất tệ. Phòng có 6m2 mà mở chạy cả nửa tiếng ko làm mát nổi căn phòng. Chỉ có gió lạnh từ cửa gió thổi ra chứ khu vực khác của phòng vẫn ko mát nổi. Dàn lạnh thì ko biết do cấu tạo máy tệ hay do thợ mà sáng lắp trưa mở đã rỉ nước từ cục lạnh ra. Gọi kĩ thuật lắp đặt thì báo gọi tổng đài casper. Gọi tổng đài casper thì đài đổ cho bên lắp đặt. Gọi tổng đài DMX thì hứa hẹn. Chẳng giải quyết được gì. Còn vụ dùng thử 30 ngày mất phí nữa. Vậy đừng có quảng cáo dùng thử 30 ngày. Kêu dùng thử mà sáng lắp chiều trả hàng mất 1tr2 thì thôi chứ khác mẹ gì bán lỗ lại mà bày đặt để chữ dùng thử. Một lần và mãi mãi không có lần thứ 2 nhé DMX","0","1"
"Ụa gọi tới lui đến giờ im re","0","1"
"Máy ồn to,tệ","0","1"
"Lắp đặt xong đc 1 hôm thì lỗi E5, không sd được, gọi bảo hành thì tiếp nhận mà ko hề có ai gọi để hỗ trợ, đã mua nhiều sp bên đmx nhưng nay trải nghiệm rất tệ, sdt mua hàng xxxx89 xxxx máy lạnh coper","0","1"
"Mới sáng tư vấn da mua 7tr3 giờ xem đã thấy 6tr490 đmx làm ăn rất tệ ko nói cho khách hàng giá oline hay gì hết sẽ ko bao giờ mua ở đây nữa.","0","1"
"Máy như quạt điều hoà chỉ làm máy chỗ quạt xuống, còn phòng không lạnh","0","1"
"Sau một thời gian sử dụng thì mình thấy điều hòa dùng khá êm, mình lắp hết hơn 7tr, ban đầu đọc đánh giá sợ mua về nó xu, tại nó cũng không phải là hàng sịn, nhưng mà mình dùng một thời gian thấy khá oke, chế độ ngủ, làm mát đều oke,dàn nóng không quá ồn mình lắp ngay sau phòng luôn nhưng mà thấy bình thường, 16 độ phải đợi tầm 30 phút mới mát nha mấy má ơi, còn rỉ nước thì tui chưa thấy nhà tui bị, giá tầm trung thì cái này mình thấy khá ổn, mua được nha, thợ lắp cùng khá nhiệt tình, làm đến nơi đến trốn, còn về dịch vụ sửa chữa gì đó mình chưa cần dùng nên không biết sao cả, tiền điện thì mình chưa trả nên có thể chưa biết liệu nó có tốn điện không, mình sẽ quay lại sửa đánh giá sau","2","4"
"Nó chỉ mát hướng máy lạnh ra phòng 5m2 mà ko mát hết phòng","1","3"
"Có tới 3 chế độ tiết kiệm điện năng mà vẫn rất hao điện nha. Tôi gắn máy ngày 4/3 đến nay là đúng 1 tháng 4/4 chỉ xài buổi tối đi ngủ từ 9h tối đến 5h sáng mà tiền điện tăng thêm 1 nửa so với tháng trước chưa gắn máy. Hao điện quá chắc phải suy nghĩ trả hàng lại","1","3"
"Rấttttttt tệ vừa gắn đã hư chảy nước , remote hư mắt bấm hk ăn .. thay cái mới hư nữa 3 ngày 2 cái hk cái nào ra hồn , nên dẹp loại này là được .. bức xúc","0","1"
"Giá để 6290 mà bán 7290","0","1"
"Tôi mới mua 1 cái này mới dùng 2 ngày chảy nước giàn lạnh. Chán ĐMX","0","1"
"Lắp được 5 ngày, 3 hôm nay báo lỗi E5, phòng nhỏ 20 phút không lạnh, chạy 510p tự tắt rồi chạy rồi tắt. Cục nóng kêu to","0","2"
