"data","label","num_stars"
"Mới mua 3 tháng máy không mát, điện thoại bảo hành báo cao điểm 2 ngày sau mới kiểm tra được","0","1"
"Hôm qua có đến lắp máy cho tôi, phát sinh thêm 1 mét dây đồng 170.000đ tôi có nhờ gắn dùm bóng đèn khúc đầu đồng ý khúc sau lúc đó 7h tối bảo không thấy đường gắn nhà xa. Bảo hôm sau gắn là ngày 3/5 tức là hôm nay. Tôi đã đợi cả ngày nhưng không thấy tôi đã gọi lại cho nhân viên lắp đặt hôm qua lại bảo tôi lộn số. Vấn đề nằm ở chỗ lúc đầu bảo không gắn được luôn đi đừng hẹn. 170.000đ tiền phát sinh dây đồng tôi chuyển khoảng luôn 250.000đ coi như tiền công lắp bóng đèn nhưng thái độ như thế tôi không hài lòng.","0","1"
"Máy có chức năng hiển thị nhiệt độ trên dàn lạnh không nhỉ","1","3"
"Tệ lắp được 3 ngày đã lỗi","0","2"
"Chủ quan không đọc đánh giá vì tin tưởng dịch vụ của DMX. Lắp ĐH xong phát sinh 3tr tiền vật tư, NV tư vấn lắp lên tầng 3 kéo dây xuống tầng 1. Sau đổi ý lắp xuống tầng 2 thì NV k chịu Cái này 1 phần lỗi của gia đình đã chốt lắp lên trên, tối hôm đó bị chảy nước từ dàn lạnh ra đã được khắc phụcNói chung là không ưng lắm. Sẽ không bao giờ quay lại mua hàng DMX nữa","0","1"
"Máy đang chạy bấm giảm nhiệt độ xuống.vừa bấm là máy tắt liền là bị sao vậy mn.mới mua chưa dc 1 tháng mà bị 2 lần rồi.lần trước cứ nghĩ bấm bị cấn nút tắt k .nhưng lần này thì xác định là k phải bấm bị cấn nút tắt","2","5"
"Máy cũ đang chạy bình thường. Nhân viên lắp đặt tới tháo máy cũ ra mà không nhốt ga lại làm rò rỉ hơn 1kg ga. Thu thêm 240k vệ sinh đường ống không có trong thỏa thuận ban đầu của đơn hàng, trong khi vệ sinh qua loa chưa tới 1 phút.","0","1"
"Lắt đặt rất tệ, xài được 1 tuần thì xì ga, gọi bảo hành xài đk tuần thì lại ko làm lạnh, bật máy lên không khác j quạt máy thông thường.","0","2"
"lăp đăt va bao hanh siêu tê hai nhân viên lăp đăt lăp CB va dây điên trong ông bao ôn loai đêu chay đc 2 3 lân chay hêtgoi nv xuông bao hanh thi cư đô thưa cho may bên daikin bi lôi nv xuông 5 lân vân ko sưa chi đô tai cho hang t nan qua goi thơ ngoai vao đông kiêm tra vs nv hang daikin mơi phat hiên ra dây do nv đmx lăp đăt la dây đêu chay hêt rt goi lên hang đmx khiêu nai thi nhân đươc câu tra lơi la vi đa goi nv ngoai đên nên ko tiêp tuc bao hanh nưa thưc sư ko thê châp nhân nôi thai đô lăp đăt va bao hanh bên đmx","0","1"
"hút chân không ko đủ thời gian...mọi người nên chú ý yêu cầu thợ lúc lắp phải hút chân không đủ thời gian,ít nhất phải 15p trở lên,ở nước khác bắt phải hút 15p để hút hết ẩm trong ống đồng,nếu chỉ hút không khí tầm 5p là đủ,còn hút hết ẩm phải 15p,nếu hút không đủ thời gian sẽ ảnh hưởng tới tuổi thọ của máy lạnh đồng thời ảnh hưởng tới hiệu quả làm mát,ở nước khác nếu hút ko đủ 15p có thể yêu cầu hãng đổi nhà máy mớiđừng chấp nhận hãng hút lần thứ 2. hút lần thứ 2 sẽ dễ lm rì ga.","1","3"
