"data","label","num_stars"
"Tốt nhưng hoi đặc","0","1"
"Máy quạt nhỏ gọn, lúc đầu xem đánh giá thấy có người nói ồn nhưng thực tế sau khi trực tiếp sử dụng mình thấy quạt chạy êm và mạnh nha","2","5"
"Tiếng ồn ở mức 1 ko hề êm tai , hazza, đã mất 170k để đổi quạt bàn media sang quạt này rồi mà vẫn chả khá lắmTôi chả biết xử lí thế nào cả, dienmayxanh phục vụ tốt nhưng tôi rất tiếc","1","3"
"Xịn nha, chạy êm, nhìn đẹp","2","5"
"Tốt trong tầm giá","2","4"
"Rất hài lòng","2","5"
"Quạt giá rẻ, nhưng chất lượng rất tốt, mạnh mẽNgười Việt nên ủng hộ hàng Việt nhé mọi người","2","5"
"Sản phẩm tốt , nhân viên chu đáo,,,,,","2","5"
"Mới mua lúc sáng giờ quạt kêu cót két thì đmx hổ trợ thế nào","0","1"
"Quạt bàn Lìan này dùng rất tốtQuay nhanh nhẹ và êm lắm ạ","2","5"
"Quạt nhỏ siêu mat. Rat hai lòng","2","5"
"Quạt tuy ko mạnh nhưng mát rượi à","2","4"
"Quạt dùng tốt bền. Mình thích nhất là quạt rất êm","2","5"
"Quạt ổn trong tầm giá","2","4"
"Rất tốt rất ưng ý","2","5"
"Mới mua về quạt kêu ầm ầm","0","1"
"quạt êm gió mạnh sp tốt nên mua","2","4"
"Chất lượng quạt bình thường","1","3"
"Nhân viên điện máy xanh rất nhiệt tình, vô cùng hài lòng về thái độ phục vụ, quạt chạy rất tốt.","2","4"
"Quạy chạy tốt rất êm","2","4"
"Nút số 1 bấm lên quạt ko chạy, số 2, số 3 ổn…sp lỗi","0","2"
"Quạt rất mát","2","5"
"Quạt rất ok...e nhân viên vui vẻ và rất nhiệt tình","2","5"
"Tôi dùng sản phẩm này tôi thấy hài lòng","2","4"
"Quạt sài rất tốt , cám ơn điện máy xanh rất nhiều","2","5"
"Mình dùng sp thấy ok","2","4"
"Đang sử dụng bình thường","1","3"
"Quạt chạy êm","2","4"
"quạt hơi bé","1","3"
"Quạt êm, mát dịu ko khó chịu. Không ồn nếu để nó đứng im, còn nếu để nó đảo chiều thì ồn hơn quạt bình thường luôn.","2","4"
"Quạt hơi nhỏ so với tưởng tượng của mình nhưng gió mát, phù hợp nhu cầu sử dụng.","2","5"
"Quạt chạy êm.","2","5"
"Kết cấu có vẻ rời rạc","1","3"
"Hàng giống như hình, nv giao hàng thân thiện, nhận hàng bị lỗi gọi Đt và đc nv đổi trả ngay. quạt ok, công suất nhỏ nhưng Quạt rất mát, tiết kiệm điện","2","5"
"Mới dùng thấy chạy được phù hợp giá tiền","1","3"
"Tốt,ve ri gút","2","5"
"Mới dùng, chưa thể đánh giá chất lượng. Dịch vụ bán ,giao hàng tốt.","2","4"
"Quạt khá êm, chất lượng gió tốt, nhân viên bán hàng tận tâm.","2","4"
"Máy dùng ok","2","5"
"Quạt xài OK mình mua online vợ nhận hàng dùm về nhà khui ra thì thấy bị vỡ có báo tổng đài hôm sau đc nhân viên đổi cho cái mới bữa giờ xài chưa thấy trục trặc gì hết. Đánh giá cao vụ đổi trả hàng của đmx","2","5"
"Quạt ổn nhaa","2","4"
"Quạt đểu mua dùng đc mấy tháng quạt bị chậm lại, đi ra điện máy sửa thì bảo đợi 15 ngày mới có, ra ngoài sửa còn hơn","0","1"
"Quạt mát, nhỏ, gọn","2","5"
"Cũng khá lạnh","2","4"
"Quạt mát nhẹ, tốt, đã mua lần 2","2","5"
"Đã trả hàng. Chế độ xoay trái phải bị kêu rất khó chịu.","0","2"
"Vợ em bảo xài tốt ạ ❤️","2","5"
"Quạt chạy êm, rất mát kể cả số nhỏ nhất","2","5"
"Đầu nặng mà đế quá nhẹ và bé, cứ đụng hơi lực 1 tý là nằm lăn quay ra.","0","2"
"Quạt xinh mà mát vừa tầm , giao hàng nhanh . Oke","2","4"
"Nhỏ gọn quạt mạnh mát","2","5"
