"data","label","num_stars"
"quạt này xài tốt dữ lắm. quá êm","2","5"
"Quạt dùng êm, mát","2","4"
"Quạt chạy êm, hình thức đẹp Noi chung ok","2","5"
"Kêu to khi quay","0","2"
"Quạt dùng tốt","2","5"
"Chất lượng Ok","2","5"
"Quạt Nhật thì yên tâm nha mọi người, khỏi cần bảo hành luôn , cái Quạt VN còn Sài hơn 20 năm, Quạt Mitsubishi thì khỏi phải bàn..","2","5"
"Quạt rất tốt","2","5"
"Tôi chịn model D12GA CYRD này vì spec ghi 3 cánh. Mình ko thích 5 cánh vì khó vệ sinhNhưng khi khui thùng đúng model mà cánh 5 cánh. Gọi hotline Khiếu nại không ai nhấc máy. Đề nghị DMX kt kỹ model mua hàng nếu không đúng yêu cầu đổi lại.","1","3"
"Quạt ngoại nên xài tốt","2","5"
"Quạt kêu khá to","1","3"
"Mình cũng mới sử dụng được 10 ngày. Chưa thấy trục trặc gì. Hiện tại quạt chạy êm, tốt.","2","5"
"Hàng đảm bảo chất lượng, nhân viên phục vụ nhiệt tình","2","5"
"Sp use ok lắm so với giá thành. Mình rất ưng, cảm ơn nhé!","2","4"
"Quạt đẹp, rất Tốt, đúng là hàng Nhật Bản nhé. Tôi đã mua 3 quạt mầu Đỏ hồng Mitsubishi này rồi, đều mua tại Điện Máy Xanh Thái Hà, Hà Nội ( 1 mua năm 2022 từ kho hàng Lê Văn Lương, HN, 2 mua tháng 6/2023, từ kho hàng ĐÔNG Anh, HN)","2","5"
"Quạt chạy êm.","2","4"
"Đang chuẩn bị ra đổi cái khác vì quạt quay kêu rè rè. Đây là cái thứ 4 đều bị như vậy","0","2"
"Chất lượng tốt","2","4"
"Quạt sử dụng tốt","2","4"
"Sản phẩm tốt","2","5"
"Chắc chắn, chạy êm","2","5"
"Quạt chạy êm. Mẫu mã đẹp.","2","5"
"Quạt chạy được một lúc thì kêu to","0","1"
"quạt tuy nhỏ nhưng gió tạo ra lại rất mạnh","2","4"
"Quạt chạy êm, đêm ngủ ngon giấc!","2","4"
"Quạt chạy êm, ổn định và bền. Quạt tạo gió rất mát cảm giác thoải mái. Rất hài lòng vế sản phẩm !.","2","5"
"Có tiếng kêu cót két khi chạy chế độ đảo chiều. Rất êm khi chạy ở chế độ đứng yên với mọi tốc độ.","1","3"
"Dòng mitsubishi này quạt khá tốt.tiền nào của ấy thôi.chỉ có chê là quạt chậy hơi ồn .kể mà chậy êm nữa thì tuyệt.nằm điều hòa nên dùng quạt này là hợp lí !","2","4"
"Hình thức đẹp nhưng đế gỗ ép mất điểm","0","2"
