"data","label","num_stars"
"Quạt chạy kêu o o gây khó ngủ, vì quạt trước mình dùng không có tiếng kêu nó quen rồi, đang muốn đổi sang loại khác nhưng hơi ngại","1","3"
"Sài bền chạy êm","2","4"
"Nhận hàng bị vỡ, đói gói sơ xài. Đã khiếu nại nhưng chưa được giải quyết.","0","1"
"Xài ok hi vọng sẽ bền","2","5"
"Đã gẫy cánh mà ko biết sao thấy","0","1"
"Quạt ổn nha mọi người, gió ko mạnh lắm nhưng đủ dùng. Hy vọng sài bền","2","4"
"Thấy cũng ổn","2","4"
"Quạt chạy êm, mát, âm thanh không to quá. Đáng mua","2","4"
"Hàng tốt xài em","2","5"
"Xài tốt nhưng có điều quạt số mạnh nó rung và kêu lớn quá.","2","4"
"Quạt ok tầm trung. Dễ sử dụng","2","4"
"Sản phẩm rất ok nhưng tem in trên quạt bị lỗi nhẹ ko đáng kể","2","5"
"Quạt hơi ồn. Tối ngủ cứ kêu o o gây khó chịu","1","3"
"Quạt dùng tốt , bền , đẹp","2","4"
"Cũng bình thường, không mạnh cho lắm","2","4"
"Quạt nhỏ nhưng có võ, quạt rất mạnh, giá cả phải chăng. Mọi người nên mua nhé.","2","5"
"Quạt xài rất OK ạ, quạt nhỏ mà rất mát","2","5"
"Quạt dùng tốt, tiện lợi","2","4"
"quạt tốt siêu mát luôn nhỏ gọn tiện lợi lắm","2","5"
"Sp tốt,nhân viên nhiệt tình","2","5"
"Quạt mới mua dùng tốt","2","5"
"Quạt hơi yếu, nhưng bạn giao hàng dễ thương nên cho 4 sao","2","4"
"NVBH vui vẻ nhiệt tình. SP mới mua đánh giá tốt","2","5"
"Quay hơi mạnh quạt êm","2","5"
"Quạt size nhỏ nhưng rất mát, nhân viên tư vấn và hỗ trợ rất nhiệt tình","2","5"
"Quạt sử dụng tốt. Nhâm viên nữ phục vụ nhiệt tình","2","5"
"Sử dụng rất tốt . Quạt khoảng cách xa vẫn cảm thấy mát. Chất lượng OK","2","5"
"Quạt tốt gió mạnh","2","5"
"Hiên tai rât ôn","2","5"
"Quạt dùng rất ok cảm ơn các bạn","2","5"
"Quạt phát ra tiếng ồn khó chịu","0","2"
"Sản phẩm dùng rất tốt thỉnh thoảng phát ra tiếng ồn nhưng k sao. Quạt có 350k quá rẻ","2","5"
"Quạt chạy mạnh rất tốt","2","5"
"Sản phẩm tốt","1","3"
"Mát quá chời mát, nằm 1 chổ bấm cái tít là ngủ luôn","2","5"
"Rất tốt ạ, quạt mạnh, không ồn ào. Nhỏ gọn, tiện lợi.","2","5"
"Sp ok giá rẻ","2","5"
"nhận quạt bị nứt cánh","0","2"
"Tôi rất hài lòng","2","5"
"Quạt dùng tốt. Xin cám ơn.","2","4"
"Quạt xài rất tốt cảm ơn ĐMX rất nhiều.","2","5"
"Quạt sử dụng rất tốt; rất êm","2","5"
"Hiện tại ok","2","5"
"Quạt hoạt động rất tốt","2","5"
"Đẹp bền tốt","2","5"
"sp điện máy xanh chính hãng, tốt","2","5"
"Quạt xài ổn định","2","4"
"Đánh giá cực tệ cho loại quạt này, tiếng kêu động cơ rất khó chịu, để trong phòng ngủ rất khó ngủ, nửa đêm thức giấc vì tiếng kêu của nó. Đánh giá lúc 0h43p đây","0","1"
"Ba số điều chung 1 lượng gió","1","3"
"Dùng êm, phù hợp với nhu cầu sử dụng","2","4"
"Hàng ok nhé","2","5"
"Nhân viên hỗ trợ nhiệt tình","2","5"
"Quạt chạy êm, rất oke","2","5"
"Máy chạy tốt và rất êm","2","5"
"Quạt chạy êm","2","4"
"Ib để tư vấn mãi k thấy nên đành phải mua,mua về bé tí gió thì ít","0","2"
"Sài rất ok .sẽ ổn hộ dienmayxanh tiếp","2","5"
"Nhân viên giao hàng nhiệt tình, sp đúng như mô tả.","2","5"
"quạt nhỏ gọn nhưng rất mát","2","5"
"Nhân viên phục vụ chuyện nghiệp chu đáo... Sản phẩm chất lượng","2","4"
"Nhỏ gọn đẹp , Ổn khi dùng trong không gian chật hẹp nhà ít diện tích","2","4"
"Quạt nhỏ nhưng có võ đấy! Bảo hành dài dài, ok con dê luôn","2","4"
"Quạt dùng êm, mát.","2","5"
"quạt tốt, nhân viên phục vụ tận tình","2","5"
"Cũng bình thường.","1","3"
"Quạt mới mua dc hơn 1 tháng mà đã kêu ro ro. Phản hổi cho điện máy xanh eaning thì quá tệ. Bắt đem ra tận nơi gửi đi bảo hành 2 tuần. Hỏi thế trong lúc bảo hành có quạt thay thế để khách hàng sài không thì kêu không. Chăm sóc khách hàng quá tệ. Bảo sao mất khách. Uổng công ủng hộ điện máy xanh rất nhiều sản phẩm. Thề không bao giờ quay lại","0","1"
"Rất tuyệt vời","2","5"
"Quạt chạy êm nhẹ. Thích hợp để giường ngủ cho trẻ nhỏ . Sp nhìn khá đẹp","2","5"
"Binh thường","1","3"
"Sản phẩm tốt!","2","5"
