"data","label","num_stars"
"Đây là lần thứ 2 mua quạt này ở ĐMX, nhưng thực sự rất thất vọng về dịch vụ của ĐMX lần này.Lần đầu tiên mua quạt này là mình đến trực tiếp cửa hàng mua và được giao hàng, lắp đặt trực tiếp tại nhà.Lần thứ 2 do không có điều kiện ra cửa hàng nên mình đặt mua online trên web. Tuy nhiên, hàng được đơn vị thứ 3 GHTK vận chuyển đến và không được lắp đặt như lần đầu. Mình gọi tổng đài CSKH yêu cầu có người đến lắp vì gia đình không ai lắp được và không muốn cố lắp rồi làm hư máy thì được trả lời ĐMX không cung cấp dịch vụ này, loại mặt hàng này quạt máy không thuộc sản phẩm kiểm tra và hỗ trợ tại nhà, nếu muốn lắp đặt tại nhà thì ngay sau khi đặt hàng online phải gọi Tổng đài để được hỗ trợ và yêu cầu mình mang máy ra cửa hàng gần nhất để hỗ trợ lắp đặt.Trong khi đó, khi đặt hàng online mình không hề đọc được thông báo nào về việc sản phẩm sẽ do bên thứ 3 vận chuyển và không bao gồm lắp đặt. Minh thực sự thất vọng về dịch vụ và cách xử lý của ĐMX. Giờ mình phải tự chở thùng quạt ra cửa hàng lắp đặt và chở quạt về Vậy sự tiện lợi của đặt hàng trực tuyến ở đâu","0","1"
"Sao quạt mình mua chạy yếu kinh khủng, ko thấy mát gì luôn.Lúc mua về đã yếu rồi. Để gần năm ko xài giờ xài lại ko thấy mát gì cả","1","3"
"Quạt chạy êm, dáng đẹp, phù hợp với giá tiền","2","4"
"Quạt yếu,không mát mặc dù đã để mức lớn nhất.","1","3"
"Quạt chạy êm, có remote tiện dụng. Nhà mình đã mua 3 cây","2","5"
"Quạt chạy tốt, mạnh, giá hợp lý","2","5"
"Mẫu mã đẹp. Êm","2","4"
"Màu sang, tốc độ gió ok","2","5"
"Tốt nhân viên giao hàng nhiệt tình","2","5"
"Hàng quá ok","2","5"
"Quạt gió mát dịu k bị gắt, thấy thoải mái . Mát lắm","2","5"
"quạt yếu mức 3, còn mức 1 và 2 được. giao hàng và đóng gói tốt","1","3"
"Quạt hơi yếu","1","3"
"Quạt 600k mà cho cái dây nguồn hơn 1m đúng là chỉ để khư khư cạnh ổ cắm được, nhà sản xuất ki bo thật sự lại tốn thêm tiền mua ổ cắm quá bất tiện","0","2"
"Chạy êm mát","2","5"
"Use thấy rất ổn, OK lắm","2","5"
"Ok quạt ổn định nha. Giá rẻ nữa","2","5"
"Quạt sử dụng tốt","2","5"
"Quạt đẹp, chạy êm, giao hàng nhanh, được nhân viên lắp cẩn thận, chạy ổn. Hài lòng với mức giá đẹp","2","4"
"Sản phẩm tốt chất lượng. Sài lâu dài thì ko bik sao.hiện tại thì rất ok","2","5"
"Quạt êm nha","2","5"
"Quạt dùng rất tốt,giao hàng nhanh.Cảm ơn BHX","2","5"
"Dùng tốt, nhưng núm xoay bị giới hạn chứ ko xoay vô cực như senko","2","4"
"Cho nó gục xuống mà nó cứ ngửa lên trời thôiĐừng mua nha dỏm lắm","0","1"
"Quạt sài rất ok siêu mát nha mọi người.màu và dáng rất đẹp","2","5"
"Sản phẩm đẹp kiểu dáng chắc chắn cứng cáp","2","5"
"Máy chạy êm, mát","2","5"
"Quạt dùng rất tốt.chạy êm.quạt rất cứng cáp","2","5"
"Quạt chạy mạnhêm .. rất ok .nhân viên rất nhiệt tình Cảm ơn","2","5"
"Quạt xài êm.... Có điều thái độ nhận viên đây quá tệ nhất là quầy thu ngân xem thương khách hàng","0","1"
"Êm và chạy rất tốt, nhân viên giao hàng cực kỳ vui vẻ","2","5"
"Quạt chạy khá êm","2","4"
"Mẫu mã đẹp mắt, dễ sử dụng dụng, chất lượng rất ok!","2","5"
"Cảm giác quạt hơi yếu 🥹","2","4"
"Quạt mạnh, mát, êm. Giá hợp lý.","2","5"
"Quạt chạy tốt, mát","2","5"
"Tốt giá hợp lý","2","4"
"Quạt mát, êm. Nhân viên vui vẻ, lắp ráp giúp miễn phí.","2","4"
"Quạt đẹp và mát chạy êm","2","5"
"Quạt khá êm, mát, nhẹ. Chiều cao kéo lên xuống dễ dàng. Nhưng quạt dễ bị ngẩng lên (gió thổi ngược lên)","2","4"
"Tốt. Hiện tại thấy ổn","2","4"
"Sài tốt, mẫu quạt cũng đẹp","2","4"
"rất tốt, quạt chạy êm, nhân viên nhiệt tình. Sẽ giới thiệu cho người dân","2","5"
"Giao nhanh, quạt tốt","2","5"
"Giao hàng nhanh, sản phẩm ổn","2","4"
"Không nghĩ quạt giá rẻ mà đẹp, quạt khá mạnh","2","5"
"Cũng ổn sổ với giá thành","1","3"
"Sp rất tốt, DMX phục vụ chu đáo, nhanh chóng, đùng hẹn!","2","5"
"Sản phẩm ok","2","4"
"Sản phẩm rất tốt đúng như trên web giới thiệu sản phẩm.","2","5"
"Quạt dùng rất tốt, giá cả hợp lí. Nhân viên rất nhiệt tình","2","5"
"Quat chạy êm giá cả phải trăng .p","2","4"
"Quạt đẹp, nhân viên tư vấn nhiệt tình","2","5"
"Quạt rất mạnh và mát","2","4"
"Sp dùng tốt","2","4"
"Sản phẩm tốt","2","5"
"OK. Nhưng nhìn thân đế như màu tím ý.","2","5"
"Quạt mạnh, chạy êm, màu đẹp","2","5"
"Hình thức bên ngoài hài lòng, chạy êm mát","2","4"
"Quạt đẹp mát và giá cả hợp lý","2","5"
"Quạt màu tím không phải màu xám, sai màu","0","2"
"Quạt mạnh, nhiều gió, lồng chắc chắn. Tuy nhiên phần công tắc thiết kế rất dở, ví dụ đang ở số 1 mà muốn tắt quạt lại phải vặn ngược lên số 2 xong số 3 rồi mới tắt được. Nếu làm công tắc xoay vòng sẽ tiện lợi hơn rất nhiều. Nhân viên lắp luôn cho khách tại nhà khi giao, rất tốt.","2","4"
"Quạt dùng được","2","5"
"Dùng chắc chắn ok","2","5"
"Quạt gió mạnh ngoại trừ việc tiếng kêu hơi to một chút ra thì khoong có vấn đề gì.","2","5"
"Chất lượng sản phẩm tốt","2","4"
"Ok giao nhanh phuc vụ tốt vui vẻ","2","4"
"Phù hợp, chất lượng tốt","2","5"
"Quạt ồn quá.","1","3"
"Quạt rất êm. Và mat. Tôi rất ung ý. Vì đã chọn đúng san phẩm mà tôi đang dùng","2","5"
"Máy chạy rất êm. Và rất mất. Mua ĐMX thì các bạn yên tâm nhé","2","5"
"Quạt êm giao hàng nhanh","2","5"
"cánh quạt cực kì dễ chém vào lồng quạt","0","2"
"Sp tốt giá rẻ","2","4"
"Tốt. Siêu thị phát huy chất lượng.","2","5"
"Quạt êm , chắc chắn , mẫu mã đẹp . Dv bán hàng nhanh chóng tiện lợi","2","5"
