"data","label","num_stars"
"Phích cắm 3 chấu. Có bẻ đi 1 chấu đc ko nhỉ","2","4"
"Rất êm. Nhiều gió","2","5"
"Quạt chạy êm, khog có tiếng rung, rất thích","2","5"
"Quạt chạy êm, không nóng máy","2","5"
"Đã sử dụng được 2 tuần thấy OK. Không thất vọng với thương hiệu quạt nhật..sẽ giới thiệu với bạn bè và người thân","2","5"
"Trước mắt chị thấy rất ok em ạ","2","5"
"Ổn lắm, mua dc giá khuyến mãi rất ok","2","5"
"Hình thức đẹp quạt êm. Chỉ riêng cái điều khiển từ xa nắp pin lỏng lẻo","2","4"
"Quạt chạy êm mát ổn định rất vừa lòng.","2","5"
"Quạt nhiều gió và êm hình thức đẹp","2","4"
"Quạt chạy êm","2","4"
"Chạy êm mát dịu hài lòng sản phẩm","2","5"
"Rất thoải mái khi mua hàng ở đây .","2","4"
"Quạt thì OK.nhưng cái điều khiển quạt rất tệ.khiển bấm đau cả tay không chạy !","0","2"
"Tốc độ quạt rất yếu so với cây quạt đỏ mua lần trước.","0","2"
"Dịch vụ bán hàng rất tốt","2","4"
"Mới dùng thấy quạt rất vững, chắc chắn. Quạt mát, êm, không ồn. Cần một thời gian mới đánh giá rất tốt được.","2","4"
"Xài rất yên tâm","2","5"
"quạt êm như ko nghe gì","2","5"
"Sp rất đẹp. Chắc chắn. Chạy rất êm","2","5"
"Chưa biết độ bền thế nào nhưng quạt chạy rất em ái. Cánh cứng cáp.","2","4"
"Ổn trong tầm giá","2","4"
"Nhân viên phục vụ rất tốt ,giới thiệu sp nhiệt tình","2","5"
"Quạt đẹp mà gió yếu","1","3"
