"data","label","num_stars"
"Nút hẹn giờ quá lỏng lẽo mới mua vặn đã bị sút ra, kết cấu nhựa không được cứng cáp","1","3"
"Nhân viên đến lắp. Bảo không lắp được, tôi không nhận, nhân viên để lại hoá đơn bảo mai gửi hàng. Nhưng yêu cầu thanh toán. Tôi không hiểu nổi","0","1"
"Quạt rất ồn gập quạt xuống ko được cứ ngẫng trên trời mua giá cao","0","2"
"Quạt kêu rất to, gọi tổng đàu thì kêu mang ra điện máy xanh để nhân viên kiểm tra rất phiền phức.","0","1"
"Quạt hơi kêu","1","3"
"Quạt xài rất OK,, nhưng quạt lâu nghe tiếng cồng cộc chưa rõ nguyên nhân,, tại vì lúc có lúc không,, hi vọng xài thời gian sau sẽ hết nghe tiếng,, cồng cộc nữa","1","3"
"Quạt tốt, giá tốt nha mn","2","5"
"Tạm đc thôi, quạt mới mua làm ko cân bằng nên bị kêu","1","3"
"Dùng tốt giá rẻ","2","5"
"Quạt chạy êm","2","5"
"Mới dùng thấy ổn,còn bền hay không thì cần tgian mới biết nhé mn.","2","4"
"Tốt,giá hợp lý","2","5"
"Tôi đã nhận được quạt được vận chuyển nguyên thùng. Sau đó tôi đã đt liên hệ Điện máy xanh hỗ trợ lắp quạt.","2","5"
"tốt. chạy êm","2","5"
"Quạt hơi yếu","1","3"
"Máy chạy kêu, k mượt","0","1"
"Chất lượng tốt hơn mong đợi","2","5"
"Quạt ok nhe","2","4"
"Quạt chạy tốt chỉ có tiếng quạt hơi to tí","2","4"
"Quạt rất im","2","5"
"Quạt tốt ,, có điều con này quá cao so với tôi nghĩ ,, lỡ đặt rồi sợ đổi lại lu bu ,, nên lấy luôn ,, khi bặt quạt lên nó cứ rung rung ,, vì quá cao . Nhưng kg sao thấy quạt rất mạnh ,,.","2","4"
"Quạt chạy êm re","2","5"
"Quạt chạy nó kiêu to quá giống như lắp ráp ko chắc","0","1"
"Nv dễ thương nhiệt tình ,hàng hóa đa dạng dễ tìm kiếm, giá cả hợp lí , rất thích các chương trình khuyến mãi","2","5"
"Dùng thích nhé mọi người nên mua","2","5"
"Cánh quạt quay em rất mát hiệu này rất tốt tôi đã mua cái này nữa là 2 cái rồi Sài OK lắm","2","5"
"Quạt hơi yếu, muốn đổi qua quạt lửng asia 75w phải làm sao","1","3"
"Chạy êm nhé","2","5"
"Lần trước mua thì ĐMX lắp cho. Lần này mua hẳn 2 cái k lắp cho. Tự lắp k được. Lắp vào mà n cứ kêu cạch cạch","0","1"
"Quạt mạnh rất mát, giá lại rẻ trong phân khúc quạt có remote.","2","5"
"Quạt mát hình thức ok","2","5"
"Quạt tốt, ổn. Hạn chế là góc quạt quay thấp không rộng","2","5"
"Quạt dùng tốt, mát và hướng gió rộng.","2","5"
"Quạt chạy êm","2","5"
"Quạt kiểu dáng đẹp, dùng tốt, phù hợp với giá tiền","2","5"
"Quạt chạy rất êm và mạnh","2","5"
"Phê bình quạt chân yếu mới mua mà chân quạt dùng cứ rè rè rất khó chịu","1","3"
"Dùng ổn nhưng có điểm trừ là chân đế gây ồn do quạt rung khi quay","1","3"
"Sản phẩm tốt, đánh giá tiền","2","4"
"Sản phẩm đẹp, tốt","2","5"
"Cũng được. Máy chạy êm. Giá cao hơn ở ngoài nhưng có vẻ mua ở đây yên tâm hơn một chút","2","5"
"Thật sự thất vọng vô cùng với cách bảo hành quá tệ của Hệ thống siêu thị điện máy xanh.Cái quạt mua về đi bảo hành lỗi của nhà sản xuất nv ĐMX tiếp nhận bảo hành xong về chã làm gì hết. Để y chang vậy 1 thời gian sau kêu Khách hàng ra lấy. Mình phản hồi là sản phẩm không khắc phục lỗi bị hư sao vậy. NV ĐMX lại tiếp nhận nói gửi hãng và hãng sẽ gọi lại tư vấn Nhưng không thấy. Được thời gian ĐMX đưa về trét cho 1 đống keo vô xong kêu Khách hàng ra nhận. Mình viết thẳng lên phiếu nhạn hàng là ĐMX bảo hành quá tệ rất cẩu thả. Về mình vứt xó vì lỗi không khắc phục đượcKhông đúng như quảng cáo là tận tâmVà cái kết của HT","0","1"
"Quạt mới dùng tháng đầu tiên tạm ổn, tới tháng thứ 2 thì quạt chạy ồn, tiếng kêu rè rè rất khó chịu","0","2"
"Sử dụng tốt","2","5"
"Quạt sử dụng có tiếng ồn rất lớn. Đã bảo hành nhưng vẫn ko hết. Không thể sử dụng khi ngủ.","0","1"
"Mát mức tạm ổn","1","3"
"giá thành rẻ, dễ lắp đặt. Độ hoàn thiện phần thân chưa cao. Mùi nhựa lâu hết.","2","4"
"Quạt mạnh kêu hơi lớn","2","5"
"Nhân viên bán hàng vui vẻ nhanh gọn.","2","4"
"Quạt được xíu là nó kêuhaizz.","1","3"
"Chất lượng Ok ..ship hàng vui vẻ nhanh chóng..","2","4"
"Quạt yếu kgv tốt lắm","0","1"
"Máy chạy êm chân đế nhẹ đến hiện tại thấy khá ổn.","2","4"
"Quạt êm mát chân quạt nhẹ. Nêu có màu trắng sẽ đẹp hơn nữa.Mình thấy ổn hơn nhiều 1 cái quạt hãng chuột túi trước đó mình mua với giá gần gấp đôi","2","4"
"Quạt chạy êm ngủ ngon tiết kiệm điện","2","5"
"Quạt ồn quá chạy không êm gì hết dmx ơi.... có cách nào khắc phục ko","1","3"
"Quá ok, giá cả phải chăng giao hàng đúng giờ","2","5"
"K có ý kiến gid","2","4"
"Máy rất tốt","2","5"
"Dùng ổn. Mát chạy êm.","2","5"
"Mua 4 cái ( có 1 cái không hẹn giờ được) - nhìn chung tốt","2","4"
"Chạy khá tốt nhưng các mức gió không hợp lý lắm Mức thấp nhất vẫn còn quá to","2","4"
"Sản phẩm rất tốt","2","4"
"Sp dễ sử dụng,tốt","2","4"
"Quạt mát,quay cả ngày đêm k nóng máy","2","5"
"Rất tốt,nhân viên tư vấn nhiệt tình ,giao hàng nhanh .chất lượng phục vụ tốt","2","5"
"Quạt chạy êm. Nên mua","2","5"
"Quạt chạy êm, mát lạnh","2","5"
"Quạt chạy êm và mát","2","4"
"Tốt Nhẹ Mát","2","4"
"Kiểu dáng đẹp. Chắc chắn","2","4"
"OK chạy êm, nhân viên nhiệt tình, thích phong cách làm việc của đmx","2","5"
"Hàng về chạy rất êm cắt gió mạnh chạy cả đêm không nóng máy hàng của điện máy xanh chất lượng tốt nhân viên rất nhiệt tình","2","5"
"Nhân viên nhiệt tình","2","5"
"Quạt chạy êm, khá ok. Tuy nhiên có mùi nhựa rất khó chịu, đã để ngoài được 1 tuần nhưng vẫn không hết mùi nhựa của quạt","1","3"
"Sản phẩm tốt","2","5"
"Quát êm sức gió không quá nhẹ cũng ko quá mạnh","2","5"
"Hàng tốt nên mua","2","5"
"Sản phẩm dùng ổn với giá tiền.","2","4"
"Bình thường","1","3"
"Quạt xài mạnh.","2","4"
"Chân quạt hơi nhẹ nên không vững","2","4"
"sản phẩm tốt","2","5"
"Rất tốt, nhân viên nhiệt tình","2","5"
"Quạt êm ..giá mềm ,nhân viên giao hàng siêu dễ thương, phục vụ quá ok","2","5"
"quạt êm không ồn. mát vừa phải. chắc chắn. nhân viên nhiệt tình","2","5"
"Quạt kêu hơi to, lâu lâu nó kêu cạch cạch. Còn lại mọi hoạt động đều tốt hêt!","1","3"
"Quạt mới mua đang sử dụng bình thường","1","3"
"Mới nên rất mát và mạnh. Còn lâu thi chưa biết","2","5"
"Mãu mã đẹp, quạt êm nhẹ. Mình hài lòng!","2","4"
"Khá hài lòng vs sp","2","4"
"Tốt chất lượng","2","5"
"Quạt moi mua ma kêu như gì ý","0","2"
"nút quay nó cụp cụp, không quay được, phải để yên 1 chỗ. Hàng dỏm quá.","0","2"
"Quạt senko thì khỏi bàn, Thương hiệu tốt lâu năm. Quạt nặng chắc, máy êm, giá rẻ…","2","5"
"Quạt êm, giống hình.","2","4"
"Hàng ok, giao hàng đúng hẹn, lắp ráp dễ dàng","2","5"
"Hang tốt Hang ok","2","5"
"Tốt, tương đối êm","2","5"
"Hiện tại xài tốt","2","4"
"Trải nghiệm qua mấy ngày.quat chạy êm.","2","5"
"Quạt mát, chạy rất êm, tiết kiệm điện.","2","5"
"Hàng rất tốt","2","5"
"Quạt chạy tương đối êm, nhân viên nhiệt tình chu đáo","2","5"
"Mọi người nên mua, tốt hơn mong đợi","2","5"
"quạt thì khá ổn mà không hiểu sao nó ồn kinh khủng 😥","1","3"
"Quạt mát, k bị phả hơi nóng, hướng gió lan toả rộng.","2","4"
"Chất lượng kém, khi chạy tiếng ồn lắm","0","2"
"Rất hài lòng với sản phẩm","2","4"
"Quạt chắc chắn, chạy khỏe,mát","2","5"
"Quạt hư nút hẹn giờ, lúc giao mình quên ko kiểm tra nút hẹn giờ, tiếng ồn quá to","0","1"
"Giao hàng nhann, quạt mạnh, êm","2","5"
"Quạt rẻ mà dùng oki phết.","2","5"
"Quạt điện ko","2","4"
"Quạt cứng cáp, hoạt động êm ái, gió mát.","2","5"
"Sử dụng tốt","2","4"
"Nhân viên giao hàng của điện máy xanh rất lễ phép, sẽ tiếp tục đặt hàng. Đã sử dụng quạt đứng Senko, máy chạy êm, giá cả phù hợp.","2","5"
"Mình ko hẹn giờ được","1","3"
"Chạy êm , chia gió điều , xoay tốt , cứng cáp , khớp nối tốt","2","5"
"Bị lỗi 1 trụ xoay","0","2"
"Quạt chạy êm, tốc độ gió ổn định,mát rất tốt.......","2","5"
"Hàng hóa chất lượng tốt giá phải chăng Nhân viên nhiệt tình","2","5"
"Quạt chạy mạnh . Êm .","2","5"
"Quạt xài ok, đúng với số tiền bỏ ra","2","5"
"Xài tốt , trọng lượng quạt nhẹ rất thích","2","5"
"Quạt khá êm. Nhân viên giao hàng thân thiện!","2","5"
"Quạt mạnh mát nhen ❤️","2","4"
"Tốt, quạt mạnh","2","4"
"quạt đẹp, bền, nên mua","2","5"
"Quạt chạy kêu rất to, có thể lỗi motor","0","1"
"Chạy tốt nhưng hơi ồn phát ra từ đế nhựa.","2","4"
"Quạt gió nhẹ ko ồn","2","5"
"Tốt, chất lượng đợ kiểm tra theo thời gian","2","4"
"Giá như trong mơ, chất lượng tốt","2","4"
"Quá OK nhé đã sd khá lâu r gio mới dk đánh giá khá tốt quá OK cho shop 5 sao mọi ng nên mua hợp túi tiền ạ","2","5"
"Nó quay qua quay lại là nghe tiếng kêu inh ỏi","1","3"
"Quạt sử dụng ok, hợp giá tiền","2","4"
"Sản phẩm tốt","2","5"
"Giao tới đã hư trục .","0","1"
