"data","label","num_stars"
"Quạt bật số 2 kêu ri ri cực kì khó chịu,k biết bị gì mà kêu vậy","0","2"
"Quạt có remote, số 2 khá mát còn số 3 thì hơi mạnh","2","5"
"hơi dung kêu to","0","1"
"Tốt tuy nhiên trục xoay của quạt khá ít không như quạt hiệu Asia. Nhưng cũng được","2","5"
"Dùng được vài ngày thì bấm số 1 không hoạt động, chỉ chạy được số 2 và 3","0","2"
"Quạt chạy êm, thiết kế gọn nhẹ.","2","4"
"Quạt quay như cối xay, ồn ào","0","1"
"Cho hỏi: cứ hết chu trình chạy của quay tuốc lanh, lại có tiếng gõ "" cách"" là do va đập gì gây ra và cách khắc phục thế nào ?","2","4"
"Quạt chạy êm, thiết kế đẹp mắt","2","4"
"Mới mua xài thấy tốt không biết thời gian sau thế nào nữa","2","4"
"Lần sau gọi cho số điện thoại chính trước","2","4"
"Quạt sd rất tốt. Còn kỹ thuật lắp đặt trình độ kém. Có cái quạt lắp cũng cho sai","2","5"
"Rất hài lòng","2","5"
"Tôi thấy sản phâme mua ở đây tốt thái độ của nhân viên thật tuyệt vời","2","5"
"Sản phẩm tốt","2","4"
"Sản phẩm tốt","2","4"
"Quạt chạy êm","2","4"
"Êm và không nghe tiếng ồn","2","5"
"Quạt chạy êm, điều khiển nhạy, tôi hài lòng","2","4"
"Quạt máy gọn OK","2","5"
"Quạt chưa dùng đã hỏng","0","1"
"Bình thưong","1","3"
"Sản phẩm tốt, rất hài lòng.","2","4"
"Shop rất tốt","2","5"
"Quạt dùng tốt","2","4"
"Khi chốt đơn xong mới nhìn kỹ . Quạt quá cũ lại thêm không có remote . Muốn mua cái remote mà báo giá tới 480n .","1","3"
"Dùng được 2,3 ngày là kêu cạch cạch khi xoay trái phải, rút đứng thì có lúc kêu è è.","0","1"
"Gió tự nhiên tuyệt vời.","2","4"
"Hài lòng với sản phẩm","2","5"
"Quạt chạy êm và mát shop nhé.","2","5"
"Sản phẩm tốt. Nhân viên giao hàng nhiệt tình, tận tâm 👍👍","2","5"
"Phục vụ tốt","2","4"
"Quạt dùng rất thích, chạy êm. Tuy nhiên chế độ gió tự nhiên hơi ồn chút","2","4"
"Quạt gió mạnh, âm thanh không gây tiếng ồn, có remote thuận tiện khi điều khiển","2","5"
"San pham dung tốt","2","5"
"Quạt chạy êm nhưng nút bấm ở chân nên hơi bất tiện vì phải cúi xuống bấm khi remote het pin. Neu nut bố trú ở phần thân trên thì thuận tien hơn. Xin cảm ơn","2","4"
"Quạt kêu phần khớp chân đế, nsx hoàn thiện kém. ( phải đệm 2 miếng giấy mới tạm khắc phục). So với giá chất lượng chưa tương xứng.","1","3"
"Xin review những ai ngủ thính thì k nên mua. Tháng mình đổi tận 2 cây. K lỗi này thì lỗi khác. Thiết kế mỏng manh. Quạt ồn mặc dù mức min. Quyết định mất 20% lấy cây khác.","0","2"
"Quạt sài quá tệ. Mới đầu chạy về rất êm. chạy được chưa tới 1 tháng thì bắt đầu hư. - Cái núm giữ cánh quạt bị nứt bể mặc dù ko làm gì - Quạt bắt đầu kêu to - Ngày mua 6/8 -> Ngày quạt hư 5/9","0","1"
"dùng k biết bền k chứ thiết kế thực sự rất mỏng manh, điều khiển cũng tệ, k đáng so với tiền và 1 số sp cùng dòng khác như toshiba","1","3"
"Nhân viên giao hàng nhiệt tình thân thiện, giao hàng sai màu với đơn hàng, mình đặt màu đen nhưng lại giao màu xanh, tuy không hài lòng nhưng vì dịch bệnh không muốn tiếp xúc nhiều nên mình nhắm mắt xui tay luôn.","1","3"
"Quạt chạy êm trong tầm giá, điều khiển tiện lợi,,, 5* cho quạt, 5* cho nhân viên giao hàng dù khá xa nhưng giao buổi trưa rất nhiệt tình.","2","5"
