"data","label","num_stars"
"Quạt dùng ổn","2","4"
"Mua về hỏng luôn","0","1"
"Quạt rất chắc chắn, gió mạnh, rốt ok","2","5"
"Quạt tốc độ yếu không như mong đợi","1","3"
"Rất hài lòng về SP này","2","5"
"Sao mở số 1 nó không quay Chỉ sử dụng được số 2,3 thôi","0","2"
"Quạt đẹp tuy lồng quạt lan hơi bé, chưa dùng song đã lắp thử rồi lại tháo cất đi.. cứ tặng 5 sao cho 1 sản phẩm thương hiệu Nhật mà giá tiền phù hợp đã..","2","5"
"Xài tạm ổn, dây cắm điện hơi ngắn","1","3"
"Sản phẩm dùng tốt","2","4"
"Quạt vững chắc màu sắc ưng ý chạy êm","2","4"
"Tốt lắm nha nên mua","2","5"
"Máy chạy tốt rất hài lòng","2","5"
"ok trong mức giá lựa chọn","2","4"
"Sp này tôi đã mua cái thứ 2, trước mua là hàng nhập khẩu indonesia, cái thứ 2 lại là hàng xuất xứ TQ, dòng rẻ nhất mà đủ tính năng chất lượng OK","2","5"
"Quạt chạy rất êm.","2","4"
"Shop nên duy trì bán máy đã qua sử dụng. Nhưng phải là sản phẩm chưa qua sửa chữa và còn bảo hành. Thì sẽ thành công","2","4"
"Quạt rất tốt","2","5"
"Sản phẩm tốt nên mua","2","5"
"Quạt êm, mát","2","4"
"Hãng shap làm quạt tệ,mọi người nên thêm tiền mua cây mitsubishi.","1","3"
"Mạnh ,êm, đẹp.","2","4"
"Đầu quạt hơi cao, kéo xuống mà nó cứ ngóc lên. Phần điều chỉnh chiều cao dễ bị trượt khi ""nắm đầu"" để di chuyển, nên khi di chuyển tốt nhất là nắm phần dưới đế quạt. Đế quạt khá nặng. Quạt khá êm, có điều khiển từ xa tiện lợi. Hy vọng dùng bền, vì động cơ bạc thau dùng 1 tgian sẽ mòn và hỏng.","2","4"
"Quạt tốt, nhân viên bán hàng và giao hàng nhiệt tình. Rất hài lòng!","2","5"
"Chạy êm gió đều...","2","4"
"Quạt xài rất tốt","2","5"
"Quạt không xoay 1 bên được","1","3"
"Quạt hoạt động êm, HK gây ồn","2","4"
"Quạt dùng êm & mát","2","5"
"Quạt chạy êm, mát","2","5"
"Quạt rất êm + công suất lớn + giá vừa túi tiền + thiết kế đẹp 10₫iem 🤗🤗🤗","2","5"
"Em đẹp 10 điểm","2","4"
"Đầu quạt bị cao","1","3"
"quạt kêu cách khi quay","1","3"
"Mới sd thấy ổn","2","5"
"Quạt đẹp và êm, giá thành hợp lý tuy nhiên chốt điều chỉnh chiều cao ở phía sau hơi lỏng","2","4"
"Quạt kêu to không êm","1","3"
"Mới mua được 2 tháng, quạt đẹp và hiện tại dùng tốt. Bền hay ko thì cần chờ thêm thời gian.","2","5"
"Hiện tại đang bị lỗi điều khiển quạt","1","3"
"Quạt chạy nhẹ, gió mát.","2","5"
"Sp tốt. Chăm sóc khách hàng được","2","5"
"Đáng mua giá hợp lý","2","5"
"Đổi cái thứ 4 (cái thứ 2 và 3 bị lỗi lúc nhận nên không sử dụng) sử dụng được 6 tháng thì bị lỗi y như cái đầu tiên, hiện tượng bị tiếng kêu rẹt rẹt phát ra từ phía sau quạt rất ư là khó chịu, nhất là khi ban đêm, không thể ngủ được. Dmx nên dẹp loại quạt này của Sharp đi, tôi là người đã và đang sử dụng. Và khuyên khách hàng nên xem đánh giá đừng nên mua.","0","1"
"Giao hàng nhanh chóng, sản phẩm nhìn bên ngoài khá đẹp so với hình trên web, cái đế nặng quá so với các loại khác, thấy dán nhãn năng lượng là 4 sao lận, ko biết có tiết kiệm điện như nhãn dán ko","2","4"
"sản phẩm tốt , mới đặt mua , quạt chạy êm không gây tiếng ông cảm thấy khó chịu , mẫu mã đẹp , thân quạt nặng nên khi quay sẽ không rung lắc 9/10 sản phẩm","2","5"
