"data","label","num_stars"
"Tôi bị vỡ cánh quạt bên điện máy xanh có bán cánh quạt thay thế không ạ","2","5"
"Quạt này dùng ok song không có nút quay mà nó tự quay","1","3"
"Quạt gió khá mát, động cơ quay rất êm, mình rất hài lòng với sản phẩm này","2","5"
"Đặt hàng đã thanh toán rồi nhưng tới lúc ship hàng thì shipper báo chưa thanh toán rất phiền phức phải ra chụp hình lại rồi check lại hệ thống không biết lỗi do hệ thống hay do nhân viên nhưng trải nghiệm lần này rất rất tệ","0","1"
"Quạt mới đầu rất êm dùng dk tháng bắt đầu có tiếng kêu va k tự xoay dk","1","3"
"Quạt sử dụng tốt","2","5"
"Tốt cả nhà nên mua nha","2","5"
"Xài được 1 tuần rồi, thấy cũng ok, chưa có vấn đề gì","2","5"
"Quạt gãy như vậy biết còn bán cho khách hàng, bởi ko có giá trị nhiêu, bằng bửa ăn sáng nên làm biếng đánh giá","0","1"
"Sản phẩm rất OK","2","5"
"Quá ổn với mức giá này nhé, phù hợp cho bạn nào lắp thêm trong phòng ngủ xài điều hoà như mình","2","4"
"Quạt ok, khá êm","2","4"
"Chất lượng tốt","2","5"
"Thấy cũng được","2","4"
"Rất êm ái...","2","5"
"Êm lắm đã mua 5 cây","2","5"
"Quạt ok shop ơi. Mát mẻ cho mùa hè nóng nực","2","5"
"Quạt rất phù hợp cho trẻ vào tháng tuổi","2","4"
"Ok rất ưng ý","2","5"
"Quạt thỉnh thoảng bật nhưng k quay xong phải nâng quạt lên thả xuống đập đập nhẹ xuống sàn nhà vài lần mới quay","0","2"
"Mua rôi..sài rất ưng","2","5"
"Sản phẩm dùng tốt trong phân khúc giá này. 2 cấp độ gió đủ dùng cho 2 người. NV hỗ trợ thật nhiệt tình nữa","2","5"
"Mát nhẹ nhàng","2","4"
"Quạt dùng tốt","2","4"
"Sản phẩm tốt trong tầm giá","2","5"
"Quạt ổn nhưng công suất hơi yếu.","2","5"
"Sản phẩm tốt","2","5"
"Hàng tốt đẹp","2","5"
"Quạt dùng tốt tuy nhiên trk mình mua một lần rồi có thể chỉnh lồng quay. Nhưng lần này mua lồng quay không chỉnh dừng được cứ quay suốt thôi","2","5"
"Hàng rẻ như vậy là ok rồi ah","2","4"
"Mới mua được 1 tuần đêm đang ngủ bị loé lửa chập điện luôn rất sợ","0","1"
"Quạt chạy êm lắm sản phẩm chất lượng giả cả phải chăng","2","5"
"quạt tốtphù hopt với giá tiền","2","5"
"Không mát cho lắm","1","3"
"Quạt rấy êm","2","4"
"Quạt chạy êm","2","5"
"Quạt mát và nhỏ gọn","2","5"
"Sản phẩm tốt trong tầm giá !","2","5"
"Ngon, bổ, rẻ","2","4"
"Quạt xài ổn ! Xài được hơn năm rồi vẫn hoạt động bình thường , giá ổn","2","4"
"đã trả hàng","0","2"
"Quạt chạy êm mát phù hợp diện tích làm mát nhỏ","2","4"
"Hàng cũ hay gì nút thì trầy xước, mặt trước quạt thì dính nhớt đồ dơ lum la quá chừng trong quạt có tóc bụi bặm cũng k vệ sinh trước khi giao hàng! Nói tóm lại mua online mà giống như đang mua hàng cũ vậy!","0","1"
"Quạt êm rất mát. Nv vui vẻ","2","5"
"Mát, chạy êm, ko có cảm giác có hơi nóng như quạt khác","2","5"
"Mọi thứ rất tốt","2","5"
"Quạt chạy khoẻ. Phù hợp giá tiền","2","5"
"Bình thường","1","3"
"Đang dùng quạt chạy mát êm ạ, hy vọng bền","2","4"
"Sản phẩm OK sẽ ủng hộ shop","2","5"
"Mọi người lên mua","2","5"
"Quạt dùng êm lắm ak","2","5"
"Quạt cũng êm.tốt trong tầm giá.","2","5"
"Nấc quạt cứ bị tự ngẩng lên k cụp xuống lại bị ngẩng lên rất khó chịu","1","3"
"Mua dc hơn 1 tuần xài thấy ok quạt êm. Nhân viên chu đáo nhiệt tình","2","5"
"Sản phẩm gần như mới, sử dụng rất tốt, rất đáng tiền.","2","5"
"Sản phẩm ổn trong tầm giá","2","4"
"Mua 2 cái giống nhau tại Đmx , nhưng cái này jeeu to hơn cái thứ 1","1","3"
"Tốt và giao hàng nhanh","2","5"
"Quạt chạy ok , nhân viên giao hàng nhiệt tình","2","5"
"Quạt chạy êm, và mát. Giá hợp lý. Hài lòng","2","5"
"Nhân viên nhiệt tình, quạt chất lượng tốt","2","5"
"Quạt chạy tốt êm","2","5"
"Quạt rất nhiều gió. Mẫu mã hiện đại","2","5"
"Sản phẩm sài tốt","2","4"
"Chạy êm, em bé làm đổ khoảng 20 lần rồi mà vẫn ko có dấu hiệu hư hỏng gì.","2","5"
"Quạt dùng tốt. Có các mức độ mạnh, nhẹ khác nhau. Phù hợp nhu cầu sử dụng","2","4"
"Quạt dùng tốt","2","4"
"Quạt mát, phù hợp với giá tiền","2","4"
"Chất lượng tốt so với giá tiền","2","4"
"Phục vụ tận tình","2","5"
"Quạt dùng chạy tốt và êm, nhưng không có sự khác biệt rõ giữa 3 nút chế độ gió, gió vừa chứ ko quá mạnh.","2","4"
"Quạt chạy ổn định, có chắc năng tự ngắt điện khi ngả. Công suất phù hợp với nhu câif","2","4"
"Cũm oki ó, mấy anh chị nhân viên cute🫶","2","4"
"Hàng rất tốt","2","5"
"Chạy êm, khá mát","2","5"
"Hàng kém chất lượng, vừa mới bóc ra dùng đã kêu lẹt kẹt, coi như mua về vất đi, nhà có trẻ nhỏ hoặc người sợ ồn lớn thì k nên mua. Phản hổi lại muốn đổi mới hoặc đổi sang sản phẩm khác thì nhân viên yêu cầu mang ra tận cửa hàng kiểm tra, mua online vì con nhỏ mà giờ mất công mất việc đi bảo hành chắc gì đã chạy êm. Khuyên mọi người nếu mua nên đến trực tiếp chứ đừng mua online","0","1"
"rất ok, quạt khá êm, gió thoải mái ko gây khó chịu khi ngồi lâu","2","5"
"Quạt mạnh, nhưng cánh tản gió quay quá nhanh, vặn chặt lại thì lại kêu như bánh xe bị đảo vành","1","3"
"Rất hài lòng","2","5"
"tốt .. rẻ .. ngon .. hợp lý","2","5"
"Nhân viên ok","2","5"
"Có thể dùng được","2","5"
"Khi cần sẽ có ngay, vận chuyển, thanh toán nhanh chóng","2","5"
"Sản phẩm tin dùng","2","5"
"Sp xai cung ok lam nhưng co điều ko lạnh lắm","2","5"
