"data","label","num_stars"
"quạt rất tệ, chất lượng k đúng vs giá tiền","0","1"
"Quạt này rất là tệ, cổ quạt rất yếu, mua mới được mấy tháng về là đã bị hư chức năng đảo xoay đi xoay lại rồi, thấy ĐMX có ghi là được Đổi mới trong 12 tháng mà mang ra thì nhân viên lại nói là chỉ được đổi mới trong 1 tháng đầu tiên thôi, còn từ tháng thứ 2 trở đi nếu bị hư thì chỉ có gửi lên hãng để bảo hành thôi. Vẫn đang còn bị lấn cấn chưa hiểu rõ ràng khúc này lắm đâu nha","0","1"
"Máy lỗi ko được đổi trả","0","2"
"Sài chưa gì hư rồi. Bảo hành rồi vẫn vậy huhu","0","2"
"Nhẹ và rất tiện dụng","2","4"
"Hư xoay rồi và không có bảo hành tận nhà","0","1"
"Rất hài lòng","2","5"
"Góc xoay rộng, gió mạnh, có hẹn giờ tiện lợi.","2","5"
"Chạy rất mát","2","5"
"Quat dung duoc can loai co dieu khien tu xa...gioi thieu duoc khg","2","4"
"Rất tốt và phong cách","2","5"
"Quạt rất tốt","2","5"
"Đẹp, chạy êm","2","5"
"Quạt xinh. Mức gió 1 và 2 khác biệt rõ rệt","2","4"
"Quạt ko được êm, hơi ồn, ko mạnh gió lắm","1","3"
"Quạt chạy êm","2","4"
"Dùng được 3 ngày để chế độ quay phát ra tiếng kêu rất khó chịu","1","3"
"Quạt khá tốt , nhưng nút bấm tăng cao lên quá yếu , bấm mãi không bậc cao lên ,phải chỉnh thủ công. Ngoài ra mọi thứ OK.","2","4"
"Quật êm, tiếng ồn rất ít. Ca's nút bấm thân thiện với người dùng.","2","5"
"Quạt đẹp, chạy êm. Với tầm giá này tôi nghĩ rất ổn. Nếu dòng này có điều khiển từ xa nữa thì quá tốt. Tôi sẽ ủng hộ","2","4"
"Quạt đẹp, gọn nhẹ. Đế chắc chắn, chạy êm. Mua hàng online Điện Máy Xanh dễ dàng, thuận tiện, giao hàng rất nhanh. Nhân viên giao hàng và lắp ráp cẩn thận","2","5"
"Quạt mạnh và chạy êm","2","4"
"Quạt nhỏ gọn, mát, êm.","2","5"
"Quạt chạy êm, hình thức đẹp","2","5"
"Không cần giải thích. Dùng thử mới biết. Vẫn 5 sao cho việc giao hàng nhanh chóng.","2","5"
"Quạt êm, mua lúc km 666k.","2","5"
