"data","label","num_stars"
"Qua te,ban hang k co tam","0","1"
"Quạt bền xài ổn","2","4"
"Quạt dùng tốt","2","5"
"Quạt gió hơi nhẹ nhưng êm.đêm ko gây tiếng ồn.nói chung là sử dụng thấy ổn.","2","4"
"Chất lượng ok","2","5"
"Quá tốt, lần sau sẽ mua thêm","2","5"
"Quạt xài tốt, gió mát","2","5"
"Quạt chạy êm gió mạnh","2","5"
"Quạt chạy êm, gió mạnh mát","2","4"
"quạt hơi yếu","1","3"
"Máy sử dụng tốt, giá hợp lý. Nên mua","2","5"
"Rất dễ dùng","2","5"
"Quạt rất tốt","2","5"
"Oki chạy êm và mát lắm","2","5"
"Dùng đc tốt","2","5"
"Giao hàng nhanh. Quạt tốt.","2","5"
"quạt mạnh , dùng lâu ko nóng","2","5"
"Quạt lửng asia 5 cánh dùng rất tốt","2","4"
"Quạt sài ok","2","5"
"Tuyệt vời không gì chối bỏ được","2","5"
"Mua trong tết được sale giá còn 356k, quạt này mới sx 11/2023 nên có chỗ cầm xách lên, đợt mua cây kia 65w mạnh wá phải đem cho, cây này 55w xài wá ok rồi","2","5"
"Quạt này sử dụng rất tốt, rất mát nên mua nha","2","5"
"Quạt sd ok giá thành hợp lý nên mua nhé cả nhà","2","5"
"Sản phẩm này rất tốt","2","5"
"Sản phẩm dùng rất tốt","2","5"
"Quạt mát. Khá đẹp . Mới mua nên ko biết có bền không. Quạt quay kêu khá ồn dù để số nhỏ nhất nếu ở phòng trọ nhỏ như mình thì kêu còn rõ hơn","1","3"
"Tốt. Gió mạnhHơi bất tiện không có quai xách. Nút ấn thì lại là dạng núm xoay đặt sau lồng quạt nên mỗi lần tắt bật đều vòng tay về sau xoáy hơi vướng.","2","4"
"Quạt đứng Asia chạy tốt lắm","2","5"
"Máy quạt mạnh, êm, nv nhiệt tình","2","5"
"Hàng dùng bt hơi bất tiện là không có đồ cầm xách quạt khi di dời vị trí","1","3"
"Quạt chạy tốt. Nhân viên phục vụ nhiệt tình","2","4"
"Quat asia này rất tốt đã từng sử dụng","2","5"
"Quạt cứng cáp, màu sắc đẹp, quạt mạnh công suất lớn nên hơi ồn tí. Không có quay xách nên khó di chuyển. Còn lại mọi thứ đều okela","2","4"
"Quạt xài tốt . nhân viên nhiệt tình thân thiện .","2","5"
"Quạt tốt nên mua","2","5"
"Quạt chạy rất mát","2","5"
"Tốt,đông cơ êm gió mạnh","2","4"
"Dịch vụ rất tốt. Sẽ quay lại mua và ủng hộ","2","5"
"Sản phẩm bt","1","3"
"Quạt mạnh..mát..tốt","2","5"
"Tiếng kêu hơi ồn, k có vị trí quai xách để di chuyển quạt","1","3"
"Hàng chuẩn. Tinh thần phục vụ tốt!","2","4"
"Quạt Chay cũng êm","2","4"
"Không có tay xách trên lồng quạt rất bất tiện","1","3"
"Quạt nhẹ, mát, mới sd nên ko biết bền hay ko . Shiper giao hàng nhiệt tình","2","4"
"Ko có chỗ nắm để nhấc di chuyển rất bất tiện","1","3"
"Sản phẩm tốt","2","5"
"K có quai xách nên hơi bất tiện, quạt gió to muốn bay cả người. Hi vọng bền","2","4"
"Quạt chạy êm. Nhưng có 1 điểm trừ: Quạt k có quai cầm phía sau, khá bất tiện","1","3"
"Hiện tại quạt chạy êm, mát.","2","4"
"Quạt mạnh, yên tĩnh.","2","5"
"Quạt yếu thật sự hơn quạt 300k","0","1"
"Lồng quạt hơi yếu","1","3"
"Quạt chạy hơi yếu","1","3"
"Cảm ơn đã phục vụ tốt","2","5"
"Quạt mới dùng mấy tháng mà động cơ đã yếu xìu quạt bật nấc mạnh nhất cũng như nấc nhẹ nhất .","0","1"
"Quạt vận hành tốt máy chạy em.","2","5"
"Cảm ơn sự nhiệt tình hỗ trợ của nhân viên bán hàng!","2","5"
"Sản phẩm tốt,BHX giao hàng nhanh,thân thiện","2","5"
"Hài lòng... Đúng ý Đúng Mô tả QC Màu đẹp Chế độ Mát hài lòng 😍😍😍","2","5"
"Giao cây quạt không hề giống hình ảnh sản phẩm trên trang bán hàng. Vừa mới gắn vô chạy thử đã kêu và chạy yếu","0","2"
"Quạt xài ok. Chạy êm","2","5"
"Quạt nhẹ mà mạnh","2","4"
"Quạt mát, êm, nên mua","2","5"
"Quạt chạy rất êm","2","5"
"Sản phẩm giao lỗi, quạt mà phần mặt lồng sắt quạt phía sau không có quai để xách giống như bao quạt khác. Di chuyển rất khó khăn !","0","1"
"Toi rat thich cach phuc vu cua nhan vien ban hang","2","5"
"Mới sử dụng vài hôm thấy mạnh êm... Ko biết độ bền thế nào.... Lồng quạt ko có chỗ cầm ko thích","2","4"
"Quạt mạnh và êm","2","5"
"Tôi thấy sản phẩm tốt, nhan viên bán hàng nhiệt tình. Ok","2","5"
"Quạt rất đẹp và tốt","2","5"
