"data","label","num_stars"
"Mấy ngày đầu quạt dùng êm, mấy ngày sau quạt kêu rè rè cả ngày cả đêm không thể ngủ được. ĐMX đổi dùm mình cái quạt khác ạ.","1","3"
"Sao cái quạt nó k chúi cái cổ xuống được toàn ngưỡc lên nhìn trời k","1","3"
"Quạt ồn quá.ĐMX đổi cho tôi cây khác đi.ồn như máy bay phản lực","0","1"
"Xài thích lắm ạ","2","5"
"Thiết kế ổn, mở số 1 cũng đủ mát rồi. Quạt chạy cũng êm, mở cả ngày mà đầu quạt vẫn mát","2","5"
"Quạt bật số 1 mà mạnh quá, quay nhanh và phát ra tiếng ồn quá, vừa mua xong muốn đổi ngay quạt khác quá","0","2"
"Quạt mạnh, êm thời gian đầu, thời gian sau quạt kêu rè rè bên trong nắp hộp tiếng lớn","2","4"
"Quạt ra sức gió k có mạnh nên mát nhẹ à","1","3"
"Đặt mua nhân viên chỉ giao hàng không lắp đặt dùm. Hiện bị lỗi vẫn chưa sử dụng được","0","1"
"Cũng ok xịn mát lắm","2","4"
"Dùng đc 2 ngày, hỏng nút số 3 luôn, sản phẩm rất tệ","0","1"
"Quạt thì OK nhưng nhân viên bán hàng làm thái độ khi khách yêu cầu lắp quạt ủa bán hàng mà đưa cái hộp tùm lum linh kiện hết trơn sao khách biết ráp bán buôn mà thái độ khi khách yêu cầu lắp","1","3"
"Thiết kế rất tệ, hay bị lỗi ở khớp nối, chẳng hiểu thiết kế kiểu gì luôn. Sai lầm khi mua sản phẩm này","0","1"
"Được cảm ơn","2","4"
"Sử dụng rất tốt","2","5"
"Quạt xịn. Rất êm. Giá lại rất rẻ nữa ạ","2","5"
"Sản phẩm quá tuyệt vời, đẹp, cứng rắn và quạt mạnh, bảo hành an tâm","2","5"
"Quạt chạy rất tốt ạ","2","5"
"Quạt cứng cáp. Tốc độ gió rất mạnh. đc giảm giá rất tốt.","2","5"
"Quạt xài êm, gió mát, màu sắc đẹp, sẽ ủng hộ tiếp nhé.","2","5"
"Cái phần thân quạt cái ốc vặn ko chặt dx cứ bị rời ra . Mang sang DMX thì ngại.","0","2"
"Quạt dùng tốt","2","4"
"Tốt, rất mạnh","2","5"
"Đáng lý đánh giá 5 sao . Nhưng sai giới tính đánh giá 3 sao .","1","3"
"Rất tốt , đúng hàng của cty , quạt chạy rất êm","2","5"
"quạt chạy mạnh,êm","2","4"
"Quạt tốt và bền. Hàng Việt Nam chất lượng cao. Giá thành hợp lý.","2","5"
"Quạt OK nha, giá rất rẻ","2","5"
"Chất liệu nhựa hơi tệ, quạt nặng đầu nên để rất dễ ngã","1","3"
"Quạt mua ban đầu về quay êm, quay nhanh, nhưng được cỡ 1 năm bắt đầu quay chậm dần rồi đứt dây bên trong rồi ngưng luôn","0","2"
"Quạt đẹp và tốt, rất tin tưởng","2","5"
"Ok quạt khoẻ","2","5"
"Tuyệt vời, quạt êm, chất lượng tốt, màu sắc đẹp, rắn chắc","2","5"
"Gió vừa đủ mát, không quá ồn, tháo lắp dễ dàng","2","5"
"Tốt quạt quay mạnh","2","5"
"Sản phẩm tốt","2","5"
"Quạt rất tốt","2","5"
"Quạt hơi yếu, nhưng vậy là ổn áp.","2","4"
"Xai ổn, nút bấm ko chắc lắm.","2","4"
"Bình thường. Càng ngày thì loại này quạt gió k mạnh như thời trước.","2","4"
"Quạt chạy êm nhưng tốc độ làm mác không mạnh","2","4"
"Quạt bật số nhỏ nhất nhưng tiếng kêu khá to. Ban đêm sẽ nghe ồn hơn.","1","3"
"Quạt mạnh 3 Số tốc độ không khác biệt lắm","2","5"
"Quạt dùng ok lắm","2","5"
"Dùng cũng ổn","2","5"
"Mình đã mua sp, ban đầu dùng rất oki, nhưng mới dùng chưa đc 1 tuần thì nó kêu to cạch cạch","0","2"
"Quạt tốt giá phải chăng","2","5"
"Số 1,Chạy tít quá, Chạy số to nhất cắt gió hơi ù","2","4"
"Sản phẩm tốt trong tầm giá.","2","4"
"Quạt dễ lắm đặt, màu đẹp, động cơ mạnh","2","5"
"Quạt sử dụng OK, mình chỉ để bình thường thế OK , còn kéo cao lên có vẻ không tự tin mấy vì có con óc gắn vô cạn nên không biết khi nâng quạt cao lên có chắc chắn không","2","5"
"Sp tốt,nv nhiệt tình","2","5"
"Dùng mới 1 tháng mà giờ quạt phát ra tiếng kêu è è rất ồn","0","1"
"Sản phẩm Ok","2","4"
"Quạt Senko xài OK nhà mình xài hiệu này không nha mọi người rất thích","2","4"
"Quạt ồn kinh khủng, mới mua hôm qua mà nay chạy đã ồn chịu không nổi","0","2"
"xài đúng 2 ngày là bắt đầu kêu rẹt rẹt to kinh khủng, không tin được luôn","0","1"
"Sân phẩm tot","2","5"
"Quạt có mùi hôi quá, nằm quạt nghe mùi nhựa k à","2","5"
"Chạy im tốt","2","5"
"Rẻ, quạt êm, các số độ mạnh không khác nhau lắm","2","5"
"Hàng ok.giao nhanh.hướng dẫn nhiệt tình","2","5"
"Quạt rất OK","2","5"
