"data","label","num_stars"
"Quạt hơi ồn","1","3"
"quạt lùn hơn mô tả","1","3"
"Giao hàng nhanhQuạt mạnh mát lắm","2","5"
"Quạt mạnh , mát . Ok","2","4"
"Dùng ok đấy. Giá đợt này trong dmx thấy còn rẻ hơn các bên khác","2","5"
"Sản phẩm xài tốt nhưng shipper và cửa hàng ko gọi mình trước khi đi giao mà khi shipper tới trước cửa rồi mới gọi làm đang đi cf sáng phải chạy gấp về","2","5"
"Sản phẩm ok","2","5"
"Tốt với tầm giá","2","5"
"Thiếu 1 con ốc nhưng mà vẫn xài ổn, nhưng hạn chế di chuyển vì dễ bị đầu lìa khỏi thân.","2","5"
"Sản phẩm dùng rất tốt","2","5"
"Quạt quá ồn","0","1"
"Xài tốt quạt mát lắm","2","5"
"Bị thiếu mất 1 phụ kiện ống điều chỉnh độ cao, phải làm sao shop ơi","1","3"
"Quạt rất mạnh","2","5"
"giá cao hơn cửa hàng bên ngoài 100k","2","4"
"Giá rẻ công suất cao, quạt rất chất lượng Dịch vụ nhân viên nhanh chóng","2","5"
"Quạt xài được tuần đầu còn êm xíu, sau thì ồn do công suất lớn, mình muốn bán lại ghê, để mua quạt khác dùng. Huhu","1","3"
"Quạt okie, nhưng kêu hơi to ,ban đêm mà quạt ồn ko ngủ đc ..","2","5"
"Sản phẩm tốt trong tằm giá. Gió mạnh","2","5"
"Quạt chạy êm, rất mát","2","5"
"Tốt, giá rẻ","2","5"
"Quạt mạnh, êm","2","5"
"quạt dùng tốt mua online giao hàng nhanh ok","2","5"
"Sản phẩm tốt. Gió mát","2","5"
"Tốt, rất hài lòng","2","5"
"Quạt mạnh, chạy êm","2","5"
"Sản phẩm dùng ok","2","4"
"Quạt êm ít ồn , gió mạnh , giá đáng đồng tiền","2","5"
"Xài ổn, quạt êm, mát","2","5"
"Dạ quạt xài rất tốt ạ .ok lắm nha mọi người","2","5"
"Quạt dùng mát, k biết thời gian sao. Vừa dính vố bảo hành máy lạnh đmx sợ quá. Mấy đồ giá tiền này kb sao","2","5"
"Quạt siêu mát ạ, mình dùng còn nhiều hơn máy lạnh","2","5"
"Quạt dùng ok","2","4"
"Sản phẩm rất OK và tốt cho shop 5 sao","2","5"
"Đang xài thấy tốt","2","5"
"Quạt mạnh xài tốt.","2","4"
"Tạm ổn Ban đêm nghe tiếng cánh quạt không được êm","1","3"
"Quạt khá mạnh rất mát","2","5"
"Sao k ráp đc. Cái chốt kéo lên xuống k mở đc để lắp.","1","3"
"Quạt chạy mạnh, rất mát nha mọi ng. Tính ra xài tốt hơn mấy quạt hiện đại mấy triệu nhiều.","2","5"
"Quạt rất im và chắc chắn Mọi người nên mua","2","5"
"Quạt chạy êm, mát, khỏe","2","5"
"Sản phẩm tốt. Luôn hài lòng về thương hiệu và chất lượng của Senko","2","4"
"Quạt rất mạnh","2","5"
"hàng xài ok lắm tốt nên mn nên mua nhé","2","5"
"Rất tốt mình Rất hài lòng","2","5"
"Chất lượng tốt","2","5"
"Mát lắm ạ. Quạt chạy mạnh, êm.","2","5"
"Quạt mát, mạnh mẽ","2","5"
"Quạt dùng ok mà khs vừa bóc ra nút quay đã bị vỡ rồi","2","4"
"Sản phẩm chất lượng","2","5"
"Quạt xài rất tốt ạ","2","5"
"Giá bán ĐMX quá cao so với thị trường bên ngoài, mua xong mới vô tình hỏi ở ngoài thị trường có 360k, biết là hệ thống lớn thì thường cao hơn bên ngoài 1 chút nhưng cao hơn 130k thì quá nhiều. Không có lần sau","0","1"
"Quạt quay rất mạnh , cực mát luôn , dòng f23 này cải tiến động cơ rất tốt , sẽ mua thêm vài cây trong thời gian tới","2","5"
"Mua online, ông giao hàng k lắp dùm. Có liên hệ tổng đài và có bạn nhân viên lại lắp dùm.Hỗ trợ tốt, còn chât lượng thì cũng được, tốt trong tầm giá.Thanks","2","5"
"Quạt dễ lắp. Chạy rất oke , ổn định","2","5"
"Quat chạy mạnh mát lắm","2","4"
"Quạt Sài rất tốt nên mua.. lần sau ủng hộ shop","2","5"
"Đáng mua nhe mn","2","5"
"Quạt mạnh và êm, tương đối chắc chắn, ổn.","2","5"
"Nhân viên tư vẫn nhiệt tình nhẹ nhàng chu đáo,Tôi đánh giá sp ok","2","4"
"Quạt chạy tốt. In","2","4"
"Quạt chạy tốt","2","5"
"Quạt mạnh. Máy êm","2","5"
"độ bền thì chưa thể kiểm chứng, nhưng nó xứng đáng với 65w như thông tin sản phẩm","2","5"
"Quạt oke nhé","2","5"
"Quạt sài tốt mà ráp vào khung hơi bị rộng","2","4"
"Mạnh. Mát. Ok. Như cuồng phong nha","2","5"
"Mua 1lượt 2cái quạt luôn là bít độ tin cậy đối vs thương hiệu này rồi.Giao hàng nhanh chóng, chất lượng quá OK5 cho chất lượng5 cho dịch vụ","2","5"
"Quạt êm , mạnh","2","5"
"Trước mắt là tốt","2","5"
"Sản phẩm dùng rất tốt. Nhân viên tư vấn tận tình","2","5"
"Quạt mạnh, mát, hoật động êm ái không quá ồn","2","5"
"Quạt dùng rất tốt","2","5"
"Quạt dùng em ok nha","2","5"
"Quạt kêu hơi lớn","2","5"
"Quạt rất mát... mẫu mã đẹp. Giao hàng nhanh.","2","5"
"Quạt dùng rất tốt","2","5"
"Hàng tốt nhé mọi người","2","5"
"Quạt mạnh. Thiết kế cũng đẹp gọn. Dịch vụ tốt.","2","5"
"Sản phẩm tốt.","2","5"
"Nhân viên giao hàng không lắp ráp mua quạt ngoài chỗ nào cũng lắp ráp điện máy xanh mua qua online giao đến không lắp ráp","0","2"
"Rất hài lòng","2","5"
"Dùng tốt nhé","2","5"
"Cũng ok mà quạt thấp hơn mình nghĩ","2","4"
"Sản phầm chạy tốt nên mua","2","5"
"Hàng sử dụng tốt ạ","2","5"
"Quạt chạy êm nv giao hàng nhiệt tình","2","5"
"Quạt nhỏ như lực ra có lực rất mạnh","2","5"
"Hàng chất lượng.","2","5"
"Giá mềm, quạt êm đều gió. Tốt","2","4"
"Bình thường","1","3"
"Công suất đúng quảng cáo, gió mạnh, motor chạy êm.","2","5"
"Quạt hơi không chắc chắn, hơi ồn","2","4"
"Sản phẩm dùng tốt, giông mẫu, như miêu tả","2","4"
"Quạt chạy êm! Tuy nhiên số 3 không quay nhanh cho lắm!","2","4"
"San phẩm ok","2","5"
"Máy êm, gió mạnh","2","4"
"Quạt sử dụng bình thường","1","3"
"Xài khoẻ, gió mạnh","2","5"
"quạt này mạnh hơn mình nghĩ , để số 1 mà như số 3 vậy","2","5"
"Chạy ổn định","2","5"
"quạt gió mạnh, mát","2","5"
"Quạt xài ưng ý!","2","5"
"Quạt mạnh, mát và êm","2","5"
"Hàng chày êm ru, mát","2","4"
"Hàng tốt cảm ơn điện máy xanh","2","5"
"Quạt mạnh, tạo gió tốt, nhân viên nhiệt tình","2","5"
"Quạt mát nhẹ","2","4"
"Sản phẩm tốt","2","5"
"Quạt rất xịn giá rẽ, sẽ giới thiệu người thân tiếp tục sử dụng ạ","2","5"
"Dùng tốt, dịch vụ tốt. Rất hài lòng","2","5"
"Quạt hơi mạnh quá :D. Đôi lúc sẽ có người không thóch tiếng gió rít ồn ào.","2","4"
"Mát 7 cánh nhiều gió ghê","2","5"
"Đạt tiêu chuẩn","2","5"
"Quạt senko LTS 1636 mua tại Điện máy xanh Nam Trung Tiền Hải, Thái Bình rất phù hợp với cscs gia đình, nhân viên phục vụ tận tình trách nhiệm, chu đáo","2","5"
"Sản phẩm tốt","2","5"
"Rất ok nên mua","2","5"
"Quạt gió mạnh, mát","2","4"
"Mạnh mẻ. Êm nhẹ","2","5"
"Bạn thu ngân tư vấn rất tốt, rất nhiệt tình còn kiểm tra chạy thử quạt nữa, còn bê ra tận bãi gửi xe quá ok","2","5"
"Tôt thích mua","2","4"
"Rất nhiệt tình","2","5"
"Chạy êm và tốt","2","4"
"Quạt khá mạnh . Tiếng ồn khá nhỏ . Nhưng thỉnh thoảng quạy rung là lại có tiếng rè rè","2","4"
"Quạt mạnh và mả","2","5"
"Mô tơ quạt lâu không nóng vậy chắc là tốt, có điều cầm nắm quạt lên xuống … cảm thấy quạt không đằm không chắc chắn lắm .","2","5"
"Quạt mát, mạnh","2","4"
"Quạt tốt, giao nhận nhanh","2","5"
"Quạt rất mạnh","2","5"
"Máy tốt trong tầm giá, hên khi đặt lúc khuyến mãi","2","5"
"Quạt mạnh. Mát.","2","5"
"Quạt mạnh, mát","2","5"
"Quạt chạy êm..","2","4"
"Sản phẩm sài rất tốt em đã mua 3 cái roi","2","5"
"Quạt mạnh, mát. Mới vừa đặt shop đã giao liền trong 30p","2","4"
"Hiện tại quạt rất tốt","2","5"
"Quạt có vẻ bền á","2","5"
"Sư dùng tốt","2","4"
"Tôi rất tin tưởng vào hàng sẽ ko cũng như cách phục vụ của điện máy xanh","2","5"
"Sản phẩm hiện tại thấy tốt, giao nhanh và nhiệt tình","2","5"
"Quạt ok nhưng hơi nhanh nóng","2","4"
"Mạnh, mát, ko ồn","2","5"
"Giao hàng nhanh. Quạt rất đẹp ak.","2","5"
"Tôi hài lòng với sản phẩm này","2","4"
"Thấy dùng OK phù hợp với giá tiền còn độ bền thì phải dùng mới biết đc","2","5"
"Sản phẩm dùng tốt 3 mức mạnh yếu rõ ràng không như các hãng khác 3 mức mà dường như chỉ có 1 tốc độ","2","5"
"Sản phẩm hoạt độn tốt","2","5"
"Công suất mạnh,giá ổn áp","2","5"
"Quạt mạnh, êm, good ạ","2","5"
"Tốt, hình thức đẹp","2","4"
"Quat rat tot","2","5"
"Sản phẩm xài chất lượng","2","5"
"Ok hài lòng","2","4"
"Senko thì tốt khỏi phải bàn, mình thích mua ở điện máy xanh vì mình thấy uy tín","2","5"
"Tót nhu mong đoi nhan viên vui ve nhiet tình","2","4"
"Quay tốt, êm.","2","4"
"Quạt OK, chất lượng tốt, ko kêu","2","5"
"Quạt tốt. Quạt mát. Chạy êm","2","4"
"Ko biết do ổ điện nhà mình hay do quạt, quạt mới dùng 1 ngày thì nghe có mùi khét động cơ rồi ko quay nữa. ĐMX đổi mới cho mình, dùng được 1 tuần thì thấy ok","2","4"
"sản phẩm tốt","2","4"
"sản phẩm tốt","2","5"
"Hàng tốt so với giá tiền.giao hàng nhanh.chu đáo,nhiệt tình","2","4"
"Quạt chạy mạnh, nên mua","2","4"
"Cảm ơn điện máy xanh nhé.","2","5"
"Quạt chạy khoẻ mát nhe","2","5"
"Quạt chạy tốt, khỏe, rất hài lòng","2","4"
"Quạt hơi yếu. Muốn mát hơn nên dùng quạt công suất lớn hơn.","2","4"
"Công suất lớn nhưng chạy rất êm, mát. Mua Online nên rẻ","2","5"
"Quạt chạy mạnh","2","5"
"Giá cao, quạt không mạnh, bình thường đến mức không thể bình thường hơn, được cái nhân viên Điện Máy Xanh nhiệt tình tốt tính, nếu không chắc chỉ 1 sao cũng xem là nhiều","1","3"
"Xài rất tốt và mát","2","5"
"Sản phẩm tốt , nhân viên phục vụ tốt","2","5"
"Sản phẩm ok","2","5"
"Máy quạt tốt chạy êm. Ngon","2","5"
"Giao nhanh, quạt tốt, gió rất mát","2","5"
"Xài cũng ok","1","3"
"Quạt rất tốt","2","5"
"Hàng tốt chất lượng hộp với túi tiền","2","5"
"Rất hài lòng","2","5"
"Quạt êm, gió mạnh!","2","5"
"Quạt mạnh, êm.","2","5"
"Mua 2 cái dùng ok cần thời gian để xem thế nào","2","5"
"sản phẩm đẹp, quạt rất êm","2","5"
"Quạt rất tốt ạ","2","5"
"Quạt êm, nhân viên lắp đặt nhiệt tình và chu đáo, sẽ ủng hộ dienmayxanh khi có nhu cầu","2","5"
"nhân viên nhiệt tình sp dùng bình thường","1","3"
"Mình rất ưng sản phẩm .","2","5"
"Hợp giá tiền","2","5"
"Cánh quạt theo quạt chạy thỉnh thoảng kêu cạch cạch lúc xoay. Thay cánh khác thì ko kêu. Quạt mạnh","2","4"
"sản phẩm dễ lắp ráp nhân viên nhiệt tình","2","5"
"Đã sử dụng quạt hãng senko rất nhiều chạy mạnh tạo gió mát, giá hợp lý.","2","5"
"Mới dùng thấy ok! Quạt chạy êm, nhiều gió","2","4"
"Đến hôm nay quạt vẫn chạy 0ke, chưa xuất hiện vấn đề gì, nên tôi xếp loại ""tốt"" !","2","4"
"Dùng mát,khoẻ và tốt.máy chạy êm","2","4"
"Tốt rất đán tiền sẻ ủng tiếp","2","5"
"Rất tốt, quạt bền, gió mát","2","5"
"Quạt chạy tốt, mát","2","5"
"Giao hàng nhanh","2","5"
"Chất lượng chạy tốt ok","2","5"
"Nhiệt tình thân thiện","2","5"
"Quạt mạnh, giá cũng ok mọi người nên mua","2","5"
"Quạt rất tốt.","2","5"
"Kiểu dáng đẹp, chạy rất êm và bền.","2","5"
"Quạt chạy mạnh. Nhưng hơi bị tiếng ồn","2","5"
"Quạt mạnh, dùng rất tốt, mn nên mua nha","2","5"
"Quạt mạnh chạy êm nhân viên giao hàng lắp ráp nhiệt tình","2","5"
"Trời lạnh zuá chưa sử dụng thấy êm ru","2","5"
"Quạt mát mạnh , chất lượng thì dùng thời gian mới biết được","2","4"
"Công suất mạnh, nhân viên tư vấn nhiệt tình","2","5"
"Máy chạy êm","2","4"
"quạt tốt giá rẻ","2","5"
"Quạt mạnh . Sài ok lắm nha m.n","2","5"
"quạt dùng ok, nhân viên rất nhiệt tình. sẽ ủng hộ đmx những sản phẩm khác.","2","5"
"Quạt có chút tiếng ồn nhưng chạy mạnh, chắc chắn. Hài lòng","2","4"
"Tôi thấy nhân viên nhiệt tình chu đáo nếu có lần sau tôi lại qua","2","5"
"Sản phẩm tốt, công suất lớn nên gió rất mạnh và mát.","2","5"
"Hiện tại bình thường","2","4"
"Hàng tốt đúng sản phẩm","2","5"
"Quạt tốt, rất mát","2","5"
"Quạt tốt gió mát","2","5"
"Chân đế của quạt bị bập bênh không vững, dù nhân viên đã thay cái chân đế khác vẫn còn. Hình như đây là lỗi chung của đợt hàng này. Sản phẩm thấy không được cứng chắc nhìn rất mong manh, nói chung chỉ tạm được so với các hãng khác với giá mua hơn 500k","1","3"
"Nhân viên nhiệt tình, giao hàng nhanh. Sản phẩm thì mới dùng mấy ngày thì thấy ổn. Hài lòng❤️","2","4"
"Quạt xài tốt, gió mạnh","2","5"
"Cảm thấy tốt vì lâu dài chưa biết sao","2","4"
"Dùng quạt rất tốt","2","4"
"Tốt, quạt mạnh, nên mua mấy loại này xài chứ mua quạt hơi nước rích người hết Nhưng quan trọng là NV của Tgdd,Đmx, dù là k mua nhưng vô tới cửa hàng người ta vẫn nhiệt tình đi theo, dù có mở lời là dạ không cần đầu, e tự đi coi được nhưng vẫn vui vẻ lễ phép lịch sự","2","5"
"Thợ giao không biết ráp quạt","0","1"
"Mát, đẹp, hơi thấp, phòng trọ dùng hợp lý","2","4"
"Quạt đẹp, gió mạnh. Tốt","2","5"
"quạt khoẻ , nhìn chắc chắn , nhưng hơi ồn , nc là ok","2","4"
"Nhân viên giao hàng nhiệt tình, sản phẩm tốt","2","5"
"Chạy mát. Êm và ổn định.","2","4"
"Phục vụ tốt giao hàng đúng giờ quạt êm","2","5"
"Quạt mạnh nhưng hơi ồn chút, chất lượng phù hợp tầm tiền","2","4"
"chất lượng ok","2","4"
"Quạt ồn lắm","1","3"
"sản phẩm ok","2","5"
"Quạt gió mạnh, rất hài lòng","2","5"
"quạt gió mainh mát, đêm lạnh đắp chăn quá ok","2","5"
"Tôi rất vui khi đã mua quạt lửng senko lts1636 sử dụng rất như ý tốt thật. Còn thêm mấy Anh nhân viên bán hàng cũng rất nhiệt tình và vui vẻ tư vấn cho tôi hiểu rõ ràng cụ thể. Xin chân thành cảm ơn điện máy xanh rất nhiều.","2","5"
"Hỏng số 1, 2. Chỉ sử dụng được số 3","1","3"
"Nhân viện nhiệt tình. Quạt mát, hơi ồn xíu","2","4"
"Quạt rất ok quạt rất mạnh luôn mát dữ lắm nhưng bật số 3 nó mạnh quá nên hơi ồn xíu thôi còn lại xuất sắc. Anh giao hàng dễ thương nhiệt tình vui vẻ lắm","2","5"
"Về nhà mở chạy kêu to như máy cày vậy","0","2"
"Bỏ ra 500k để mua gió cho 1 căn phòng khoảng 15m2 thật là xứng đáng","2","5"
"Chạy hơi ồn mà mát lắm","2","5"
"Sản phẩm rất ok","2","5"
"Quạt rất mạnh, điểm trừ là chưa êm lắm","2","4"
"Quạt rất mạnh. Mua với giá 500k thì không có gì để chê","2","4"
"Nhân viên giao hàng nhiệt tình","2","4"
"Quạt khoẻ,mát tôi rất hài lòng","2","5"
"như quang cáo","2","4"
"Quá tuyệt voi..nhanh gọn uy tin","2","5"
"Quạt mạnh êm","2","5"
"Mới dùng nên cũng tốt","2","4"
"Sản phẩm rất tốt, nhân viên giao hàng - lắp ráp tận tình, dễ thương ạ!","2","5"
"Quạt rất OK. Nhân viên nhiệt tình","2","5"
"Quạt công suất cao, oke nhưng dây điện rất ngắn","0","2"
"Quạt mạnh, gió mát, đóng gói cẩn thận","2","5"
"Dùng ok, nhưng hơi ồn","1","3"
