"data","label","num_stars"
"Quạt kêu phá to. Bất tiện nhất là Núm vặn số thiết kế sau quạt , mỗi lần tắt bật RẤT BẤT TIỆN . quạt mạnh . Dùng ổn. Nhân viên nhiệt tình .","2","4"
"Quạt mát nhưng mà có 2 điểm làm ức chế 1 Là nó ồn khủng khiếp, tiếng ồ ồ cực khó chịu 2 là công tắc nguồn chỉ vặn được 1 chiều và mức to nhất lại nằm ở đầu, muốn bật nhỏ phải mất công vặn mấy lần","1","3"
"Độ ồn thì cái quạt cũ 15 năm nhà mình gọi bằng cụ công tắc sau bất tiện , lại ko quay được. Dc mã đẹp và là hãng midea nhưng may quá đổi kịp","0","1"
"Sản phẩm chất lượng, gió mạnh, mình dùng làm quạt hút gió trời.","2","4"
"Quạt mát nhưng hơi ồn","2","4"
"Quạt mạnh, nhưng hơi ồn. Ko để phòng ngủ dc","1","3"
"Rất hài lòng với sản phẩm này","2","5"
"Chạy rất êm","2","5"
"quạt rất đẹp, gió mạnh nha, bật ở mức cao nhất là như cái quạt công nghiệp zậy đó, thổi bay luôn. Dịch vụ giao hàng rất dễ thương, 10đ không có nhưng.","2","5"
"Sản phẩm rất tốt","2","5"
"Sản phẩm ok","2","5"
"Quạt lạnh lắm lun lạnh như lòng người yêu cũ vậy 😂😂😂","2","5"
"Mát, gió mạnh","2","5"
"Mua từ tháng 5/2023 đến nay 22 tháng 6/2023 ( xài mới hơn 1 tháng)quạt lại bị gì mà tự nhiên quạt rất chậm, gió không mát nhiều trước nưa. Muốn liên hệ cửa hàng để được chăm sóc mà không biết ai, ở đâu, số đt nào sẽ giải quyết cho mình???","0","2"
"Quạt ồn,giá hơi cao so với chất lượng ,nói chung ko ưng lắm thế thôi","1","3"
"Quạt nhìn thì đẹp.nhưng dùng rồi mới biết. Quat kêu to. Tay nắm dễ bị trượt .nút xoay nằm ở sau quạt bất tiện mỗi khi bật. đã vậy còn nút xoay nhỏ rất khó xoay.trọng lượng quạt rất nhẹ ,khi bật quạt để dễ bị rung chỉ sợ để trên một vật nào đó sẽ bị rớt .nói túm lại mua dc 1 ngày phải độ lại.(độ lại tay nắm quạt. Độ thêm chân đế quạt.độ lại nút vặn. Mn xem kỹ trước khi mua.","0","2"
"cánh quạt sát lồng nhựa bảo vệ quá nên khi chạy nghe tiếng cánh quạt đang quay va vào nên có tiếng ồn","1","3"
"Thiết kế dc. Nhưng mình thik êm hơn","2","4"
"Tôi hài lòng","2","4"
"Quat rất mát tôi rất hài long về sản phẩm","2","4"
"Quạt kêu to","1","3"
"ưu điểm: Quạt ra gió mạnh,thiết kế đẹp Nhược điểm: phát ra tiếng ồn, chân đế quạt hơi mỏng","2","4"
"Tôi dùng cảm thấy rất tốt, vẫn có hẹn lần sau mua tiếp với ĐMX","2","5"
"Công suất lớn = tiếng ồn lớn","2","5"
"Quạt mẫu mã đẹp, nhưng rất ồn","1","3"
"Quạt mát, chạy êm, mua được giá tốt rất hài lòng","2","5"
"Quạt đẹp, mạnh và mát như quạt công nghiệp, nên tiếng ồn cũng to... nói chung hài lòng","2","5"
"Quạt chạy tốt nhưng không xoay trái phải được hơi bất cập","2","4"
"Máy quạt kêu cạch cạch dù đã đổi cái thứ 2","0","1"
"Quạt rất ồn nếu dùng trong phòng ngủ.","0","2"
"Quạt tốt giao nhanh. Cảm ơn dienmayxanh","2","5"
"Quạt ồn như quạt công nghiệp","1","3"
"Quạt rất mạnh, ngoài tính năng thổi gió không còn tính năng gì khác.","2","4"
"Cánh quạt bị cọ vs hộp quạt","0","2"
"Siêu mát..rất hài lòng","2","5"
"Quạt mạnh nhưng kêu rất to,","1","3"
"Quạt ồn quá, ko biết do loại này vậy hay trúng cái mình mua","0","2"
"Quạt chạy mát nhưng động cơ gây tiếng ồn quá. mình k sử dụng được. lúc thử ở tiệm k thấy ồn như vậy","0","2"
"Gió mạnh nên hơi ồn","2","4"
"Chạy kêu rất ồn số bé nhất chạy cũng phát tiền ù ù","0","1"
"Quạt chạy mát nhưng tiếng ỒN RẤT RẤT LỚN. Kêu to hơn cả máy bơm nước, 2 người trong phòng cùng nói chuyện với nhau mà mở quạt này thì ko nghe thấy nhau nói gì. Nói chung là tiền nào của đó, hãng media dùng thì khá bền mua giá 409k. Vật liệu vỏ nhựa nhẹ nhưng rất chắc chắn","2","4"
"Quạt hơi ồn, ko thiết kế tay cầm để xách lên xuống","1","3"
"Chân quạt khá mỏng. Nhưng đứng vẫn vững Quạt mạnh, kêu hơi to Phần tay cầm bên trên trơn k chắc nên xách lên di chuyển hơi khó Bù lại Nhân Viên phục vụ rất tốt","1","3"
"Quá tuyệt vời. Cái này là cái t2 rồi ạ","2","5"
"nhân viên rất nhiệt tình","2","4"
"Quạt kêu rất ồn, nghe không thể ngủ được","0","2"
"Sản phẩm quạt tốt. Nhưng hai nút vặn màu đen hai bên hơi lỏng. Xoay bị lỏng. K cố định lại được lâu. Dễ rơi ra. Ai có ý định mua nên suy nghĩ kỹ.","1","3"
"Quạt mát tuy nhiên tiếng ồn lớn","2","4"
"Khá là mạnh. Ngoài suy nghĩ","2","5"
"Quạt mát tốc độ mạnh toả rộng rất hài lòng","2","5"
"Hộp quạt hơi bự so với tưởng tượng (do tôi mua online), quạt hơi ông dù để mức gió nhỏ nhất. Nếu để mức gió to thì sẽ là rất ồn. Mọi ng có thể cân nhắc thêm trước khi mua","1","3"
"Thiết kế không hợp lý , công tắc chuyển đổi tốc độ không phải dạng vòng lặp Muốn dừng hoạt động phải từ số 3 chuyển qua số 2 , qua số 1 rồi mới về được vị trí OFF Không có cánh tản gió Được cái hình thức bắt mắt","0","2"
"Quạt sài mát có điều hơi ồn","2","4"
"Quạt quá ồn, nút nhựa lỏng phải siết thường xuyên!","0","1"
"Thiết kế đẹp gió ra mạnh chất lượng tốt","2","5"
"quạt kêu to","1","3"
"Quạt hơi ồn.nút vặn điều chỉnh tốc độ ở sau không hợp lý","2","4"
"Quạt chạy kêu to","1","3"
