"data","label","num_stars"
"Mới mua hàng trưng bày hôm qua, bị lỗi chỗ hẹn giờ, dù đã tắt quạt nhưng vẫn phát ra tiếng kêu rè rè chỗ khu vực nút nhấn hẹn giờ, không hiểu lý do vì sao, không có chính sách bảo hành tại nhà","2","4"
"Phù hợp ngủ máy lạnh ạ, để phòng khách hay gì chưa đủ độ mát","2","4"
"Đánh giá được rồi còn viết lên thấy hơi phiền đó","2","5"
"dùng ok lắm mình mua 3 năm qua 3 mùa hè rồi chuyển mấy lần nhà thuê mà vẫn chạy rất ngon chỉ cần thi thoảng tháo ra vệ sinh cánh cho đỡ bụi là ok. không nghĩ thương hiệu midea mà lại bền chất lượng thế rất đáng mua nhé mọi người.","2","5"
"Sản phẩm rất tốt","2","5"
"Quạt đẹp chạy êm","2","5"
"Ok khá tốt.","2","4"
"Đáp ứng được yêu cầu.","2","4"
"Quạt dùng ổn, chắc chắn","2","5"
"Tốt trong tầm giá","2","4"
"Sản phẩm tốt đẹp nên mua dùng","2","5"
"Quạt dùng rất êm mà mát","2","5"
"SP tốt ,quạt chạy êm nhẹ mà ko gây ồn","2","5"
"Quạt mát, gió em","2","5"
"nhân viên giao hàng nhiệt tình, quạt êm, mát chuẩn bị mua thêm cái nữa","2","5"
"Sản phẩm chất lượng tốt vượt mong đợi","2","5"
"Quạt tốt đẹp","2","5"
"Quạt đẹp, chạy êm, đmx giao hàng nhanh","2","4"
"quạt vận hành êm ái, nhẹ nhàng. lực gió mạnh, phù hợp trong không gian phòng khách","2","4"
"Sản phẩm lỗi, đổi trả quá phiền.","0","1"
"Nên có tùy chọn quạt đứng 1 chỗ, không xoay tròn.","2","4"
"Rất hài lòng","2","5"
"Sao quạt mình mua ồn quá nhỉ. Thấy giới thiệu quạt để phòng ngủ mà nghe như tiếng máy bay. Tiếng như bị cản gió.có cách nào khắc phục k","0","2"
"Kiểu giáng đẹp, sang trọng. Còn bền hay ko phải dùng thời gian nữa mới biết đc","2","5"
"Quạt dùng rất OK","2","5"
"Quạt cũ sử dụng cũng loại này xài bền ok nay mua thêm 2. Cây","2","5"
"Tốt Chạy êm","2","5"
"Nhãn năng lượng 4 sao, quạt sử dụng ở phòng khách được vài hôm thấy cũng ổn. Chi tiết nhựa và chân đế khá cứng cáp, khớp xoay nhẹ nhàng và đều. Có điều do là dòng giá rẻ nên lồng quạt dùng đai ốc siết nên hơi khó tháo để vệ sinh hơn so với các loại mắc tiền hơn của thương hiệu Nhật (dùng lẫy khóa).","2","4"
"Quạt êm và mát","2","5"
"Quạt rất êm, đã mua 1c từ 3 năm trước","2","5"
"Quạt chạy êm, kiểu dáng đep","2","5"
"Mua sp này về sử dụng thấy ưng ý, đúng là tiền nào của nấy. Nhân viên ĐMX phục vụ nhiệt tình !","2","5"
"E mới nhận quạt xong, quạt cứng cáp, đẹp, DMX cho e hỏi quạt này có điều khiển từ xa không ạ,e có thể mua riêng được không ạ","2","4"
"Quạt êm . mạnh. thiết kế đẹp.giao hàng nhanh . hạ mức thấp nhất những vẩn thay hơi cao .không lấy hết gió khi nằm gần.","2","4"
"Quạt tốt, chạy êm, màu đen nhìn sang trọng. Nhân viên giao hàng tân tình, nhanh chóng","2","4"
"Sản phẩm rất ổn, đẹp, quạt mát. Vừa lấy sáng nay, rất hài lòng, cảm ơn Điện máy xanh rất nhiều, sẽ tiếp tục ủng hộ","2","5"
"Gió không mạnh bằng cây senko, giá lại cao hơn. Bù lại thiết kế đẹp, nhìn sang trọng :)","1","3"
"Quạt có màu đen rất đẹp,quạt êm hk có ồn như những loại khác.đặc biệt là có chế độ hẹn giờ rất tiện lợi để sử dụng buổi tối khi ngủ cho mấy bé.mình đã mua và rất thích.a nhân viên giao hàng cũng vui vẻ nhiệt tình.","2","5"
"Đã nhận được sản phẩm, quạt đẹp màu đen sang trọng, không lo sợ bụi dơ và cũ. Quạt chạy rất êm, nhân viên giao hàng nhiệt tình vui vẻ. Sẽ mua thêm 1 cái nữa có điều khiển","2","5"
"Quạt thiết kế đẹp.vận hành êm ái.bền ổn định chế độ hẹn giờ thông minh.bảo hành tốt.giá cả hợp lí","2","4"
"Sản phẩm đẹp. Chất lượng,tốt,quạ dùng êm ái,vận hành ổn định, . Kiểu dáng sang trọng","2","4"
"Quạt thiết kế đẹp, quạt mát êm không gây tiếng ồn, nhân viên giao hàng vui vẻ nhiệt tình","2","5"
"Quạt nhìn thiết kế đẹp, cao ráo. dùng rất mát. Không biết về lâu về dài thế nào nhưng hiện tại khá hài lòng.","2","5"
"quạt rất mát,chạy êm, dùng rất ok, tiết kiệm điện , chính sách hậu mãi tốt, cảm ơn","2","4"
"cảm nhận quạt Fs40- 15q dùng rất tốt, chạy êm, gió nhẹ, thiết kế cực kỳ đẹp và chăc chắn","2","5"
"Quạt đứng Midea FS40-15Q đẹp, chắc chắn, màu đen sang trọng, cứng cáp, bố mình rất thích cái đế của quạt hihi","2","5"
"Sản phẩm đẹp bền máy chạy êm , kiểu dáng sang trọng chắc chắn phù hợp với mọi gia đình.","2","5"
"Quạt đứng Midea hình thức đẹp, sử dụng không gây tiếng ồn, chất lượng nhựa cao cấp ít bám bụi, dễ dàng vệ sinh. Có thể điều chỉnh tốc độ làm mát theo yêu cầu. Nhân viên tư vấn cởi mở thân thiện, nói năng lễ phép , nhân viên giao hàng lắp đặt nhiệt tình.","2","5"
"quạt nhìn đẹp chế độ quạt mát. không gây tiếng ồn. nhân viên lắp đặt cũng rất nhiệt tình","2","5"
"Sản phẩm này mình thấy tương đối được. Quạt chạy êm, không phát ra tiếng kêu to, quạt mát. Thiết kế gọn.","1","3"
"Sản phẩm rất tốt quạt rất êm quạt có chế độ hẹn giờ rất tiện quạt quay tốc độ mạnh rất mát","2","5"
"Sản phẩm sử dụng rất tốt, chạy êm. Rất đáng mua, gia đình tôi rất hài lòng về sản phẩm","2","5"
"Dự định mua chiếc quạt đứng Midea FS40-17FRB, nhưng siêu thị hết hàng, nên chuyển sang mua chiếc quạt đứng Midea FS40-15Q, cùng hãng sản xuất, giá chỉ thấp hơn 20k đồng. Nhìn chung, mẫu mã cũng đẹp, quạt êm, cảm giác rất hài lòng; tiếc là không có điều khiển từ xa như model FS40-17FRB, nhưng không sao.","2","5"
