"data","label","num_stars"
"Quạt thì chạy ổn, nhưng đầu quat thiết kế sao chỉ ngóc lên trời chứ không nghiêng xuống được","0","2"
"Quạt êm xài tốt rất đáng mua","2","4"
"Quạt đầu quạt ọp ẹp ko ấn xuống được nói chung ko nên mua","0","2"
"Quạt này lồng to, rộng nên tản gió rất mát nhé, mình để quạt xa vẫn mát nhé, quạt êm lắm, mình dùng số 1 đã thấy mát rồi, đế quạt nặng đủ để giữ quạt thăng bằng khi quay nên k sợ đổ đâu ạ, nếu bật số 3 quạt sẽ kêu, điểm chiwa hoàn thiện là phần nhựa trên thân quạt nhỏ nên k cân dc phần đầu quạt lắm, dây cắm k dài nhiều, nới chung vs tầm giá này thì thấy ưu điểm nhiều hơn, nv dmx rất nhiệt tình tới lắp và thử quạt cho mình cẩn thận, hy vọng sp sử dụng dc trong time dài","2","4"
"Thiết kế quá đẹp. Quạt quay êm. Quá tuyệt. Giá mua vào lúc mùa đông nên rẻ. Trước mua con Senko. Vừa xấu. Vưad kêu to. Đành bỏ. Mua lại em này","2","5"
"sản phẩm tốt bền","2","5"
"Quạt hoạt động tốt chạy êm mát.","2","5"
"hàng tốt giá rẻ","2","5"
"Quạt kêu to , quạt ko đều","0","2"
"sản phẩm ko co 3 chiếc ốc vặn nối quạt và chân đế - làm rớt rời quat","0","1"
"Gió yếu, quạt nhìn yếu ớt.","0","2"
"Quạt chạy bình thường k mạnh bằng senko...cổ k bẻ cụp xuống giống mấy quạt khác được","1","3"
"SP dùng tốt. Êm","2","5"
"Giao thiếu ốc vặn cố định thân","1","3"
"Chạy êm ái và tiết kiệm điện năng tuy nhiên bẻ gập phía trước bị hạn chế cần khắc phục thêm sẽ rất ổn","2","4"
"Quạt đẹp, êm. Tuy nhiên gió hơi yếu và hơi cao. Khó quạt xuống chỗ thấp. Núm chỉnh hơi trơn với người mồ hôi tay.","2","4"
"Quạt phù hợp chi trẻ em","1","3"
"Quạt cứ chổng lên trời đôi khi muốn bẻ thấp xuống mà ko đc","1","3"
"Quạt dỏm gió yếu. Lỏng lẻo. Cái chỗ gập đầu quạt k chắc chắn. Với giá 550k nếu mua senko hoặc asia ổn hơn.","0","2"
"Khó gập thấp đầu xuống","1","3"
"Sản phẩm chất lượng tốt. Rất hài lòng về sản phẩm và phong cách phục của nhân viên ĐMX.","2","5"
"Sản phẩm mới lắp ráp xong chạy máy ổn , mát bthuong nhưng đầu quạt cứ hỏng lên trời không bẻ xuống được","1","3"
"Quạt chắc chắn, chạy êm, nhân viên giao hàng nhanh, nhiệt tình!","2","4"
"Mua xài chưa đc 2 tuần thì sale từ 870 còn 560. Mất giá thiệt chứ. Mà quạt ồn+ ko cụp đầu xuống đc. Ko nên mua","1","3"
"Sản phẩm rất tốt","2","5"
"Do thiết kế của nhà sản xuất bất tiện cho nút bật tắt quạt , máy hoạt động rung rung , không được êm ái","0","2"
"Rất hài lòng","2","5"
"Quạt chạy tốt nhưng không cúi xuống được","2","4"
"Chất lượng đã được kiểm chứng, nay chỉ mua thêm thôi","2","5"
"Quạt chạy oke","2","5"
"Thái độ phục vụ rất tốt","2","5"
"Quạt kêu có lúc êm, lúc thì vù vù rất khó chịu ! Ngửa lên ngửa xuống ko được ! tệ","0","2"
"Sản phẩm tốt, nhân viên phục vụ tận tình","2","4"
"Đế hơi nặng nhưng quạt chạy ok, êm, rất hài lòng ạ","2","4"
"Quạt rất êm tiếng ồn nhỏ. Rất vừa ý. Cao thất chỉnh được.","2","5"
"Sản phẩm dùng tốt quạt chạy êm","2","5"
"Quạt đế chắc chắn nhưng thân quạt hơi yếu. Quạt chạy nhẹ nhàng như tiểu thư đài các😅. Quạt chạy êm k ồn.","2","4"
"Quạt chắc chắn, chạy rất êm","2","5"
"quạt lừng cao vừa phải, màu trắng ngà sang trọng, do công suất quạt chỉ 36w nên không gian mát vừa đủ, nhân viên giao hàng thân thiện, lắp đặt hướng dẫn nhiệt tình","2","4"
"Quạt ko cúi xuống được, hợt hợt ở trên. Có thể đổi qua loại khác được ko? Thực sự quá thất vọng.","0","1"
"Quạt không gập xuống được. Số 1 còn êm một chút, mở số 3 quạt vù vù rất khó chịu. Mua giá 590k, đắt gấp đôi quạt senko đang dùng mà chất lượng thì thua xa","0","1"
"Mua 2 cái, về quạt êm nhưng rất yếu, sau hơn 1 năm sử dụng hư cả 2. Chất lượng quá tệ","0","1"
"Mua mấy hôm rồi dùng cũng không có lỗi gì quạt mát chất lượng tốt mỗi tội người rao hàng hơi chán tý thôi còn tất cả đều được","2","5"
"Theo mình: - Ưu: thiết kế đẹp, chân nhựa nguyên khối nặng và chắc chắn. Máy chạy êm, động cơ không nóng lắm, công suất mạnh, tiết kiệm điện. Lồng máy quạt dễ tháo và lắp (dễ dàng cho chị em phụ nữ). - Nhược: phần trên máy quạt (trục và đầu máy) cảm giác không cứng cáp nên khi khởi động sẽ giật giật nhẹ, vô trớn sẽ hết và chạy êm. Đầu máy nặng nhưng lồng quạt nhẹ nên lồng quạt sẽ không thể cuối đầu về trước được, có xư hướng hơi ngửa lên (không thích hợp cho nằm ngủ dưới đất nha). Máy quạt bấm quay sẽ nghe tiếng kẹt kẹt nhỏ rất khó chịu, lắc đầu máy quạt sẽ nghe kẹt kẹt (trục máy bị rơ). Lý do trục cố định máy (tô màu vàng như hình mình đính kèm) được cố định bởi ốc (mũi tên như hình đính kèm) không chặc nên sẽ dẫn đến bị rơ (tiếng kẹt kẹt). Mình vặn ốc đó ra và nhấc đầu máy lên, lót thêm miếng giấy vào và vặn lại sẽ triệt để ngay nhé!","2","4"
"Quạt mới mua mà sao quay cứ rung rung khó chịu quá. Tôi muốn đổi sang cái khác được không ĐMX?","0","2"
"Mua hơn 1 năm rồi nhưng mới đánh giá, vì quá bực bội. Quạt chạy yếu ớt, gập xuống gập lên gì cũng bất tiện. Mua 3 cây quạt giờ vứt thì tiếc mà dùng thì như đuổi ruồi vậy đó","0","1"
"Quạt ko thể cụp đầu 10• dc quat chi bẻ hướng lên cao dc thôi. Quạt ko thể cụp đầu 10• dc quat chi bẻ hướng lên cao dc thôi","1","3"
"Do mới mua sản phẩm nên chưa thể đánh giá chi tiết. Thiết kế tinh tế, chắc chắn, hoạt động khá ổn. Rất hài lòng với cách phục vụ của nhân viên","2","5"
"Quạt rất đẹp. Màu nhã nhặn, đế nặng chạy êm. Chỉ có điều khi cho quạt quay trái quay phải thì phát ra âm thanh rè rè hơi ồn","2","4"
"quạt mình bị kêu tạch tạch khi quay, vừa đổi quạt mới tại DMX Tôn Đức Thắng, Liên Chiểu. Rất hài lòng với cách phục vụ của nhân viên.","2","5"
"Mình mua quạt này mẫu mã đẹp, có vẻ chắc chắn, nhưng tốc độ hơi yếu, nhân viên nhiệt tình","2","4"
