"data","label","num_stars"
"Với giá km 690k cho 1 cái quạt ko mát gì cả. Số 1 quay ko nổi, số 2,3 thì mới mát bằng cái cũ của nhà đang dùng. Vì đặt online chứ nếu đến CH để xem thì tôi ko bao giờ mua loại này. Phí tiền. Gọi đổi bảo hành thì kêu tự đem ra CH","0","1"
"Đẹp giá tốt dùng ok êm","2","5"
"Quạt tốt giá quá rẻ","2","5"
"Quạt chạy khỏe mát êmTôi rất hài lòngNhà có 3 phòng tôi sẽ mua thêm 2 cái nữa","2","5"
"Công tắc giật hơi nặng","2","4"
"Sản phẩm ok, chỉ có dây chỉnh quay kéo hơi nặng","1","3"
"Quạt đến giờ đang sử dụng tốt.","2","4"
"Quạt chạy êm, mát","2","4"
"Ổn, cần duy trì và phát huy","2","5"
"Chạy êm, mẫu mã đẹp","2","5"
"Quạt chạy êm. Mát","2","4"
"Hình thức ok sài thời gian mới biết.","2","4"
"Sp ok Cho đến bây giờ mình vẫn 1 lòng yêu dịch vụ ĐMX ,1 dịch vụ hoàn hảo dành cho ng dân như chúng tôi , không những trải nghiệm mua sắm mà là trải nghiệm thư giãn cũng rất tuyệt vời . Mong rằng ĐMX có thêm nhiều sp khác phục vụ cho nhu cầu...hơn nữa...","2","5"
"Quạt ko mát, mà giá thành gấp 3 lần quạt Senko","0","1"
"Quạt chạy hơi yếu","1","3"
"Quạt dùng rất tốt. Phù hợp túi tiền","2","5"
"Giá tốt kỹ thuật nhiệt tình","2","5"
"Quạt mạnh và mat.chạy rất êm.nói chung mình rất thích.lúc trước mình có mua 2 cái cùng hiệu này rồi nên rất yên tâm về độ bền","2","5"
"Sản phẩm tôt","2","5"
"Dây rút số và dây rút quay quạt rất cứng , khó kéo","1","3"
"Đang sử dụng bình thường, ( cgwa được 30 ngày), chưa thấy vấn đề gì, chưa hỏng !","1","3"
"Quạt êm, đẹp","2","5"
"Quạt không cụp xuống hết được, cho 3 sao","1","3"
"Quạt chạy êm mát, không ồn","2","4"
"Sản phẩm tuyệt vời. Giao hàng nhanh, gọn, lẹ. Tư vấn nhiệt tình.","2","5"
"Quạt chạy khoẻ. Êm . Nói chung là nên mua ạ","2","4"
"NV lắp đặt tận tình ,","2","4"
"Quạt chất lượng không ồn êm để sử dụng","2","4"
"Cổ quạt này sao gập xuống phía dưới có tí thế ,nếu ngồi ăn cơm cách 2m tường là góc gió k đến,.cũng quạt Midea 40w đang dùng thì gọc gập xuống rất rộng","2","4"
"quạt mạnh, êm đẹp nhưng cái vòng cố định 2 mặt lông quạt nhanh gãy, mình hỏi mua thì không chỗ nào bán nên mình phải cột bằng dây kẽm","1","3"
"Quạt mới mua về bị hư nút giật","0","1"
"Quạt quay rõ mạnh - gió ra rõ yếu. Số 3 quạt này chỉ bằng số 1 quạt khác. Giao hàng thu tiền xong là xong nhé, muốn đổi mẫu thì mất 20%. Chính sách bán hàng tiệt zời của Điện Máy xanh đấy! Mọi người cẩn thận kẻo rước bực vào người.","0","1"
"Quạt bị hư bộ phận đảo gió (tuốc năng). Không biết bên mình có bán linh kiện không ạ","1","3"
"Quạt êm. Tuy nhiên cổ quạt thiếu linh hoạt trong việc điều chỉnh luồng gió. Mức 1 quay yếu.","2","4"
"Mới mua 2 cái. Bề ngoài chắc chắn. Do công suất lớn nên khi bật số 3, tiếng gió khá to. Số 1 & 2 đủ mát và êm. Chỉ riêng dây swing cần phải kéo mạnh hơn bình thường","2","4"
"Quạt có phần nhựa cứng cáp, dày dặn, chắc chắn. Chạy êm, gió nhiều, mặc dù sx tại TQ. So với quạt Asia thì ngon hơn nhiều, Asia quá tệ.","2","5"
"Quạt hoạt động êm ,ko ồn. Nhân viên phục vụ tốt rất hài lòng về sản phẩm này .","2","5"
"Quạt mua 1 tháng nay chạy ổn định. Có cái thợ lắp đặt còn yếu quá, hiện tại 2 con ốc hư bị rớt xuống 2 lần rồi. Thế là mình cho thêm 50k tiền nước quá ổn.","1","3"
"Quạt thiết kế đẹp, hoạt động êm, ít ồn. Bảo hành tốt nhân viên phục vụ tốt rất hài lòng về sản phẩm","2","5"
"Quạt thiết kế đẹp, thiết kế các tùy chọn dễ sử dụng không quá phức tạp, quạt có trọng lượng cũng nhẹ, không nặng lắm","2","4"
"Thiết kế quạt chắc chắn, mẫu mã đẹp. màu sắc sạch sẽ. quạt hoạt động êm và rất bền","2","5"
"Quạt chạy êm. Lưu lượng gió mạnh, toc độ nhanh. Ở xa quạt thì rất mát nhưng ở gần thì ít mat hon những quạt khác","2","4"
"Sản phẩm này tôi đã dùng. Quạt đứng, quạt treo tường, loại có remote, không remote...tất cả rất tốt.","2","5"
"Quạt nhìn đẹp chế độ quạt mát. không gây tiếng ồn. nhân viên lắp đặt cũng rất nhiệt tình","2","5"
"Sản phẩm quạt Midea FW40-6H mua của điện máy xanh chạy êm kiểu dáng trang nhã thiết kế gọn đẹp","2","5"
"Sản phẩm này tôi đã dùng. Quạt đứng, quạt treo tường, loại có remote, không remote...tất cả rất tốt.","2","5"
"Trời nóng như thế này thì tôi đã đến ngay điện máy xanh mua một cây quat treo midea. Vừa phù hợp túi tiền mà kiểu dáng còn đẹp nữa. Nó giúp cho không gian nhà mình thoáng mát thôi","2","5"
"quạt êm, cánh quạt cứng cáp, khung dày nên cũng an toàn. Giá tiền vậy là ngon rồi.","2","4"
"Quạt này mình đôi trả 3 lần chất lượng nó không được tốt lắm lỗi ở cổ kêu to tiếng kêu cạch cạch","0","1"
"Quạt treo Midea FW40-6H chất lượng, mẫu mã đẹp, thiết kế chắc chắn, được tặng phiếu mua hàng khi mua máy giặt nên bù cũng ít.","2","5"
"Sản phẩm tốt. Hiệu quả lại tối ưu. Tôi đang sử dụng 2 cái và cảm thấy hài lòng với quạt treo tường này. Mọi người nên tin dùng.","2","5"
