"data","label","num_stars"
"Tạm ổn, có 1 cái là ko nhớ chế độ quay, khi bật lên muốn quay phải bấm nút quay nữa","1","3"
"giá hời, quạt xịn, verry goog","2","5"
"Quạt xài mới 10 ngày mà kêu cạch cạch quá tệ","0","2"
"Quạt dùng tốt công ty mình đã dùng từ lâu hôm nay nhà mình mới mua thêm cái này","2","5"
"Quạt chạy ok","2","5"
"Quạt tốt nhé","2","4"
"Quạt chạy tốt êm mát","2","5"
"Máy chạy êm . Động cơ hoạt đọng ổn định.","2","5"
"Quạt mát lắm mà mở số to thì hơi ồn chút","2","5"
"Quạt ồn nhamuốn đổi quạt khác được ko","1","3"
"Cho hỏi nếu mất remote thì làm sao cho nó quay sang 2 bên","2","4"
"Quạt chạy tốt. Riêng điều khiển thì khác với các loại quạt khác. mỗi lần bật quạt ko tự quay đi quay lại mà lại phải bật mới quay","2","4"
"Dùng tốt, mạnh, đáng giá tiền. Nhân viên lắp đặt lịch sự, dễ thương.","2","5"
"Hàng của DMX chất lượng rất đảm,NV của DMX thì rất tận tình chu đáo!Tôi rất hài iongf về sp của các bạn","2","5"
"Sản phẩm chạy êm cắt gió ratts tốt","2","4"
"Sản phẩm OK cách phục vụ tận tình","2","5"
"Quạt chạy êm và rất là tốt .","2","4"
"Tốt, đáng mua","2","5"
"xai ok nhug ve lau dài thi chua biet😃😃😃😃","2","4"
"Chạy êm , phù hợp trong nhà , trẻ nhỏ","2","4"
"Quạt ồn, ko êm như quảng cáo. So với giá tiền thì mua senko chắc ổn áp hơn.","0","2"
"Cho em hỏii, em mới lắp đặt buổi sáng mà sử dụng nó cứ 2-3phút ngắt xong chạy lại, cứ thế là bị gì vậy ạ. Cảm giác rất bực mình","0","2"
"Nhân viên dmx làm việc khá tốt","2","4"
"Sản phẩm đẹp dùng. Ok","2","4"
"SP Quạt dùng tốt, giá hợp lý.","2","5"
"Chất lượng đảm bảo.","2","4"
"Điều khiển từ xa tốt nhưng quạt chạy hơi ồn, không êm lắm.","1","3"
"Ổn, êm rõ, ok","2","4"
"Nói chung là tạm ổn.","1","3"
"Remote hơi yếu","1","3"
"Quạt mới xài 1 tuần đã kêu rất to, ồn","0","1"
"Quạt dùng tốt so với tầm giá, giao hàng nhanh, nhân viên lắp đặt ko chuyên nghiệp, mình phải tự lắp","2","4"
"Quạt mát êm ái rất tôt","2","5"
"quạt vận hành êm ái mạnh mẽ","2","5"
"Mới mua và treo ngày 24/05/2022 nhưng quạt có độ ồn cao. Tiếng ù như máy bay. Chắc phải tháo bỏ lắp cái khác chứ như này không chịu nổi","0","2"
"Quạt ghi rõ mức treo cao từ 2,5-2,7m là lý tưởng. Nhưng thiết kế quạt nằm ngang không biết quạt gì trên độ cao đó??? Cụp xuống chỉ 2 nấc tầm >35°. Chỉ sử dụng cho phòng rộng, nhưng rộng xa ra thì độ gió lại thấp. Thất vọng khi ĐMX không tư vấn cho khách vế đề này.","0","1"
"Mua 3 cái, chạy êm, đỡ rung nhưng không cụp được xuống sâu (<135 độ), tìm mọi cách để quạt có thể cụp sâu hơn mà bó tay, phải chế thêm cái bát cho dài ra để cụp xuống, nhìn mất thẩm mỹ cả căn nhà. Không thích hợp cho không gian nhỏ đó góc quay quá lớn.","1","3"
"Quạt mới lắp. Sử dụng ok. Chạy êm. Nên mua. Không biết về lâu về dài thì thế nào.","2","4"
"Sản phẩm không có gụp xuống được, chỉ lên cao thôi, trong phần thông số kỉ thuật k ghi rỏ chi tiết này.. thất vọng","0","1"
"Đã mua 3 cái quạt này rồi, cái thì hơn 500k, cái thì hơn 600k, bjo muốn mua cái nữa thì nhìn vào giá thấy choáng vậy, giảm ko thấy giảm mà lại tăng lên 1 triệu 1 luôn mới gê chứ lị.","1","3"
"Quạt tốt nha. Mát remote đồ ok nhân viên cũng ok. Có điều k đưa kèm pin theo remote nha.","2","4"
"Sao quạt mua về kêu to vậy. Có thể mang đổi quạt khác được ko? Mới mua hôm qua mà về ko ưng ý.","1","3"
"Quạt hiệu Midea rất tốt. Nhưng buồn cho cái là cổ quạt không gập xuống thấp được. Hạn chế này Midea không cải thiện là mất hết khách hàng.","0","2"
"buồn cho cái quạt thương hiệu Media sài mà phải chịu nghe nó kêu cạch cạch vì đúng 1 năm là nó hết bảo hành ( sài được chưa tới 6 tháng đã bị kêu ) giờ nhắn lên đây để mọi người có thêm thông tin trước khi chọn mua hàng Media","0","2"
"Mới lắp tuần trước, cảm nhận ban đầu là ổn, gió mạnh, nhưng hơi ồn khi bật số to.","2","4"
"Kỹ thuật lắp đặt quá chán. Hỏng hết cả tường của khách hàng. Mình đi làm về thì đã như này rồi","1","3"
"Nút điều chỉnh cho quạt quay sang trái , phải không có trên quạt. Nếu chẳng may remote bị hỏng thì quạt coi như hỏng luôn chế độ này... Còn mọi thứ ok. Chờ thời gian trả lời tiếp xem độ bền của quạt ra sao","1","3"
"Sản phẩm không nguyên thùng, không có tem niêm phong, quạt chạy khá êm, hình thức được,điều khiển phải ấn sâu một chút mới ăn,đk được từ khoảng cách khá xa, mới dùng sp thấy khá oke, ổn định và độ bền thì chờ thời gian.Nhân viên lắp đặt không cẩn thận, một con nở bị bung ra, may mà sau đó mình kt lại và xử lý, không thì quạt có thể rơi lúc nào không biết, sp cho 4 sao, nhân viên cho 2 sao","1","3"
"Quạt có điều khiển xin, chạy mát ngồi xa bật tắt thoải mái, nhièu chề độ gió, khá tốt cho 5 sao","2","5"
"Em mua được 1 tuần hoạt động bình thường, như hôm nay tự nhiên máy quạt kêu cụp cụp hk biết có bị sau hk nữa.","2","4"
"Thiết kế đẹp , cầm nặng tay lắm , hoạt động êm , nhiều chức năng. còn độ bền thì cần thời gian...nói chung mã hàng này rất tốt.","2","5"
"Hàng tàu cùi, bật số 2 và 3 rất ồn. Điều khiển lúc đươc lúc không. Quá tệ.","0","1"
"Quạt chạy ok. Êm, gió mát. Tuy nhiên k biết có thể gắn thêm dây để bật tắt nhanh được k. Nhân viên ĐMX rất tốt.","2","5"
"Đặt hàng nhanh, dễ dàng, giao hàng và lắp đặt nhanh chóng, nhân viên giao hàng nhiệt tình hướng dẫn, sản phẩm đẹp, quạt êm, 3 chế độ gió rõ ràng từ nhẹ đến mạnh, quạt không có tiếng ồn, có remox tiện dụng. cám ơn Điện Máy Xanh","2","5"
"Mẫu mã đẹp quạt chạy không hẳn là êm nhưng chấp nhận được giao hàng nhanh nhân viên nhiệt tình thích nhất thái độ phục vụ tận tâm","2","5"
"Mẫu mã đẹp, nhiều chế điệu điều chỉnh rất tiện lợi. Hài lòng về sản phẩm này. Các bạn nên mu chọn mua.","2","4"
"Sản phẩm tuyệt vời.chạy êm. 3G tốc độ.thoải mái cho không gian phòng khách. Like","2","5"
"sản phẩm dùng rất thích, chạy êm và mát sâu. Mình rất ưng ý với sản phẩm quạt treo này!","2","4"
"Gió mát, không gây ồn ào, thiết kế đẹp, màu sắc trang nhã lich sự. phù hợp nhu cầu sử dụng của gia đình,nhân viên phục vụ nhiệt tình","2","5"
"giá thành sản phẩm phù hợp, chế độ bảo hành tốt, quạt chạy rất êm, có nhiều chế độ gió rất tiện lợi","2","5"
"quạt mát sâu,không gây ồn ào,thiết kế đẹp,màu sắc trang nhã lich sự. phù hợp nhu cầu sử dụng của gia đình","2","5"
"có kích thước nhỏ gọn phù hợp với nhiều không gian sử dụng ,có nhiều chế độ gió để lựa chọn cho phù hợp với nhu cầu sử dụng","2","5"
"Sản phẩm sử dụng rất tốt , làm mát nhanh chóng , dễ sử dụng , chạy rất êm không ồn . Nhân viên lắp đặt rất nhiệt tình .","2","5"
"sản phẩm sử dụng rất tốt, tiện lợi, dễ sử dụng, màu sắc quạt sang trọng.Chính sách bảo hành rất tốt","2","5"
"Quạt treo tường Midea FW40 7JR có kích thước nhỏ gọn phù hợp với nhiều không gian sử dụng cùng nhiều chức năng hiện đại và tiện ích.","2","4"
"Cảm thấy hài lòng với sản phẩm này, màu sắc hợp với phòng ngủ của tôi. Không gây tiếng ồn, chạy êm, nhân viên lắp đặt rất nhiệt tình, chuyên nghiệp","2","5"
"Quạt có thiết kế gọn gàng, thanh lịch, chạy êm. chính sách bảo hành tốt, rất tuyệt vời","2","5"
"Quạt mạnh, ko gây tiếng ồn, tiết kiệm điện.Giá lại rẻ, nhược điểm là mạnh quá nên nửa đêm thấy lạnh.","2","5"
"Mới mua dùng được 1 ngày. Mình có đánh giá thế này. Nhìn chung thì quạt tốt, máy chạy êm, gió mát, remote nhạy, thiết kế đẹp mắt. Có 3 chế độ gió khác nhau rất tiện. Có 1 điều làm mình hơi khó chịu là khi bật chế độ quay qua quay lại thì khi quay hết 1 tua và bắt đầu quay ngược lại thì nó nhảy nghe kêu cạch cạch. Ban đêm ngủ nghe rất rõ. Không biết dùng lâu có ảnh hưởng gì không. Để dùng 1 thời gian nữa xem sao.","2","4"
"quạt mát, nhiều chế độ gió, sử dụng tốt cho phòng có diện tích nhỏ, quạt chạy êm, quạt điều khiển tiện lợi","2","4"
"SP sử dụng tốt, treo ngay phòng khách thuận tiện việc điều khiển làm mát, ng lớn tuổi rất thích....Nhân viên lắp đặt nhiệt tình và vui vẻ.ĐMX làm việc rất chuyên nghiệp","2","5"
"Quạt mạnh, êm, ít ồn, remote tiện dụng, góc thổi gió rộng, hình thức sản phẩm tương đối đẹp.","2","4"
"Sản phẩm tốt , sử dụng cho phòng có diện tích nhỏ rất hợp lý. Không gian làm mát tương đối rộng","2","4"
"Quạt mát có nhiều chế độ gió để lựa chọn cho phù hợp với nhu cầu sử dụng, quạt chạy êm không ồn .","2","5"
"Quạt xài được nhưng không được mát lắm,quạt hơi yếu, thiết kế tiện dụng cho gia đình.","1","3"
"Quạt có thiết kế gọn gàng, thanh lịch, chạy êm. Tuy nhiên không có nút điều chỉnh nút swing trực tiếp trên quạt, phải điều chỉnh bằng remote!","2","4"
