"data","label","num_stars"
"Chính sách đổi trả rất tệ, khách lỡ mua phải kích thước không phù hợp nhưng đổi phải mang tận cửa hàng và mất 20% giá trị","0","1"
"Chất lượng quá ok","2","5"
"Quảng cáo sử dụng 5h trở lên nhưng dùng 1h thì lại hết điện","0","1"
"Quạt kém quá . Số lớn nhất mơi cảm nhận dc gió","0","2"
"Hiện tại ổn","2","4"
"Quat quay hoi lac long quat","1","3"
"Rất tốt quạt êm không ồn","2","5"
"Tui mua lần 2 rồi, nhà có 2 cái, mua cái đầu từ hồi 2020 giờ mới mua lại cái nữa cho ông bà","2","4"
"Hiện tại thì quạt vẫn tốt","1","3"
"Sp mua về chưa hề sử dụng mà ắc quy hư không thể sạc điện. Mọi người không nên mua","0","1"
"Quat xai rat tot.xai hon 5 tieng.rat dang mua nha.","2","5"
"ĐMX giao cho tôi cái quạt với cách quạt bị lệch tâm, khi quay thì lồng quạt bị rung lắc. Tôi nghĩ sài được chừng 1 năm là sẽ hư thôi.Giao hàng mà không kiểm tra hàng trước khi giao cho khách thế này thì mất uy tín quá ĐMX à.","0","1"
"Quạt chạy êm , dung tích sử dụng khá lâu , đáng mua","2","5"
"Sáng sạc tối bật cả đêm vẫn còn điện","2","5"
"Máy quạt sài ngon lắm hơn 10gio mới hết pin ....quạt như quạt điện luôn......có 3 số mạnh nhẹ ...có đèn ngủ luôn......dễ sài .ok cho sản phẩm","2","5"
"Quạt điện sạc pin đầy. Sử dụng lâu","2","5"
"Quạt số 1 gần như ko có gió, số 3 sài dc khoảng 5 tiếng. 1tr4 nhưng quạt khá mỏng manh","1","3"
"Quạt mới mà kêu quá, gió cũng yếu, chất lượng k tương xứng giá tiền","0","2"
"Quạt sạc đầy Sài nút to khoảng 1 tiếng rưỡi hết Sài được làm ăn buôn bán gì như con cạc người ta Zi mua cây quạt 1 tr6 cái lozzx","0","1"
"Thời gian sạc lâu 12h mới đầy. Dùng mức 3 mức cao nhất có thể dùng đc 5h. Mức 2 dùng đc 12h. Mức 2 rất nhẹ, k mát. Quạt mới mua khoảng hơn tuần, đến thời điểm này thì ok","2","4"
"Phục vụ tốt, sản phẩm tốt, cảm ơn điện máy xanh","2","5"
"Quạt rất yếu, cánh quạt quay nhưng tạo gió kém, ko mát dù đã bật số to. Mình đọc comment xong mua nhưng ko được như kỳ vọng. Không bằng 1 cái quạt TQ mình mua có mấy trăm k.","0","2"
"Quạt sài rất tốt a","2","5"
"Mình không biết lỗi ở đâu nhưng mình sạc, đèn chuyển xanh rồi nhưng bật quạt không lên.","0","2"
"Mình muốn pin mua ở đâu đmx","2","4"
"Quạt sài ok. Dùng liên tục 8 tiếng ko hết điện","2","4"
"Quạt chạy tốt. Có điều DMX tiết kiệm túi quá. Mình mua hôm mưa xin thêm 1 túi bạn bán hàng bảo mỗi đơn chỏ đc 1 túi","1","3"
"Rất hài lòng","2","5"
"Quạt mình sài hư dây điện bên shop có bán k ạ","2","5"
"Quạt tích điện mình đã đang dùng sản phẩm tốt","2","5"
"Quạt dùng tốt","2","5"
"Sài rất ổn. Sạc đầy pin sử dụng 12h đồng hồ. Đáng đồng tiền","2","4"
"Sản phẩm dùng tốt tiện dụng","2","4"
