"data","label","num_stars"
"Quạt Nhật chất lượng cao","2","5"
"Quạt kdk A40B dùng rất êm và gió nhiều","2","5"
"10 điểm cho chất lượng ạ","2","5"
"... đang xài rất ổn, quạt rất êm...","2","5"
"Ngpn nhất trong các loại quạt. Topfarm.vn","2","5"
"Cánh quạt làm bằng kim loại nhưng rất nhẹ chứ không nặng. Lồng quạt và cánh quạt tháo lắp dễ dàng nên thuận lợi cho việc vệ sinh. Quạt được bảo hành 2 năm. Hài lòng với sản phẩm","2","4"
"quạt nặng, dùng tốt","2","5"
"Mình sử dụng gần 4 tháng, Quạt rất tốt tháng nắng xài rất OK còn tháng lạnh dù bật số nhỏ nhất vẫn thấy lạnh","2","5"
"Quạt đẹp lắm chạy êm Nhân viên tư vấn nhiệt tình hướng dẫn cụ thể của điện máy xanh là tôi yên tâm","2","5"
"Quạt tốt, cám ơn bạn.","2","5"
"Quạt mạnh, chạy êm","2","5"
"Rất hài lòng. Cám ơn bạn. Nhưng cần có chế độ bảo hành sp đi kèm.","2","5"
"Cách đây 1 năm mua 1 cái thấy dùng tốt nên mới mua thêm 1 cái nữa đó. Ok","2","5"
