"data","label","num_stars"
"Hàng rất tốt Quạt im lắm mà còn tiết kiệm điện nữa Nhân viên phục vụ nhiệt tình chu đáo","2","5"
"Quạt dùng tốt.","2","4"
"Ok. Sài được","1","3"
"Xài tốt, nên mua nha, quạt chạy êm lắm","2","5"
"Mẫu mã đẹp, chạy êm","2","4"
"Hàng chất lượng cao, dùng rất khỏe.","2","5"
"Sp tốt, rất hài lòng","2","5"
"Rất tốt giao hàng nhanh","2","5"
"mình mua quạt này lâu rồi xài rất êm,quạt mạnh, bền","2","5"
"Mình mua được khoảng 2 tuần, tình trạng giống bạn Minh Trí ở trên, cũng đế bằng ván ép, chán nhất là quạt khá ồn, không tương xứng với cái giá tý nào. Mình cũng muốn nghe xem CSKH của dienmayxanh nói gì.","0","2"
"Cái đế quạt này bằng giấy cacton các bạn cân nhắc kĩ khi mua","0","2"
"sp rất tốt nv nhiệt tình","2","5"
"Quạt màu sắc tươi tắn, chạy êm, giao hàng đúng giờ, còn việc sử dụng lâu bền không thì chưa đánh giá ngay được.","2","5"
"Quật nhỏ gọn ,chạy êm êm thời ko êm ái như còn d16.mầu đỏ đam.đông mitsubishi nói chung bên các bạn yên tâm đung nhẹ","2","5"
"Tốt, dùng êm ái, không chiếm diện tích ngủ rất ngon, nhưng chưa êm bằng mẫu D16 Mitsubishi tôi đã mua trước 2 năm.","2","5"
