"data","label","num_stars"
"Mua hai chiếc. Một chiếc kêu như máy cày. Đêm không ngủ được. Ko biết có được đổi không","1","3"
"lần trước mua 1 cái rất ok, lần này mua thêm 1 cái mà sao tiếng động cơ lớn quá","0","2"
"Máy quạt mát , nặng tay","2","5"
"Quạt xài rất mát, đáng tiền mua nha mọi người","2","5"
"Quạt chạy êm..mát..rất hài lòng","2","5"
"Quạt mát nhưng hơi ồn","2","4"
"Giá hợp lý, chất lượng, bề ngoài đẹp, nhân viên nhiệt tình HT","2","5"
"Sp tốt, chạy mạnh","2","5"
"quạt xài ok lắm gió mạnh không ồn mát","2","5"
"Mk mua cửa hàng thì bị hết hàng, bảo là hàng bên kho khác, mà mk cần gấp nên thui chọn ship về nhà. Lúc đầu nghĩ lại thấy cấn cấn rồi, họ bán hàng thì họ phải làm sao có hàng cho khách chứ, mà sau đó mk thấy thui có 1 cây quạt mk cx ko muốn gây rắc rối chi nên mk đồng ý ship hàng bên kho khác về nhà cho mk và mk phải trả tiền ship. Lúc đó có dặn là ship về lắp cho mk. Nhân viên cũng dạ vâng đường hoàng. Đến khi ship về thì ông shipper bảo nhân viên ko dặn lắp quạt, thái độ thì cọc cằn. Bảo lắp là lắp hộ, nói chuyện thì khó ưa. Tóm lại mua có mỗi cái quạt mà ức chế quá chừng. Mk là ng trả tiền mà mk phải chịu ấm ức đó các bạn. Lúc đó mà nói lại ông shipper chắc ổng nạt lại ko biết ra sao lun. Haizz","0","1"
"Sản phẩm OK nhưng hơi ồn","2","4"
"Quạt xài ngon","2","5"
"Tốt lắm em ạ","2","5"
"sản phẩm tốt , quạt rất mát","2","5"
"Sản phẩm rất tốt","2","5"
"Ok lắm em bán rẻ có nhiều ưu đãi. Nhân viên nhiệt tình. C thích mua hàng đmx","2","5"
"Em rất lòng với sản phẩm mà em đang sử dụng ạ.cảm ơn cửa hàng đã tư vấn nhiệt tình trong việc hỗ trợ khách hàng nhé","2","5"
"Quạt mạnh êm","2","4"
"Bình thường","1","3"
"Vừa túi tiền cho sinh viên sử dụng ổn","2","5"
"Quạt mạnh quá bị cảm lạnh.","2","5"
"Quat manh qua","2","4"
"Sản phẩm tốt, nhân viên tư vấn nhiệt tình. 100₫.","2","5"
"Rất chu đáo , nhiệt tình ạ","2","5"
"Mình thấy quạt chắc chắn, gió mạnh","2","4"
"Sản phẩm tốt lắm","2","5"
"Quạt mát, chạy êm","2","4"
"Sp rất tốt.dmx phục vu nhiệt tình.hài lòng","2","5"
"Quạt mạnh, máy chạy êm.","2","5"
"Sản phẩm tốt","2","5"
"Quạt chạy êm,","2","4"
"Quạt mạnh, mát ,êm ru","2","5"
"Quạt mạnh, êm. Nói chung ok","2","4"
"Chất lượng sản phẩm tốt tiếng ồn thì nhẹ nha","2","5"
"Nhân viên Giao hàng đúng thời gian, nhiệt tình vui vẻ, sản phẩm tốt.","2","4"
"Quạt chạy êm, mát","2","4"
"Quạt chạy có 1lân mà kêu ghê quá","0","2"
"Quạt có màu sắc và mẫu mã ưa nhìn. Chạy êm và tốc độ làm mát tốt","2","5"
"Vài ngày khi chạy quạt kêu rất to. Nguyên nhân là cánh bị lỏng. Vậy nên cứ vài ngày lại phải tháo lồng ra để vặn chặt lại ! Thật sự là thấy mệt mỏi !","0","2"
"Hai long ve nhan vien phuc vu cua Dien may xanb","2","4"
"Quạt chắc chắn. 3 tốc độ. Rất mát","2","5"
"Quạt chạy êm,nhỏ nhẹ","2","4"
"Chạy êm máy tốt","2","5"
"Máy quạt chạy rất mát, mới mua nên chạy vẫn rất êm. Nhỏ gọn hợp với phòng có diện tích nhỏ. Và máy được bảo hành 2 năm tại ĐMX nên cũng rất yên tâm.","2","5"
"Tôi sẽ giới thiệu sp đến nhiều người khác","2","4"
"Quạt này mình mua tại cửa hàng đường Lâm Văn Bền, quận 7. Về chất lượng từ hôm mua tới giờ là khoảng 1 tuần, quạt rất ok. Đế quạt thì nhỏ gọn, đầu quạt thì khá nhưng nhìn tổng thể là ổn. Quạt mát đối với phòng của mình khoảng 10m2. Có 1 điều mình phải để 1 sao vì về vấn đề giao hàng. Hôm giao hàng cho mình là trước đó có mưa 1 xíu rồi ngưng, lúc sắp tới giờ giao thì trời bắt đầu kéo mây đen. Mình sợ trời mưa ko giao dc nên có điện kêu bạn giao hàng ship qua liền nếu được. Bạn ấy ship qua nhưng mình không biết chủ ý của ai (người bán hàng, nhân viên giao hàng hay quản lý cửa hàng) chùm cái bọc cho cây quạt nhưng chỉ chùm cái đầu quạt, còn đế quạt thì không. Đế quạt cũng có điện vậy. May là lúc giao qua trời chưa mưa, nếu mưa, quạt có vấn đề gì thì sao? DMX làm việc lại với nhân viên dùm khách hàng.","0","1"
"Quạt máy chưa lắp. Nhà phải lắp toàn bộ!","1","3"
"Dùng cũng rất tốt","1","3"
"Quạt chạy rất tốt nhưng cũng hơi ồn.","2","4"
"NHÂN VIÊN PHỤC VỤ RẤT NHIỆT TÌNH","2","5"
"Quạt chạy êm và gió ra rất ổn định","2","5"
"Dùng tốt, mạnh","2","5"
"Quạt mát,chạy êm","2","4"
"Quạt chạy êm, khá mạnh và mát","2","4"
"Sản phẩm chạy êm, màu sắc đẹp, giá cả hợp lý","2","5"
"Sản phẩm tốt, phù hợp giá tiền. Nhà đã dùng 1 quạt senko 4 năm rồi, thấy tốt nên mua thêm chiếc này nữa","2","5"
"Quạt mát, ko bị hực nóng. Có điều tên là quạt bàn nhưng nó to như quạt lửng, hơi bất tiện nếu cần mang đi. Nhưng mua đc giá hời nên cũng ok 😅","2","4"
"Quạt này xài ok lắm","2","4"
"Quạt chậy cả đêm không mà sờ không bị nóng","2","4"
"mới về quạt kêu to , nhân viên có đổi 1 lần nhưng lần này thì sau 1 thời gian xài mình mới phát hiện ra là cái lồng quạt lỏng lẻo với khung , không được chặt chẽ như cái mới giống như bị đổi hàng tồn","0","2"
"Chạy bình thường, quạt đảo qua lại kêu rẹt rẹt","1","3"
"Quạt siêu mát","2","5"
"Kiểm tra ở cửa hàng thì ok hết. Về xài đc 1 tuần thì hỏng (quạt 1 chỗ, không xoay được) Thôi bỏ.","0","2"
"Quạt này rất tốt","2","5"
"Sản phẩm này tốt","2","4"
"Quạt này kêu khá to, nhất là lúc khởi động lên, mình có mua thêm 1 quạt cây đứng senko thì thấy quạt cây đứng kêu bé hơn.","1","3"
"Quạt mạnh quá mới mở số 1 thôi gió mát quá trời..","2","4"
"Rất tốt, rất đáng để mua, nhân viên phục vụ vui vẻ","2","5"
"Quạt chưa được 1 tháng đã rung bần bật rồi bay luôn cái cánh và cái nắp quạt. Gọi điện bảo hành thì bắt phải mang ra tiệm, trong khi đang có bầu to sao mà chở.","0","1"
"Sản phẩm tốt","2","5"
"Hàng rất tốt luôn vs rất là ok luon","2","5"
"Mới sử dụng lên cũng chưa biết chất lượng thế nào tạm cho 5* sau thời gian đánh giá lại nhé","2","5"
"Quạt bật mức 1 th mà đủ mát với t.tiết HN r. Rất ưng","2","5"
"Hoạt động bền bỉ, giá rẻ, nếu có thêm chức năng hẹn giờ nữa thì tốt, chấp nhận giá cao hơn để có tính năng này","2","4"
"Quạt tốt, chạy êm, dễ lắp đặt. Nhân viên giao hàng tận tình.","2","5"
"Máy quạt chạy êm vì mới dùng nên chưa biết độ bền như thế nào....","2","4"
"Hàng.rất.tốt","2","5"
"Lắp dô ko quay xuống mà chỉa lên trời. Tệ hơn chữ tệ","0","1"
"Chị nhân viên 10 điểm luôn ạ!","2","5"
"Hien tai quat xai on,tot chay em.","2","5"
"Quạt sài rất tốt","2","5"
"Rất mát và rất đẹp","2","5"
"Chưa hài lòng","0","2"
"Quạt êm, mạnh. Rất ok.","2","5"
"Quạt sử dụng tốt","2","5"
"Quạt xài ok","2","4"
"Quạt rất tốt ,lực gió mạnh","2","5"
"Hài lòng vs sản phẩm","2","4"
"Quạt chạy tốt. Có điều động cơ kêu hơi to.","2","4"
"Hàng đẹp dùng êm chất lượng tốt","2","4"
"Quạt mát, chạy êm","2","5"
"Dùng quạt tốt lắm, nhân viên tư vấn nhiệt tình","2","5"
"Quạt dùng khá là oke","2","4"
"Tôi cảm nhận rất là tuyệt vời quạt rất là mát và êm","2","5"
"quạt mát nhưng kêu to quá, đêm để gần ồn không ngủ được .","0","2"
