"data","label","num_stars"
"Có cánh quạt thay thế nếu bị gãy cánh k","1","3"
"Tôi không có thời gian đi ra cửa hàng nên mới phải đặt online , tin tưởng vì mua rất nhiều sản phẩm mà giờ bị lỗi tôi gọi cần người xuống hỗ trợ nhưng đáp lại là Chở sản phẩm ra cửa hàng , ráp hết rồi không lẽ phải tháo ra để chở mà để nguyên thì chở cồng kềnh .","0","1"
"Sai linh kiện","0","1"
"Mẫu đẹp .giá phải chăng .khi chạy tiếng ồn hơi lớn so với senko . 5sao","2","4"
"Mua 2 cái trong vòng 1 tháng, quạt tốt cứng cáp so giá các hãng khác, mat lạnh, chưa thấy bất thường, đang định mua mấy cái nữa cho đồng bộ","2","5"
"Quạt hình thức đẹp , chắc chắn . Quạt khá mạnh và mát . Mỗi tội khi quay tup lăng thì bị rè rè rất là khó chịu","2","4"
"Cũng là điện máy xanh, mới mua hôm 17/5 580k, không hiểu giá cả bán kiểu gì. Lần sau chắc phải cẩn thận hơn.","0","1"
"Quạt mẫu mã đẹp, chiều cao rất phù hợp điều chỉnh linh hoạt cao thấp, tự lắp đặt theo hướng dẫn chuẩn quạt rất chắc chắn, bấm số 3 vẫn ko bị rung lắc. Săn mua online giá tốt, chỉ chê quạt ko cúi gập đc hẳn xuống dưới, muốn gió thổi xuống mỗi dưới chân ko được","2","4"
"Mình mua rất nhiều lần đmx, tối hôm qua có đến mua quạt nhưng nhân viên có vẻ k nhiệt tình và k muốn tiếp . Ngta có ăn mặc k sang trọng nhưng cũng là khách hàng mua hàng chứ k hề đến xin.khi bạn nv nói c quạt lấy đây đi nhưng mình nói có thể lấy trong thùng k ạ e về tự lắp thì nv kiểu hơi k hài lòng","0","2"
"Quạt bị kẹt nút số 3 không tắt được, phải bật sang số 1 hoặc số 2 để tắt.","1","3"
"xài chức năng 1 và 2 thì ổn mà bấm lên nút 3 là nó quay to ồn vào rung quá mạnh.","0","2"
"Nút số 1 tắt không được. Mới mua có 1 ngày mong dmx kiểm tra dùm.","1","3"
"Quạt trước lỗi kẹt nút tắt quạt. ĐMX đổi sản phẩm mới khác này hiện tại dùng rất ổn. ĐMX bảo hành tốt, đổi trả sản phẩm lỗi rất nhiệt tình, chu đáo.","2","5"
"Sản phẩm khi lắp ráp thiết kế ở vị trí núm vặn cố định đầu quạt vào trục thân ko được chắc chắn,gắn vào vẫn cảm giác hơi lung lây ko cố định chắc chắn.Ngoại quan đẹp, chất lượng chưa sử dụng nhiều nên chưa biết","1","3"
