"data","label","num_stars"
"Quạt dùng ok","2","4"
"Sản phẩm đẹp, sử dụng tốt","2","4"
"Em muốn bảo hành phải làm cách nào ạ. Đang dùng tự dưng nó hư luôn","1","3"
"Quạt 50w nhưng chạy không mát","1","3"
"Quạt khá chắc chắn và khá mát Bật số 1 thì êm ru Bật số 2 thì bắt đầu có tiếng Bật số 3 thì bắt đầu có tiếng hơi ồn ..tiếng ồn là do cánh quạt ma sát với không khí chứ không phải tiếng ồn động cơ... Và quạt không thể điều chỉnh chiều cao lên xuống được nếu muốn hạ thấp quạt thì phải tháo một thanh ở thân quạt ra.. ^^","2","5"
"cảm nhận là quạt ko êm như mình nghĩ, dù là mở mức nhẹ nhất.","1","3"
"Sản phẩm ok","2","5"
"Sản phẩm tốt nhân viên giao hàng thân thiện","2","5"
"Sản phẩm đẹp, tốt","2","4"
"Quạt nhỏ gọn nhưng thổi mạnh và mát, đêm mình bật số 1 còn rét run","2","5"
"Đã sử dụng được gần 1 năm. Quạt kêu như rống vào người dùng, ốc long xòng xọc. VÔ CÙNG KHÓ CHỊU Cho 2 sao vì ngoại hình","0","2"
"Mua cái quạt này giống như việc bạn tuyển một em thư ký xinh đẹp để trang trí nhiều hơn là làm việc. Khả năng làm việc chính của quạt là tác dụng làm mát thì ở mức bình thường, thậm chí là yếu vì sản phẩm thuộc phân khúc quạt dành cho phòng khách. Khả năng làm mát chỉ tương đương một chiếc quạt bàn mà thôi. Nhưng như đã nói ở trên quạt có thiết kế đẹp, màu trắng trang nhã thanh lịch sẽ tô điểm thêm cho không gian của bạn trở nên đẹp hơn. Xin cảm ơn ĐMX đã phục vụ nhiệt tình!","1","3"
"Chân quạt quá lỏng lẽo, chất lượng rất tệ. Khuyên mọi người không nên mua quạt Midea.","0","1"
"Giao hàng nhanh, đóng gói ok, hàng ok...chỉ có điều quạt hơi ồn thôi...chắc quạt nào cũng thế","2","4"
"Sản phẩm đep.quạt hơi yêu tí.nhưng hài lòng.6 giơ vẩn giao hàng.chất lương phục vụ tôt.","2","5"
"Sản phẩm đẹp sử dụng tốt ,nhân viên giúp đỡ bưng bê tư vấn nhiệt tình niềm nở ,giá giảm quá rẻ","2","5"
