"data","label","num_stars"
"Mới mua 3 tháng đã hỏng, không được đổi mới mà phải gửi bảo hành 15 ngày.","0","2"
"định mua 2 cái, nhưng mua trước 1 cái để test. Nào ngờ đúng chán Quạt bị lỗi kg ráp được phần đế, nó cọc cách lỏng lẻo. Liên hệ ĐMX đổi thì bên đó nói vác ra cửa hàng để kiểm tra. Không hiểu sao thích hành khách hàng vậy chứ Trải nghiệm rất tệ.","0","1"
"K đc chắc chắn lắm","1","3"
"sản phẩm tốt, chất lượng, các bác cứ senko mà mua","2","5"
"Quạt khỏe, lượng gió mạnh, phù hợp dùng trong gia đình, nhân viên đmx cực kỳ thân thiện, nhiệt tình.","2","5"
"kêu ồn.dùng lâu thấy có mùi khen khét","1","3"
"Tạm thời chạy ổn nhưng trong tương lai không biết thế nào","1","3"
"Hàng đẹp gió mạnh rất tốt.","2","5"
"Sản phẩm đẹp sử dụng ok, con trai tôi nói quạt thổi mạnh muốn bay nó luôn","2","5"
"Quạt xài tốt nhưng tiếng hơi ồn","2","4"
"Mới mua 7 ngày hư. Bật không chạy, gọi bh bắt mang ra cửa hàng. Trải nghiệm tệ","0","1"
"Đó là cô gái mang hơi lạnh làm mát trái tim giữa mùa hè nắng cháy","2","5"
"Tốt với tầm giá","2","5"
"Quạt chạy mạnh. Nhân viên giao hàng vui vẻ nhiệt tình.","2","5"
"Quạt chạy êm, mức gió mạnh, dễ sử dụng","2","4"
"Quá tệ, mua về dùng 15 ngày thì hư, không dùng được nữa, không chạy, ko hiểu vì sao, gọi hỗ trợ, nhưng nó đem ra điện máy xanh mới hỗ trợ, nhà xa, công đi xe ra nhờvho64 trợ bằng mua cái mới, chán","0","2"
"Xin cảm ơn cửa hàng , quạt dùng rất tốt ạ","2","5"
"Quạt không có chức năng gió nhẹ, rất khó chịu.","0","2"
"Quạt rất tốt khá ổn so với giá tiền mình thấy phù hợp nhé","2","5"
"Quạt chạy ổn, chờ thêm thời gian mới biết rõ chất lượng","2","4"
"Hiện tại quạt đang sử dụng tốt","2","4"
"Dùng ok mà hơi ồn","2","4"
"Quạt mạnh, êm, giá hợp lí, giao hàng nhanh","2","5"
"Quạt dùng ổn","2","5"
"Quạt bị cháy. Đang nằm ngủ thì nghe mùi nhự cháy nồng nặc nên dậy tắt. Mong được liên lạc hỗ trợ.Bình thường tiếng ồn lớn.","0","1"
"Quạt mạnh. Tiếng ồn lớn","2","4"
"Quạt dùng rất tốt","2","5"
"Quạt chạy êm, mát","2","4"
"Quạt chạy êm","2","5"
"Quạt thì xài ok nhưng remote bấm lúc ăn lúc không, phải đứng ngay trước mặt mới bấm dc, còn đứng bên hong hoặc sau lưng thì bấm mãi không dính đâu hết","1","3"
"Quạt chạy êm, mát, shipper thân thiện nhiệt tình, lắp vào xong lại tháo ra để lại vào thùng để làm quà. Đội ngũ CSKH tốt","2","5"
"Quạt mát, êm","2","5"
"Quạt chạy tốt, có điều quạt hơi mạnh, mức 1 nhỏ nhất vẫn rất mạnh","2","4"
"Máy cũ trầy xướt","0","1"
"Quạt nhỏ nhưng mát. Chạy êm. Rất ok","2","5"
"Rất hài lòng","2","5"
"Sản phẩm tốt.","2","5"
"NVien giao hàng nhiệt tình quạt chạy tốt chúc cty luôn đắt khách hàng nhé","2","4"
"Dùng tốt trong tầm giá","2","4"
"Quạt quay tốt tuy nhiên độ quay của quạt ko rộng","1","3"
"Quạt dùng tôt chạy mạnh","2","5"
"Quạt xài hiện tại rất ưng","2","5"
"Mới mua mới sử dụng sẽ đánh giá quá trình sử dụng","2","4"
"Ok. Chạy êm mát","2","5"
"Quạt dùng tốt nhân viên lắp quạt nhiệt tình lễ phép","2","4"
"Hình dáng đẹp, dễ sử dụng. Tốt.","2","5"
"Quạt chạy êm mát","2","5"
"Sản phẩm tốt Dịch vụ tuyệt vời","2","5"
"Đang hoạt động tốt","2","5"
"Hàng dùng êm,mát, trong khoảng giá bỏ ra.","2","5"
"Sản phẩm dùng tốt.","2","5"
"Quạt mạnh, chạy êm.","2","5"
"Chính sách bán hàng và bảo hành tốt","2","4"
"Chất lượng rất tuyệt vời nhân viên giao hàng nhiệt tình","2","5"
"Quạt mạnh, tốt","2","5"
"Quạt mạnh mát","2","5"
"Giao nhanh, nhiệt tình, chú đáo.","2","5"
"Quạt dùng rất tốt, mát","2","5"
"Tôi đã mua 2 cây quạt này và sử dụng thấy rất tốt","2","5"
"Mua xào dc số 1, số 2,3 quạt nó rung ghê lắm. Mà mình chưa rãnh đưa đi bảo hành nữa","0","1"
