"data","label","num_stars"
"Mình đánh giá 5 sao cho team hỗ trợ cũng như điểm 260 Cầu Giấy. Chất lượng quạt thì mới mua chưa đánh giá được.","2","5"
"Hàng Sài rất oke","2","5"
"Quạt mát, khi bật số to hơi ồn.","2","4"
"Quạt kêu hơi to, còn đâu tốt","2","4"
"Tốt và đẹp . Chất lượng oke","2","5"
"Quạt dùng tốt ok, vì công suất lớn nên khi bật số to hơi ồn chút. Tổng thể là ok","2","4"
"Quạt ồn quá","2","5"
"Quạt chắc chắn, hơi kêu nhưng không sao","2","5"
"Mới nhận hàng về, lắp xong cái lồng gắn bảo vệ quá nhỏ ko vừa. Chắc mai đem đổi. Quạt mạnh, êm","1","3"
"Số nhỏ 1 hơi mạnh . Còn lại tốt nha","2","4"
"Chất lượng phù hợp giá tiền","2","5"
"Quạt êm10 điểm","2","5"
"Ok. Quạt tốt","2","4"
"Quạt êm, công suất lớn, đã là công suất lớn và gió mạnh nên ồn hơn xíu. Còn ồn nữa là do tấm logo bị rung, chỉ cần dán keo nến phía trong là nó hết kêu ngay. Còn chê ồn thì gắn máy lạnh đi cho không ồn. Mấy má sao ngộ, muốn quạt nó quay nó im phăng phắc mới hài lòng hay sao ý","2","5"
"Quạt đẹp nhưng kêu to quá trời . Ồn lắm","1","3"
"Quạt đẹp, công suất lớn. Chắc chắn","2","5"
"Khuyên thật lòng nên mua nhe mn. Quạt rất tốt, máy chạy mạnh rất mát luôn. Tuy k có nhiều chức năng như những mẫu quạt khác, nhưng thiết kế rất đơn giản, màu xám sữa bên ngoài đẹp sang xỉu. Phần thân đế quạt rất vững chắc, k bị rung lắc hay yếu ớt như loại cũ mình từng mua. Giá cả cũng phải chăng khi giảm còn 690k. Rất hài lòng. Thanks ĐMX","2","5"
"Mình mua quạt bạn nv bảo 1 mảnh lẻ này là dự phòng, cho mình hỏi là dự phòng của bộ phận nào ạ","2","4"
"Sp dùng tốt và mát nhé","2","5"
"Rất tốt quạt gió mạnh chạy êm, Rất hài lòng cám ơn điện máy xanh nhiều","2","5"
"Quạt có kiểu dáng đẹp thân đế vững chắc không rơ lắc khi quay. Chất liệu nhựa tốt lắm. Động cơ quay êm mạnh đúng chất hãng Nhật.","2","5"
"Giá cả hợp lý, quạt chạy ổn định mát","2","5"
