"data","label","num_stars"
"Ủa không phải giao hàng lắp đặt tận nơi à. Giao hàng tiết kiệm, tự lắp thì đặt shoppe cho rồi, lắp mất cả 30 phút vẫn không ổn","2","5"
"Quạt mát, kêu to như quạt công nghiệp.","1","3"
"Quạt tốt nhưng hơi ồn","2","4"
"Quạt dùng tốt","2","5"
"Quạt mát , êm tiếng","2","4"
"Rất tốt nhe","2","5"
"Quạt chạy tốt","2","5"
"Quạt rất tốt mát","2","5"
"Quạt đẹp , chạy êm nhưng gió không được mạnh lắm.","2","5"
"Quạt chất lượng nhưng hơi ồn","2","4"
"Quạt chạy êm gió mạnh","2","5"
"Quạt chắc chắn, chạy êm","2","5"
"Quạt sử dụng rất tốt ạ","2","5"
"Quạt êm ko bị ồn","2","4"
"Chạy êm ,khung chắc chắn","2","5"
"Tốt. Chất lượng phục vụ 5 sao Sản phẩm chờ đợi thời gian mới biết","2","5"
"Quạt chắc chắn chạy êm công suất ghi 50w nhưng chạy mạnh.","2","5"
"Quạt khá ồn, không có tay nắm bất tiện khi di chuyển","0","2"
"Quạt mẫu mã đẹp. Chạy khá ổn. Nhưng Quạt k gập cổ thấp xuống được nên hơi bất tiện khi dùng","1","3"
"Mình đã mua 3 cái quạt này từ năm 2020 đến nay mới viết review. Quạt rất ổn định, thường dùng cả năm mới bắt đầu có dấu hiệu trục trặc nhẹ. Cảm giác khi sử dụng rất nhẹ nhàng, tháo ra lau chùi dễ, nữ tự làm được. Quạt này là sự lựa chọn hàng đầu khi mình cần mua quạt cây","2","5"
"Quạt êm mẫu mã đẹp ok","2","4"
"Quạt chạy êm","2","5"
"Nhân viên bán hàng tận tình chu đáo!","2","4"
"Quạt rất tốt ,chạy êm gió mạnh","2","5"
"Quạt chạy êm","2","4"
"Sp chất lượng, giao hàng nhanh","2","5"
"Quạt kêu to như máy quạt công nghiệp, không phù hợp không gian phòng khách, phòng nghỉ. Quá tệ. Chế độ hỗ trợ cũng không tốt.","0","1"
"Rất tốt Nhiệt tình Che do bao hanh tốt","2","5"
"Quạt chạy êm, mẫu mã đẹp","2","4"
"Sản phẩm tốt","2","5"
"Quat chạy êm","2","5"
"Quạt chạy êm","2","4"
"Quạt sử dụng tốt","2","4"
"Quạt mạnh nhưng hơi ồn","2","4"
"Sản phẩm sử dụng rất tốt","2","5"
"Quạt rất mạnh, chân đế vững vàng, phần có đế sử dụng","2","5"
"Phục vụ nhanh, chất lượng tốt","2","5"
"Nút bấm êm, Ko có tiếng kêu","2","4"
"Chất lượng tốt","2","5"
"Quạt em chạy tốt","2","4"
"Quạt chạy êm. Hài lòng.","2","5"
"Quạt rất mát chạy êm,mẫu mã đẹp màu trắng trang nhã mà rất sang","2","5"
"Hàng chuẩn,giá hợp lý! Sẽ tiếp tục ủng hộ","2","4"
"Nhân viên nhiệt tình","2","5"
"Quạt đẹp, nặng tay, có điều lực quay hơi yếu 1 tí nhưng không sao ạ. Vẫn rất okela","2","5"
"Tôi muốn bên lắp giáp chỉnh lại cho quạt của tôi chư a đc chắc hơi lỏng lẻo","2","4"
"Quat tot. Chạy êm và gió mạnh đều","2","5"
"Quạt thương hiệu nên chất lượng đi đôi với giá thành, nếu có voucher giảm giá sẽ tốt hơn","2","4"
"Tiếng kêu hơi ồn","1","3"
"Hàng tốt, đúng như quảng cáo. Nhân viên giao hàng cẩn thận, chu đáo!","2","4"
"Sản phẩm tốt Giao hàng đúng hẹn","2","5"
"Quạt rất mát; màu màu; sp rất hợp lý so với giá tiền","2","5"
"Mới sử dụng thấy tốt chạy êm","2","4"
"Sản phẩm tốt hơn mong đợi.","2","4"
"Quạt chạy tốt êm nhiều gió điện máy xanh rất nhiệt tình giao hàng đúng giờ","2","5"
"Kiểu dáng đẹp chạy êm mạnh","2","5"
"Quạt máy xài tốt.","2","4"
"Quạt chạy khá êm, chưa biết độ bền như thế nào nhưng đc cái mẫu mã đẹp, màu nhìn cũng sang nữa. ĐMX tiếp nhận đơn hàng nhanh, nhân viên giao hàng lịch sự và nhiệt tình.","2","4"
