"data","label","num_stars"
"1 không cho đánh giá à. Quạt hơn 2tr mà chỉ quạt ngang từ 1,2 mét trở lên chứ không cúi được xuống. Phí tiến","0","1"
"Quạt chạy êm, đáng đồng tiền bát gạo, nhân viên Điện Máy Xanh phục vụ tận tình, chu đáo.","2","5"
"Rất ok nhanh gọn .","2","5"
"Mới xài 1 tuần thấy ổn lắm","2","4"
"Rất tiện lợi","2","5"
"Quạt đẹp h đại mát bền","2","5"
"Sản phẩm tốt","2","5"
"Quat chay rat tot","2","5"
"Đừng bao giờ mua quạt ĐMX thà mua trên Tiki,Lazada chứ mua mới mấy ngày quạt kêu ee điện tổng đài nói đem quạt ra cửa hàng chứ k cho người kiểm tra vì chính sách như vậy. Đừng tin hàng hiệu quá lầm to,quạt đắc tiền mà thua quạt vài trăm.Một bài học","0","1"
"Quạt báo lỗi E5 là lỗi gì vậy ạ.xong tắt xong lại phải bật lại.","1","3"
"Quạt tốt chạy êm dùng rất thích","2","5"
"Quạt dùng êm","2","5"
"Quạt chạy êm, nhiều tốc độ gió - phù hợp nhà mình có con nhỏ","2","5"
"Quạt đẹp chất lượng","2","5"
"Quạt chạy êm và hải lòng với sản phẩm","2","5"
"Nói chung vẩn có ồn- tuy nhiên quạt đẹp","2","5"
"Quạt êm không nghe ồn ,ai sợ ồn nên mua quạt này nhé","2","5"
"Trải nghiệm 1 tháng, quạt của nhật mà quá tệ, chọn chế độ quay nghe tiếng kêu cụp cụp, sáng thì khó nghe tối ngủ nghe rõ, chọn số lớn quay nghe tiếng như máy xay lúa. Khó ngủ định mua quạt tốt chạy êm, ai dè bị 1 dố quá tay.","0","2"
"Nếu ai ngại tiếng ồn thì nên mua quạt này, cực kỳ êm. Mình phải đổi 3 cái quạt vì tiếng ồn mới tới quat này mới ok. Chưa chắc tiền nào của đó.","2","5"
"đổi cái này nữa là cái thư 3. tình trạng giống 2 cái trươc: 1 cánh đảo ko cân bằng. 2 quạt đúng 12 giờ tính từ lúc bật là bi tắt. 3 giờ lỗi time như vậy thì ko muốn BH nữa. mặc dù nhà cach ĐMX Tp Vũng Tàu 50M","0","2"
"Dùng quạt này rồi rất khó để chuyển qua dùng quạt khác. Nhiều chế độ, tốc độ gió. Tuyệt nhất là khi ngủ, để số nhỏ hoặc mode ""gió ngủ"", êm ro!","2","5"
"Quạt đẹp chạy êm, có nhiều mức gió rất thích. Đặt phòng khách rất nổi. Tôi rất thích các chế độ quạt lập sẵn khi ngủ, cần yên tĩnh, cảm biến với nhiệt độ phòng để điều chỉnh tốc độ quạt cho phù hợp. Thái độ phục vụ rất tốt nhanh chóng tận tình. Cám ơn và luôn ủng hộ ĐMX.","2","5"
