"data","label","num_stars"
"Quạt dùng tốt chạy êm có nhiều chế độ gió phụ hợp dùng cho phòng ngủ","2","5"
"Làm việc quá tệ đặt hàng từ 11h báo là sẽ giao trước 18h. Để khách hàng đợi nửa ngày rồi lại báo hôm sau giao. Gọi điện nhắn tin để hỗ trợ thì nói đợi 60p bên giao hàng liên hệ lại, đợi đủ 60p rồi vẫn vậy. Chưa bao giờ cảm thấy mua hàng ở điện máy xanh ức chế như này.","0","1"
"Bộ phận đổi gió lúc chạy lúc không","0","2"
"Quạt mẫu mã đẹp","2","5"
"Giao hàng còn chậm","2","5"
"Quạt chạy êm, phù hợp cho văn phòng trong máy lạnh","2","5"
"Tốt, êm, mát","2","5"
"Sản phẩm tốt, mua online được ưu đãi, đáng tiền. Giao hàng nhanh.","2","4"
"Hàng đẹp, máy chạy êm","2","4"
"Quạt siêu êm,đó giờ hàng Media chất lượng khỏi bàn..","2","5"
"Quạt nhẹ phù hợp khi ngủ, có 4 số chỉnh số mạnh cũng khá mát. Tuy nhiên cánh đảo gió bị gì mà bật chạy là cứ kêu rè rè","2","4"
"Trước mua 1 cái dùng ok quá lần này mua luôn 2 cái","2","5"
"Nút hẹn giờ lỏng lẻo quá, muốn rơi ra","1","3"
"Quạt chạy êm, kiểu dáng đẹp, phù hợp cho dùng điều hoà.","2","5"
"Quạt chất lượng rất tốt, sử dụng êm và mát.","2","5"
"Quạt thiết kế sang trọng đẹp mắt, gọn gàng. Gió quạt mát mà không bị ồn. Phù hợp cho cả phòng ngủ","2","5"
"sản phẩm an toàn cho trẻ nhỏ , có số nhẹ nhất quạt êm dễ ngủ, con mình toàn bật quạt cả đêm , tắt cái dậy liền, mua quạt này khỏi lo bị lạnh","2","5"
