"data","label","num_stars"
"Quạt xấu, lõng lẻo, đế quạt to mất diện tích","0","1"
"Tôi muốn mua nút điều chỉnh tốc độ Quạt lửng Comfee 3 cánh CFFF4019VEW 48W, nhờ ĐMX giúp với Đt xxxx033330","2","4"
"Quạt này bảo hành bao lâu ạ","2","5"
"Quạt mới mua vừa giao đến nhà đã bị lỗi phải mang lên trung tâm để chờ đổi nản","0","2"
"Sản phẩm dùng rất tốt","2","5"
"Quạt yếu hơn senko, ko bẻ đầu quạt lên xuốnb được","1","3"
"Đế quạt nhẹ khi quạt chạy, đế trượt trên nền nhà","0","2"
"sản phẩm tốt","2","5"
"Quạt rất tốt","2","5"
"Quá ok lun nhé","2","5"
"Rất hài lòng","2","5"
"máy quạt oke có điều tiếng hơi ồn thôi, còn quạt thì nút số 1 đã mát lạnh lắmm gòi, bật nút số 3 chắc lạnh quéoo qá","2","4"
"Quạt mát, êm","2","4"
"Quạt hơi kêu","2","4"
"tốt nhưng mà hơi khó ráp quạt k có gập xuóng được nhiều","2","5"
"Đáng tiền máy êm và tiết kiệm điện","2","5"
"Quạt dùng rất ok ạ","2","5"
"Quạt ọp ẹp chân quạt lỏng lẻo nút xoay điểu chỉnh rất kém không chắc chắn xoay vài cái đã rụng . khuyên các bạn nên chọn sản phẩm khác Rất buồn khi Điện máy xanh lại bán mặt hàng quá kém về chát lượng .","0","2"
"Quạt mạnh. Dùng tốt","2","5"
"Quạt xài tốt ạsản phẩm bên mình xài rất ưng ý ạ","2","5"
"Quạt hơi yếu không được mạnh","1","3"
"Khoảng 8h ngày 7/8 mình có đến CN Gò Dầu để mua quạt này bình thường mình đi các CN khác đều có các anh chị đón từ cửa và trực tiếp tư vấn. Còn đến CN này khi mình bước vào 2 nv nữ 1 nv nam đều xoay lại nhìn mình và k 1 ai bước tới hỏi mình cần mua gì. Mình nghĩ chắc họ bận nên cũng tự tiến vào khu trưng bày quạt. Đứng tự xem 1 lúc cũng k thấy ai đến bán thì mình phải đi ra ngoài hỏi là em muốn mua quạt có ai hỗ trợ k. Lúc mình đi trở ra 2 bạn nv nữ kia cũng chỉ nhìn chứ k hỏi đến mình 1 câu. Mình hỏi xong thì bảo chờ 10p. Mình thấy cả 3 đều bận rộn k tiếp khách đc nên đã đi đến CN Luỹ Bán Bích cách nhà hơn 2 cây số nữa để mua. Mong quản lý CN GD xem xét lại tình trạng thiếu hụt nhân lực này để các bạn bớt bận rộn đi. Chị nv bên LBB dễ thương nhiệt tình. Quạt mát và thiết kế đẹp","1","3"
"- Quạt chạy êm, tốc độ gió tương đối mạnh. - Quạt khá cứng cáp, chắc chắn. - Quạt có giá thành phù hợp với người dùng","2","4"
"Cổ quạt cứ chổng lên trời","0","2"
"Sản phẩm tốt","2","4"
"Có tiếng lách cách khi chạy. Dây điện trong hộp không gọn. Không biết tại sao. Sản phẩm cùng loại thứ 2 mình mua","0","2"
"Đến mua cây quạt đem về ráp không được thiếu phụ tùng thân cây quạt khi yêu cầu đưa tiếp thân quạt thì lại đưa thân quạt của quạt khác đành phải đem gửi lại cho cửa hàng","0","1"
"Sài tốt bình thường","2","4"
"Đặt mua cái quạt này về thất vọng vô cùng tôi phải đem ra trả ngay ngày hôm sau.","0","1"
"Giao hàng nhanh. Vừa gọi lúc 14h thì 15h giao luôn.có hỗ trợ lắp đặt luôn.nói chung dịch vụ ok.5 sao","2","4"
"Sản phẩm rất tốt","2","5"
"Ồn, quạt thì gió nhẹ nhưng tiếng thì to như sóng biển.","1","3"
"Xài tốt ,hông vân đề j","2","5"
"Hàng rất ok","2","5"
"Quạt mát, đẹp, núm chỉnh số hơi dễ tuột.","2","4"
"quạt kêu to . yếu ớt. quá chán","0","1"
"OK, hài lòng","2","5"
"Mẫu mã đẹp, êm","2","5"
"chân hơi nhẹ","2","4"
"Phục vụ rất tốt","2","5"
"Quạt công suất mạnh, mát mẻ, chỉ đầu quạt hơi rung xíu","2","4"
"Quạt mát, tiết kiệm điện","2","5"
"Về lắp ko được, mang ra đmx cũng ko lắp được, phải đổi qua loại khác","0","2"
"Sản phẩm khá ok","2","4"
"Quạt êm và mát nhìn rất thời trang và không ồn","2","5"
"Trục quạt lỏng lẻo, không thẳng, chân yếu","0","2"
"Sản phẩm mẫu mã đẹp, chắc chắn. Vận hành êm, luồng gió mạnh, mát. Nhân viên giao hàng thân thiện và nhiệt tình. Mọi người nên mua để sử dụng trong mùa nắng nóng này.","2","5"
"Đẹp, tốt, nên mua nha mn ❤️","2","5"
"Quạt yếu Không chắc chắn","0","2"
"Quạt dùng thi thoảng bị kêu","2","4"
"Quạt êm, mát. Mua hàng trưng bày nên được giá mềm","2","4"
"Sản phẩm tốt","2","5"
"sản phẩm tốt","2","4"
"Sản phẩm tốt chạy ok","2","5"
"Sản phẩm tốt","2","5"
"Quạt mua về xài rồi mới thấy yếu quá không mát lắm . Muốn đổi sang cái mạnh hơn","1","3"
"quạt rất tệ , không điều chỉnh hướng được , các chi tiết lắp ráp cánh quạt không khớp với nhau nên khi khởi động là tự động bung ra hết , rất nguy hiểm","0","1"
"Sản phẩm chất lượng. Tin tưởng nơi bán hàng (điện máy xanh)","2","4"
