"data","label","num_stars"
"Lồng quạt phía trước bằng nhựa, vặn bằng ren, khá bất tiện khi tháo lắp vệ sinh, và trông rất nặng nề ko đẹp. Còn lại khá ok","2","4"
"Mua 2 cây. Trả hết cả 2. Tới cây này dừng lại. Vậy chi trả hàng 2 cây mất 400k hơn tiền khôn.","2","5"
"Quạ nặng có 5,3kg ghi 6,9kg, lừa gạt, không thực tế.","1","3"
"Quạt chạy êm","2","5"
"Quạt êm ái.gió mát hơn loại khác","2","5"
"Quạt êm . Nhân viên đmx tư vấn tận tình.","2","5"
"Quạt êm nha","2","5"
"Quạt êm và rất mát chạy nhẹ nhàng","2","5"
"Quat su dung tot","2","4"
"Quạt chạy rất êm","2","5"
"Sản phẩm quạt chạy êm mát.","2","5"
"Chạy êm, tốt","2","5"
"Mẫu đẹp bền hay ko thì chưa rõ","2","5"
"Quạt nhiều gió, êm ko gây tiếng ồn.","2","4"
"Quạt chạy êm, mát. Rất thích mẫu lồng quạt mới, dễ dàng tháo lắp để vệ sinh. Giao hàng nhanh.","2","5"
"Sản phẩm tốt , nhân viên nhiệt tình.","2","5"
"Số 1 cực yếu, chỉnh lên số 2 thì lại mạnh quá, giá như có mức ở giữa 2 số thì vừa. Quạt chạy khá êm.","1","3"
