"data","label","num_stars"
"Quạt chạy êm...","2","5"
"Tạm ổn dùng được","2","5"
"Êm tai, quạt mát. Nhẹ","2","5"
"Quạt quá mát, quá tuyệt vời đến nỗi tôi bị bạt hơi tắc một bên mũi.","2","5"
"Quạt cho chất lượng gió tốt, tuy nhiên máy chạy ồn k thích hợp dùng khi ngủ.","1","3"
"quạt gió mạnh, mát","2","5"
"Quạt mạnh, kiểu dáng chắc chắn","2","5"
"Quạt kêu khá to. Có bảo hành ko nhỉ","1","3"
"Quạt êm gió mạnh, rất ok","2","5"
"Quạt khá nhẹ, nhưng sd okêla lmGiao hàng khá nhanh, gói hàng cẩn thậnThanks store","2","5"
"Quạt chạy êm, gió mạnh, thiết kế đẹp","2","5"
"Ok giao hàng tận tình","2","5"
"Máy mạnh quạt êm","2","5"
"Quạt chạy êm, mát. rất tốt ạ","2","5"
"Quạt tốt so với tầm giá","2","5"
"Quạt khoẻ, mát","2","5"
"Quạt hoạt động êm ái","2","5"
"Quạt nhẹ và mát","2","4"
"Quạt chạy êm, cứng cáp , rất mát , diện tích phủ mát rất rộng ,","2","5"
"Sản phẩm tốt.","2","5"
