"data","label","num_stars"
"Quạt mới tes thấy rất êm","2","5"
"Mình mua quạt 17/01/2025 xài tới ngày 23/8 2025 đạo này quạt xài kêu qua trời","1","3"
"Mới xài 1 năm hư. Xài có buổi tối với 2 ngày cuối tuần.","0","1"
"Quạt được mấy ngày kêu lớn đã gọi điện thoại cho bố bảo hành lăng nhằng ko đến bảo hành kêu tháo mang ra siêu thị gì kì vậy, lúc mua sao không nói, Bảo Hành DMX tệ quá, mn mua nên hỏi tv chính sách bảo hành cho kỹ nhé , 2","0","2"
"Còn gần 1 tháng hết bảo hành bị hư không chạy , gửi bảo hành xong xài vừa qua hết bảo hành cháy khét lẹt luôn, hên là có ở nhà","0","2"
"Quạt tệ so với giá thành. Mới sử dụng 6 tháng đã hư, bảo hành xong lấy về sử dụng chưa được 1 tháng lại hư tiếp. Không cơ thời gian mang đi bảo hành luôn. Chất lượng sản phẩm quá tệ với mong đợi.","0","1"
"Quạt dùng chưa hết BH thì cháy. Mang đi bảo hành về có quay nhưng bốc mùi khét. Mang đi BH tiếp 2 lần nữa vẫn khét. 1.4.25 hết hạn BH, thôi thì tiễn em n đi cho bà đồng nát kẻo có ngày cháy nhà","0","1"
"Quạt thì đẹp.tất cả đều vừa ý.có 1 lỗi là thiết kế cái móc treo tệ.gắn vào thấy k ổn cho lắm.k chắc chắn.","2","5"
"Tôi mua sản phẩm chưa được 1 năm. Nhưng gần đây máy quạt thường bị đứng, cánh quạt không quay mà động cơ vẫn còn xoay. Tôi phải làm sao.","2","4"
"Quạt bấm nhạy nhé mn","2","5"
"Rất tốt nên mua","2","5"
"Quạt rất ok nhé","2","5"
"Mình mua hàng ngày 26/05/2024, nhưng đến ngày 10/08/2024 đã bị hư. Quá thất vọng về sản phẩm.","0","1"
"Quạt chạy tốt, mát mẻ, điều khiển bằng remote rất tiện, đáng mua.","2","5"
"Ok lắm.quạt 12h moi ngày.","2","5"
"quạt êm, mạnh, có remote nên sử dụng rất tiện","2","5"
"Lắp nhanh, nhân viên nhiệt tình","2","5"
"Quạt mạnh, chạy êm, mát lạnh luôn","2","5"
"quạt bật số 1 thì êm mà bật số 2 số 3 kêu to quá","0","2"
"Quạt chạy êm","2","4"
"Ok tạm được so với giá","2","4"
"Ok chất lượng tạm ổn","2","5"
"Quạt dùng tốt ạ","2","5"
"Hàng chất lượng","2","5"
"Nhờ bảo hành kiểm trả giúp. Quạt khởi động rất ồn.Gọi ĐT trung tâm bảo hành tắt máy ngang.","1","3"
"Sản phẩm tốt, shipper nhiệt tình, cẩn thận.","2","5"
"Quạt kêu to quá. nhân viên kĩ thuật hỗ trợ bảo hành dùm mình với ạ.","1","3"
"Quạt chạy rất êm, động cơ mạnh...","2","5"
"Sử dụng tốt, chạy êm","2","5"
"Quạt chạy ok.","2","5"
"Hỏi mua remote sơ cua","2","4"
"Quạt tiện lợi có remote, mạnh êm Đội ngũ Tận tình lắp ráp dùm","2","4"
"Mớ dùng thấy Quạt mát, tiếng hơi ồn, remot nhạy, dùng oki la","2","5"
"quạt chạy tốt, gió mạnh, hẹn giờ và remote tiện lợi, nên dùng thay thế cho các loại quạt cây, quạt bàn truyền thống.","2","4"
"Quạt mới sài 1 tuần kêu liên tục kẹt kẹt rất khó ngủ","0","1"
"Quạt mạnh rất tốt","2","5"
"Nhân viên bán hàng không tư vấn chính sách bảo hành, không ghim quạt vô thử tôi đánh giá chính sách bán hàng 2 sao","0","2"
"Quạt yếu quá. Mở số 3 thì quá ồn","0","2"
"Mẫu mã thì rất đẹp xài mình thấy rất ok .","2","5"
"sử dụng tốt, thời gian sau mới biết đc","2","4"
"Tốt hài lòng","2","4"
"Giống mô tả, chất lượng tốt, giao hàng nhanh, dễ lắp ráp. Quạt có hình dáng đẹp, hoạt động mạnh mẽ, luồng gió mát mẻ. Đánh giá 5 sao","2","5"
"Quạt quay mạnh , mát , êm . Có điều kiện sẽ mua thêm .","2","5"
"Sản phẩm tốt","2","5"
"Quạt xài tốt. Mạnh","2","5"
"Kêu to romote bấm cứng k nhậy rất khó bấm.","0","1"
"Quạt sài tốt lắm ah","2","5"
"Quạt chạy êm","2","5"
"Cái remote chập chập, mình đã báo lên trên trang và các bạn ấy đã hướng dẫn đổi","2","4"
"Quạt chạy êm","2","4"
"Quạt kêu to khi không gian im lặng","1","3"
"Dùng ổn lắm","2","5"
"Rất mát và tốt cảm ơn shop","2","5"
"Quạt tốt sức gió manh","2","5"
"Quạt kêu ồn ào","0","1"
"Quạt chạy êm . Nhiều chế đôh","2","4"
"Quạt gió mạnh nha mọi người , có tiếng ồn nha mọi người. Mình bị khó ngủ có tiếng ồn không ngủ được .","2","4"
"Cũng bt xài 1 thời gian thì hơi kêu","1","3"
"Quạt này mình mua ngày 14/2. Quạt này ồn quá, muốn đổi sang loại khác bù thêm tiền được ko","0","2"
"Mới mua 3 ngày mà kêu tè tè chạy k êm rung lắm.sao đmx vs tgdd chất lượng ngày càng giảm vậy.trước rất tin tưởng nhưng giờ bị mấy sp nên suy nghi lại","0","2"
"Giao hàng trễ hẹn, còn thêm thiếu tư vấn rõ ràng chờ hỏi thì nói qua loa...","1","3"
"sử dụng tốt","2","4"
"Tốc độ xoay hơi yếu","2","5"
"Quạt lúc hoạt động phát ra tiếng kêu lớn rất ồn","1","3"
"Quạt chạy êm, tốc độ tốt","2","4"
"Ngon, bổ, rẻ Chất lượng quá ổn so với giá thành.","2","5"
"Mức Gió Rất YếuTôi lỡ tin tưởng mua 1 lúc 6 sản phẩm lắp cho công ty.Thua cả về giá lẫn chất lượng so với quạt MEDIA trước tôi hay dùng","0","1"
"San pham tot","2","5"
"quạt chạy rất êm","2","5"
"Sản phẩm tốt, tiết kiệm điện","2","5"
"Sản phẩm sài tốt","2","4"
"Quạt tốt, chạy êm","2","4"
"Quạt quá ok . Nhân viên hổ trợ nhiệt tình 10 điểm","2","5"
"Quạt tốt, máy êm","2","5"
"Mới mua hơn tháng mà đã không quay được bảo hành bao giờ mới xong đây. Biết thế chọn loại tốt xíu.","0","2"
"Quạt dùng tốt","2","5"
"Quạt nhà mình mua 2 lần rất tốt","2","5"
"Quạt mạnhsử dụng bằng điều khiển rất tiện","2","5"
"Cũng tạm được ạ","1","3"
"Hơi ồn xài tạm được","1","3"
"Về xài bị hư remote đã được đổi quạt mới xài ổn tiện lợi","2","4"
"Xài 3 ngày hết đảo chiều","0","2"
"Quạt tốt và êm","2","5"
"Máy chạy êm mát điều khiển từ xa thuận tiện","2","5"
"Ban đầu dùng ok.còn về sau 1.2 tháng chưa biết ntn mà nói chước đc.Cái nhìn ban đầu thấy cách phục vụ chu đáo.thân thiện.nhiệt tình","2","5"
"Nhân viên giao hàng rất nhiệt tình máy quạt êm mát","2","4"
"Quạt dùng êm ái mua 4 cái thì 1 remote bị đấu sai đầu pin nên k sử dụng được. Mà mình bấm bằng tay cũng nhanh. Đánh giá ok sản phẩm này của Senko nha.","2","5"
"Điều khiển lúc nhận lúc không. Do quạt chứ k phải điều khiển. Thử đổi điều khiển vẫn thế","0","1"
"Rẻ giao hàng nhanh gọn.Quạt khá mạnh có remote rất tiện.","2","5"
"Sp rất tốt . Chỉ có cái xa quá 3m gió k tới","2","5"
"Hiện tại quạt chạy êm gió mạnh. Remote điều khiểu từ xa rất nhạy chỉ bằng một nút bấm là cả gian phòng mát lạnh còn bền hay ko thì phải chờ một thời gian nữa mới đánh giá được...","2","5"
