"data","label","num_stars"
"Quạt mua ngày 06/07/2025 giờ đã lỗi dây kéo","0","1"
"Thích mua hàng ở đây. Nhân viên nhiệt tình, hổ trợ cột dây hàng cho khách.","2","5"
"Quat manh mat nhung co cai tieng gio ù ù hơi lon con lai thi ok het","2","4"
"Quạt mạng Mat lắm","2","4"
"Quạt chạy tốt","2","4"
"Rất tốt chạy êm","2","5"
"mạnh lắm mát nữa","2","5"
"Quạt dùng vài ngày thấy ổn, mát và êm. Về lâu dài chưa biết có bền hay không","2","4"
"Ổn nhé chờ thời gian nữa xem thế nào","2","4"
"Sử dụng tốt, chất lượng","2","5"
"Quạt mát, nv hỗ trợ nhiệt tình","2","5"
"Quạt sử dụng êm.","2","5"
"Quạt mạnh, Mát mẻ, tốt","2","5"
"Quạt xài tốt, tạm ổn","2","4"
"Rất oke giao hàng nhanh","2","5"
"Quạt xài tốt rất OK","2","5"
"San phẩm tốt lắm chạy êm, sẽ tiếp tục ủng hộ","2","5"
"Chạy mạnh quá trời. Nhân viên nhiệt tình tư vấn. Sẽ giới thiệu cho người khác","2","4"
"Dùng được 1 thời gian thì dây chỉnh số không hoạt động","0","1"
"Sài ok lắm, gió mạnh","2","5"
"Quạt tốt gió mạnh. Thực sự đáng để mua","2","5"
"Rất tốt mọi người nên mua","2","5"
"Quạt chất lượng, ok","2","5"
"Quạt thổi mát qá bay hết cái nết của tui rồi shop ơi","2","5"
"Sản phẩm tốt giá rẻ","2","5"
"Nên mua nha mn , quạt mạnh lắm","2","5"
"Nhân viên gắn quạt ko hỗ trợ gắn đường dây điện cho khách hàng","0","1"
"thấy dùng ok lắm quạt mát","2","5"
"Quạt mạnh, chạy êm","2","5"
"Quạt tốt lắm ạ","2","5"
"Sử dụng tốt","2","5"
"Quạt rất mạnh, chạy êm, giá cả phải chăng. Rất thích. Tiếp tục ủng hộ","2","5"
"Quạt xài ok nhân ,viên nhiệt tình","2","5"
"Quạt chạy tốt nhé. Sẽ ủng hộ tiếp","2","5"
"Sản phẩm rất tốt. Tôi mua cái thứ 2 ở điện máy xanh rồi. Rất hài lòng cách phục vụ của nhân viên của điện máy xanh","2","5"
"Quạt mạnh, công suất lớn, thổi bay cả đồ ăn, tuy nhiên về nhà phát hiện quạt không có nắp đậy phía trước.","2","4"
"Tốt mát hơi ồn do công suất cao","2","5"
"Sản phẩm rất tốt, mạnh, mát.","2","5"
"Quạt dùng tốt","2","5"
"Sài im và ổn định, bền","2","5"
"Sử dụng rất tốt....","2","5"
"Mình vừa mua cái này tầm 1 tuần, nay kéo chỉnh chế độ từ 3 về 0 bị lỗi kéo không ăn. Đổi lại giúp mình nhé","2","4"
"quay tốt nhưng do công suất lớn nên hơi ồn xíu","2","4"
"quạt mới mua 10 ngày đã ko quay nữa. gọi bảo hành kêu phải xách ra cửa hàng mới được. ko có chính sách bảo hành tận nơi. giờ mới biết đmx làm ăn tệ vậy","0","1"
"Hàng ok lắm","2","5"
"Treo ở cửa hàng ,Mát lạnh tim","2","5"
"Quạt dùng thấy ok nha, quạt mạnh muốn văng cái nết luôn á tèn","2","4"
"Sản phẩm rất tốt","2","5"
"Tốt trong tầm giá","2","4"
"Rất tốt , nhân viên lắp ráp rất nhiệt tình","2","5"
"quạt sài ok. nên thử","2","5"
"Quạt chạy êm, nhân viên giao hàng nhiệt tình","2","5"
"Quạt gió mát, mạnh ít ồn, nhưng trưa nắng nóng thì gió sẽ có nóng nhẹ, nhưng rất ổn.. vừa túi tiền","2","5"
"Vừa mua khi trưa, chiều dùng mới phát hiện bị lỗi không ngước quạt lên được. Gọi bảo hành thì nói không bảo hành tại nhà. Tự đem ra dmx sửa. Trong khi quạt đã khoan lên rồi, vừa cao vừa có gắn ốc vít chặt.Mua hàng ngày 8/3 được tặng ly, bảo khách tự ôm ly về, chứ hết bao bì đựng. Càng ngày phục vụ càng tệ.","0","1"
"Gió mạnh ,mát","2","5"
"Sản phẩm rất tốt gió mạnh","2","5"
"Quạt mát sài êm","2","5"
"Hàng dùng hơn 1 năm thì bị lỗi. Gọi hỏi bảo hành sao thì nhân viên báo đã hết hạn. Sau đó vào web check thì ghi là bảo hành 2 năm. Nhân viên khác gọi bảo chỉ bảo hành động cơ....bla bla. Làm ăn càng ngày càng tệ. Sản phẩm kém","0","1"
"Mọi vấn đề đều tốt","2","5"
"Quạt mạnh, ok","2","5"
"Quạt rất mạnh diện tích phòng 10m2 nên gió thổi ngộp luôn . Phòng to hơn thì sẽ ok lắm.","2","5"
"Quạt mạnh, tốt","2","5"
"quạt dùng tạm ổn. Điện Máy Xanh nên có thêm dịch vụ lắp đặt quạt tường tại nhà thì sẽ hoàn hảo hơn.","2","4"
"Quạt mua về dùng ko hài lòng","0","1"
"Quạt rất tốt. Nhân viên nhiệt tình giúp đỡ lắp đặt.","2","5"
"Giá thành tốt quạt khoẻ","2","5"
"Rất tốt Phục vụ nhanh chóng","2","5"
"rất nhiệt tình","2","5"
"Quạt chạy êm mạnh nữa.","2","5"
"Cảm ơn các bạn Phong cách phục vụ tuyệt vời","2","5"
"Quạt mạnh . Thổi gió rất mát","2","4"
"Sản phẩm tốt bạn hỗ trợ lắp chắc chắn nhiệt tình.","2","5"
"Sản phẩm chất lượng","2","4"
"quạt mạnh mát","2","5"
"Quạt mạnh .mát","2","4"
"Quạt mạnh mát","2","5"
"Quạt rất êm","2","5"
"Sản phẩm tốt","2","4"
"QUẠT NHIỀU CÁNH. BAO MÁT NHƯ MÁY LẠNH","2","5"
"Quạt cực kì mát quạt mạnh máy chạy rất tốt và êm nhân viên lắp ráp tận tình ....cho 10 điểm","2","5"
"Bị kêu rít khi dùng","1","3"
"Quạt mình mới mua bữa T7 5/8/23 chủ nhật giao lại nhưng sao mở số 3 quá yếu quạt như k quạt","0","2"
"Sài Cũng tốtthời gian dài thì không biết","2","4"
"Quạt chạy êm ru nha mọi người","2","5"
"Hiện tại Sài OK ko biết sau này ổn ko nưaz","2","5"
"Quạt mát mạnh","2","5"
"Mình thấy rất ok luôn ạ","2","5"
"Quạt ko có gây giữ quay và đứng 1 chỗ chỉ có 1 dây, vì nó treo tường nên muốn dừng lại thì phải dứng lên ghế chỉnh","0","2"
"Tốt mạnh nhưng ko biết bền ko","2","5"
"Mình vừa mua 2 cái và mình đang cần hỗ trợ lắp quạt ngay ạk","2","5"
"Okkkkkkkkkll","2","5"
"Mình mua cho người thân và thấy nói quạt rất OK.","2","4"
"Quạt mát ,mạnh mẽ good","2","5"
