"data","label","num_stars"
"Quạt như cc, sài đúng 1 năm là hư cắm điện cũng ko chạy, bật công tắc sạc cũng ko chạy. Đem gửi đi sửa gần 1 tháng nhận được quạt thì nữa tháng sau bị lại như cũ. Nói nữa tháng nhưng thực chất dùng đúng 2 lần. Tốn thời gian đi tới lui chờ đợi. Mua mẹ cái quạt 350k sài cho lành","0","1"
"Quạt mới mua về cắm lên báo xanh luôn, dùng tầm đc 15p hết điện. Xong xạc lại tầm 10p lại báo đèn xanh","0","2"
"Thời lượng pin rất ngắn, không như quảng cáo. Khó tháo lồng ra để vệ sinh cánh.","0","2"
"Quạt ghi tốc độ xài 2h mà chưa đc 30 phút đã tắt rồi, rất yếu nữa,","0","2"
"Mới mua, sạc xong dùng thử, Quạt thì mát, tốc độ cao sử dụng được đúng 1 giờ là tắt mất rồi, làm gì được 2 giờ đâu, đổi trả làm sao","1","3"
"Quạt cắm sạc r vẫn k báo đèn đỏ là s ạ","2","4"
"Quạt sạc điện nhưng không tích được giây nào. Quạt ồn khô.","0","1"
"Quạt cắm sạc vẫn không báo đèn đỏ ạ","2","4"
"Xài ok mà lúc gỡ cánh quạt mình không gỡ được mong giúp đỡ hướng dẫn ạ","2","5"
"Quạt sài tốt","2","5"
"Pin lâu, sản phẩm OK","2","4"
"Mau hết pin, nói 3 đến 5 tiếng nhưng tầm 2h là hết","1","3"
"Quạt im mát sài được cả ngày","2","5"
"Quạt c sạc tý lên màu xanh rioi. Ấn lại mấy nút r sạc lại.","1","3"
"Nên mua quạt công suất lớn hơn, yếu quá","1","3"
"Quạt hơi yếu","1","3"
