"data","label","num_stars"
"Có bán dây sạc không ạ, do em làm mất","2","5"
"Thời gian sử dụng thực tế ngắn hơn công bốMức 3 mạnh nhất được khoảng 1h30Quạt kêu êm, gọn nhẹ tiện mang đi du lịch.","2","4"
"Model rất đẹp, xài rất ổn","2","5"
"Quạt sử dụng tốt. Các bạn nhân viên nhiệt tình.","2","5"
"Dùng cũng ổn,ko bt có được lâu ko,vì quạt sạc hay có vấn đề về pin","2","4"
"Sản phẩm rất ổn","2","5"
"Chạy tốt. Tuy nhiên hơi nhỏ","2","4"
"Quạt chạy êm , mát, dễ dùng, thiết kế đẹp","2","4"
"Rất tôt. Thời gian đủ lâu","2","5"
"Giá đắt, thời gian không được 7 tiếng như quảng cáo","2","4"
"Quạt thì ok.nhưng giá quá cao so với thị trường.cao hơn tới 500k","2","4"
"Quảng cáo 10h, chạy được 5h thôi (tốc độ nhỏ nhất)","1","3"
"Mình mua quat tích điện, quạt cây,bàn là, nồi điện, máy ép chậm...các sp mình đang dùng thấy rất tốt","2","4"
"Sản phẩm tốt","2","5"
"Quạt thiết kế rất nhỏ gọn và đẹp mắt nên dùng trang trí căn phòng thêm sinh động... Gió thổi ra rất mạnh đủ dùng vì có 3 tốc độ gió để tùy chọn, có đèn ngủ sáng mạnh và sáng yếu tùy chọn, quạt tự quay sang trái và phải được rất tiện ích, đáp ứng được nhu cầu khi mất điện. Lúc cấm sạc đèn sẽ báo màu đỏ, khi đầy sẽ báo sang màu xanh lá một lúc và tự ngắt sạc. Đã dùng thử thấy quạt tốt nên cho 5 sao!","2","5"
"Quạt sử dụng rất tốt","2","5"
"Tốt.Sài thời gian nữa xem sao","2","4"
"Dùng im lắm có 3 chế độ mới sử dụng thấy giá hợp lí và chất rất ok k biết lâu dài thì s Hơi thổi ra mát lạnh chứ k bị nóng","2","5"
"Quạt đẹp có đèn ngủ, có xoay và gió thương đối mạnh","2","5"
