"data","label","num_stars"
"Quạt dùng tốt mạnh dễ lau chùi","2","5"
"Quạt êm tốt","2","5"
"Mới dùng vài ngày thấy cũng được, cũng khỏe nhưng không khỏe như tưởng tượng. Cứ nghĩ quạt 80W sẽ khỏe hơn như thế, nhưng nói chung là dùng ổn, hi vọng là nó sẽ bền dùng được tầm 10 năm","2","4"
"Quạt rất mạnh và mát, ổn, nên mua","2","4"
"Rất hài lòng, đã mua thêm 1 cái cho người thân","2","5"
"Quạt rất mạnh và tốt.Thank","2","5"
"Giá cả phù hợp quạt sd rất im chất lượng thì khỏi phải nói","2","5"
"Dòng quạt này rất mạnh , bền , chất lượng .","2","5"
"Cuộn dây màu nóng","2","4"
"Quạt êm gió mạnh","2","5"
"Quạt mạnh , êm mat","2","5"
"Quạt rất mát. Tiết kiệm điện","2","5"
"Quạt mạnh, dễ xài và cứng cáp","2","5"
"Sản phẩm tốt, nhân viên nhiệt tình.","2","5"
"Quạt rất mạnh, mát rộng, xa","2","5"
"Hàng đẹp và mạnh","2","5"
"Quạt cho làn gió mát tự nhiên và 3 chế độ rất ok","2","4"
"Quạt mạnh, gió nhiều","2","5"
"Giao hàng nguyên đai nguyên kiện. Cái loại quạt này có cái đặc biệt là cái lồng quạt tháo ra rất dễ dàng và lắp lại cũng ok luôn.","2","5"
"Quạt máy rất mát và tốc độ mạnh","2","5"
"Quạt mát chạy êm","2","5"
"Quạt rất ồn và kêu, nhựa không chắc chắn, không xứng trong tầm giá","0","2"
"Quạt chạy êm ,rất mát","2","4"
"Quạt mạnh quạt rất mát","2","4"
"Chạy êm gió mạnh","2","4"
"Cần tư vấn mới 5 ngày đã hỏng không quay được","1","3"
"Quạt rất mát mẻ","2","5"
"Giá rẻ, công suất cao, đã mua nhiều lần","2","5"
"Quạt cũng OK . Nhưng mới giao hàng đầu quạt lổng quá . Vào DMX thì bên nhân viên nói là . Nếu nó lổng đầu may quạt thì bên em ko bảo hành dc . Vào zalo nt nói về vấn đời này thì nhân viên im re . Kiểu như bán xong ko có trách nhiệm . Đinh mua thêm kiểu này thì byee lun","0","2"
"Cảm ơn vì sản phẩm tốt","2","4"
"Giao nhanh. Nv thân thiện nhiệt tình. Sản phẩm tốt, quạt 80W nên rất mát.","2","5"
"quạt chạy êm.mát","2","5"
"Quạt êm, rất mạnh và mát","2","5"
"Mát tét nách","2","5"
"Quạt tốt, rất mát.","2","5"
"Quạt mạnh mẽ, vững chắc, xách đi tiện lợi.","2","5"
"Tot chay rat em","2","5"
"Quạt dùng máy chạy êm","2","5"
"Tôi cảm thấy sài tốt","2","4"
"Thái độ nv bán hàng hơi kém","1","3"
"Quạt chạy êm.","2","5"
"Quạt TỐT nhưng nhân viên ĐMX cần tư vấn cho khách hàng Quạt công suất lớn nên tiếng gió to phù hợp với các khu vực công cộng hoặc trong phòng rộng rãi của nhà. NẾU MUA BỎ PHÒNG NGỦ ĐỌC SÁCH NGHỈ NGƠI THÌ KHÔNG PHÙ HỢP.","1","3"
"Ko có ảnh nhưng sau tg sử dụng ban đầu đánh giá rất tốt giá tốt . Tiếp tục mua hàng ĐMX TGDđ","2","5"
"Quạt này dùng hết chê","2","5"
"Quạt 80Watt thổi muốn bay luônSẽ giới thiệu bạn bè.","2","5"
"Quạt mát hơn quạt cây mình thường dùng","2","5"
"Quạt chạy mạnh giá rẻ ạ","2","5"
