"data","label","num_stars"
"Quạt chạy rất êm ái","2","4"
"Nút nhấn lung lay không chắc chắn.Chế độ im lặng nhưng kêu to.","0","1"
"Sản phẩm sử dụng tốt","2","5"
"quạt mát mà êm.","2","5"
"Sản phẩm rất tốt","2","5"
"Mới dùng đã mờ chữ ở nút bấm, dùng một thời gian hư luôn nút. Độ mát hơi yếu","0","1"
"Dùng tốt mỗi tội không có chỗ xách tay","2","4"
"Quạt xinh , mát , bền","2","5"
"nghỉ làm sao tụi tôi đi làm từ sáng tới tối mới về mà NV giao hàng bảo là CẦN PHẢI XÁC NHẬN ĐƠN, NÊN PHẢI GIAO NGAY BÂY GIỜ, NGÀY NÀO CŨNG ĐI LÀM HẾT HẢ, VẬY LỰA NGÀY NÀO Ở NHÀ ĐI RỒI GIAOTRONG KHI TÔI CÓ NOTE ĐƠN ĐẦY ĐỦ LÀ GIAO SAU 17H, ĐMX LÀM VIỆC LẦN NÀY TÔI VÔ CÙNG THẤT VỌNG, ĐI MUA HÀNG MÀ PHẢI NGHE NV GIAO HÀNG THÁI ĐỘ NHƯ VẬY À, TRONG KHI NGƯỜI NHÀ TÔI LẠI LÀ NGƯỜI PHẢI NGHE NHỮNG LỜI THÁI ĐỘ ĐÓ, MUA HÀNG ĐỂ PHỤC VỤ GIA ĐÌNH MÀ CÒN BỊ THÁI ĐỘ. LẦN NÀY THÔI CHẲNG CÓ LẦN SAU.","0","1"
"Bất mã với giá cả ĐMX. Tối mua hệ thống báo lỗi khong cho mua. Sáng nay mua thì tăng giá từ 1.190.000 đ lên 1.490.000đ. Gọi điện thì nói hệ thống Set giá. Sao không ẩn giá luôn trong khi điểm set giá . Sẽ trước 20h00 gọi điện lại. Đang xin ý kiến. Kkkk","0","1"
"Đẹp và đung thích lắm.","2","5"
"Quạt dùng rất thích","2","5"
"Thái độ phục vụ của nhân viên tốt, sẽ review thêm sau khi sử dụng thời gian","2","4"
"Quạt hơi hao điện","2","4"
"Sau 1 tuần sử dụng lốc máy bị rè, nghe rất khó chịu nha","2","4"
"Quạt dùng điều khiển chập chờn ko nhạy bấm nhiều lúc ko nhận","1","3"
"quạt chạy êm, mẫu mã đẹp","2","4"
