"data","label","num_stars"
"A ơi quạt dùng tốt mà cái điều khiển thật bất tiện á bấm là nó tắt tivi ngủ tắt nó bật tivi ôi rắc rối","2","4"
"Mua dùng được 1 thời gian rồi, cảm nhận quạt rất đáng mua, đặc biệt cực hữu ích với người bị viêm mũi dị ứng như tôi. Quạt có 26 tốc độ gió, tốc độ thấp nhất là gió hiu hiu thoảng nhẹ rất êm ái. Quạt có thêm điều khiển cũng rất tiện. Kiểu dáng quạt sang xịn, có 9 cánh nên quạt ko có tiếng ồn và quay mạnh vù vù như quạt điện cơ 91 đâu","2","5"
"Quạt chạy 12 tiếng tự động tắt. trời nóng mà gặp đang ngủ ngày nào cũng phải thức dậy bật lại. remote thì phải đưa đúng đường thẳng vô cái màn hình quạt mới ăn. không nên mua cực kì bất tiện","0","1"
"mình mới mua máy này mà giờ bị hư máy chạy 3 5 vong là đứng, tắt mở lại điều như vậy, mình muốn bảo hành máy này thì làm thế nào ạ. liên hệ lại giúp minh","2","5"
"Mua hành ở điện máy xanh nhưng lại giao hàng tiết kiệm giao l. Nhờ nv lắp thì nv bảo muốn lắp gọi bên bán. Trước giờ đmx có hệ thống giao hàng rất ok nhưng nay lại nv","0","1"
"Chạy êm, kết hợp với điều hoà là mát","2","4"
"Anh đâu phải tên Á, anh tên Huy mà","2","4"
"Thi thoảng nó tự chuyển đổi số từ bé lên to","2","5"
"Dùng ổn định","2","5"
"Chạy êm, đúng như thông tin kĩ thuật. Tuy nhiên giá đắt hơn số với siêu thị điện máy khác.","2","4"
"Nhân viên hỗ trợ tốt","2","5"
"quạt rất xịn, chạy êm","2","5"
"Điều khiển từ xa mất pin, không biết thay pin loại nào Đmx có bán k","2","4"
"Quạt xài tốt, chạy êm. Điều chỉnh được nhiều mức gió. Mà mỗi lần tắt mở kêu bíp 1 cái hơi khó chịu.","2","5"
"Quạt điện này nhà mình mới mua sao chỉnh sang chế độ swing thì được 2phút là nó tự tắt nhỉ ,nó bị lỗi rồi ,không biết giờ bảo hành ở đâu đây ạ","0","2"
"Quạt rất tốt nhé","2","5"
"Quạt tôi sao đang chạy nó tự động giảm dần về số nhỏ , mình có tăng lên rồi giảm xuống","2","4"
"Mình dùng được 6 tháng thấy thích lắm, gia công chắc chắn, điều khiển từ xa hay bằng tay đều tiện. Thích nhất là những khi cần quạt rất nhẹ như chạy điều hoà hoặc thời tiết không bật quạt thì nóng bật thì lạnh thì chế độ gió nhỏ rất dễ chịu. Êm nữa","2","5"
"Quạt chạy êm","2","5"
"Ốc vặn k khớp phải đổi lại. Nhưng hỗ trợ tốt","2","4"
"Mình sd cùng với máy lạnh, máy chạy êm, mát nhẹ nhàng","2","5"
"Quạt chạy ko nghe tiếng động cơ siêu êm mà sang trọng nữa tuyệt","2","5"
"Quạt chạy rất êm và mát, không ồn","2","5"
"Xài êm lắm nha","2","5"
"Quạt chạy êm. Rất ok. Đợt tới sẽ mua thêm mấy cái nữa.","2","5"
"Quạt xài ok","2","5"
"Mới mua Tháng 3 chạy rất ok, Nhưng tháng 10 đã không quay được. Shop cũng ko bảo hành tận nhà mà phải đem ra cửa hàng mới được bảo hành. Cảm thấy hơi phiền. Chọn mua hàng tốt nhưng trải nghiệm chưa tốt như mong đợi.","1","3"
"Chất lượng tốt nhân viên thân thiện nhiệt tình.","2","5"
"Rất tốt dễ điều chỉnh tốc độ theo ý muốn.","2","5"
"Điều khiển lên xuống không chắc nên khi nâng quạt di chuyển bị tuột rớt xuống .","2","4"
"Quạt chạy êm, mẫu mã đẹp","2","4"
"Quạt khá ổn nhưng remote xài không được bao lâu thì bị hư, liên hệ hỗ trợ thì bắt phải mang cả quạt và remote ra??! Mình báo chỉ mang remote được không thì bên chăm sóc khách hàng không chịu và trả lời cực kì vô lí!","0","2"
"Quạt rất mát","2","5"
"Quạt êm, đang sài tốt","2","5"
"Hài lòng, đã tim hiểu rất nhiều để lựa chọn sản phẩm phù hợp.","2","4"
"quạt êm, tốt, mùa nóng quạt mát không có hơi nóng, máy điều khiển từ xa khá tiện lợi","2","5"
"Chạy êm. Giá tốt.","2","5"
"Bình thường","1","3"
"Quạt chạy êm, nhiều chế độ gió với nhiều mức độ, rất tiện lợi. Đế quạt nặng, đứng vu","2","5"
"Quạt lúc mở lên nó bị loạn cánh quạt, nó quay tới quay lui kêu kẹt kẹt mà không chạy, phải tắt mở lại mấy lần nó mới chạy vì nếu để cánh quạt kêu kẹt kẹt như vậy mình sợ nó bốc khói hư nguồn nên không dám để như vậy mà phải tắt mở lại mấy lần.","0","2"
"Quạt có set giờ mở và giờ tăt nên khó dùng.","0","1"
"Chưa được như kỳ vọng","1","3"
"Quạt có tốc độ gió rất yếu! Chạy ở tốc độ lớn nhất ( 26) vẫn không mát! Khi chạy tiếng ồn lớn! Tôi hối hận khi mua sản phẩm này,vả lại tư vấn của hệ thống cũng không thiết thực !","0","2"
"Sp tốt, chạy êm","2","4"
"Vẫn cái điều khiển quạt này. Thực sự muốn vứt mẹ nó đi. Toshiba một hãng điện tử nổi tiếng mà làm cái điều khiển quạt không ra hồn. Từ ngày 4/2/2023 đến 23/3/2023 mua hết 100 nghìn tiền pin và 19 ngày đi bảo hành cái điều khiển.","0","1"
"Quạt êm, kiểu sang trọng.","2","4"
"Quạt chạy êm, tốt!","2","4"
"Mới dùng 1 tuần thì cảm giác rất tốt, còn độ bền phải chờ thời gian rồi mới biết.","2","5"
"Quạt chạy êm","2","5"
"sử dụng tốt, tiết kiệm điện, nhân viên nhiệt tình","2","5"
"Quạt đẹp, chạy tốt. Điện máy xanh phục vụ rất tốt và chuyên nghiệp","2","5"
"Ok gió nhẹ dễ điều khiển","2","5"
"Phục vụ nhiệt tình, có lỗi thay ngay cho mình cái khác, sẽ giới thiệu cho người thân xài.","2","5"
"Rất êm và mát xa","2","5"
"Ra store mua mà nhân viên k nói gì đến mua online được khuyến mãi???","0","1"
"Quạt dùng êm ái rất tốt","2","4"
"Quạt rất êm","2","5"
