"data","label","num_stars"
"Quạt này có cái lồng rất nặng, nên khi để chế độ swim thì hệ thống bánh răng bên trong của bộ chuyển hướng bị trượt kêu cạch cạch, nếu khu vực yên tĩnh sẽ rất khó chịu. Tôi đi đổi cái khác tình trạng cũng tương tự. Để đứng im thì rất êm vì bộ lồng quạt nặng, cứng cáp nên sẽ ko có tiến động.","1","3"
"BÂY GIỜ MUA TẠI CỬA HÀNG THÌ GIÁ BAO NHIÊU.","2","4"
"Mình mới mua được mấy thángMà điều khiển remote k điều khiển được khoảng cách xaChỉ khoảng 2 đến 3mKhông biết được hỗ trợ đổi k","1","3"
"Quạt kêu to k ngủ dc, k mát lắm. Nhà mới nên mua 1 lần 7 cái, giờ k biết làm sao","0","2"
"quạt dở tệ quay ồn, lỗi động cơ quay to","0","1"
"Quạt thì dùng ổn nhưng ĐMX lắp đặt ẩu quá. Mới dùng chưa tới 1 tuần đã rớt ra may là không trúng ai. Gọi liên hệ hỗ trợ thì không thấy qua.","0","1"
"Quạt qua te kêu to kh dang tien moi nguoi Len cân nhắc khi mua sp nay","0","1"
"Quạt sử dụng tốt. Đã mua 2c ạ","2","4"
"Quạt kêu to k ngủ nổi, đau cả đầu","0","2"
"Mua về quạt có kêu nhẹ khi quay. Nhân viên nhiệt tình đổi cho cây quạt mới, nó vẫn kêu, mà kêu to hơn. Ý kiến cá nhân tui thì linh kiện thì của Nhật , mà lắp ráp thì ở Trung Quốc. Dùng tạm thôi chứ ko tốt hơn của thái. Giờ ngại đổi cây thứ 3","1","3"
"Quạt chắc chắn hoàn thiện tốt. Có điều khiển lên rất tiện. Mỗi tội giao hàng muộn quá lên mình phải tự lắp đặt.","2","4"
"Quà dùng tốt, công suất mạnh. Vẫn chưa hiểu lắm chế độ gió sleep, và nature. Chỉ dùng nornal.","2","5"
"Bữa sao thấy kêu kẹt kẹt","1","3"
"Quạt kêu to tiếng động cơ cần hỗ trợ","0","1"
"Mua về để yên quạt một chỗ thì bình thường đến khi bấm cho quay qua quay lại thì phát ra tiếng kêu cụp mỗi lần quay. mong bộ phận bảo hành hổ trợ khắc phục giúp","1","3"
"Quạt xài rất ok. Đúng tiền nào của đó","2","5"
"Quạt dùng tốt vì là hàng chính hãng Toshiba.","2","5"
"Chất liệu chắc chắn, độ hoàn thiện tốt, motor bạc thau khi quay có tiếng hú của cánh, độ bền thì cần sử dụng, so với mítubishi thì gió không sâu bằng Nói chung hài lòng với mức giá hơn 1tr đồng","2","4"
"Điều khiển từ xa tệ kinh khủng muốn dí luôn vô quạt mới nhận tín hiệu mã f wsa20","1","3"
"tốt, nên mua","2","4"
"Sản phẩm rất phù hợp với các không gian phòng hẹp","2","5"
"san pham ok tot","2","4"
"Quạt rất ok, chất lượng","2","5"
"thấy người nhà báo lại ko đủ mát, ko biết tại trời nóng quá hay sao, mà thấy ko okie lắm","1","3"
"Mới về Sài mà rô mót bấm ko được","0","2"
"Quạt chạy nhẹ và êm, k gây cảm giác ngộp khó chịu","2","5"
"Quạt mát, êm ái","2","4"
"Quạt tốt nhưng hơi ồn","2","5"
"Gắn cái quạt được 23 tuần, xoay kêu lắc rắc, 1 đổi 1 đến lần thứ 3, chạy được 1 tuần lại kêu tiếp. Quá chán nản. Chắc sẽ ko bao giờ mua đồ của Điện Máy Xanh nữa.","0","1"
"Hàng dùng chất lượng trong giá tiền. Sẽ mua lần sau","2","4"
"Lồng quạt không bẻ cúp xuống 90 được như các quạt của Việt NamChế độ gió tự nhiên quá trình tăng giảm tốc tạo ra tiếng rít gió cảm giác hơi khó chịu, nên ai có nhu cầu sử dụng chế độ này nên trải nghiệm thực tế trước khi mua.","1","3"
"Mát, ổn áp...có điều đầu ngẩng cao quá...mát ko tới","2","5"
"Mở đồ thay pin ra như thế nào","1","3"
"Quạt chạy ổn cám ơn cửa hàng đmx","2","5"
"Quạt kêu rất to, dùng phòng ngủ không ổn. Mình mua chiếc quạt đứng thì êm nên lấy cái treo tường này mà khác hẳn. Tính đổi lại mà bị trừ 20% nên lắp ra ban công vậy.","0","2"
"Quạt chạy êm, nhân viên lắp ráp nhiệt tình nhưng giao hàng hơi lâu , đặt hàng đến 9 ngày mới có .","2","4"
"Sp rất tốt quạt êm toshiba thì khá tin tưởng chất lượng","2","5"
"Quat mới dùng đươc hơn một tháng kêu như máy cày đưa bảo hành hết ba tuần về chạy đươc mấy hôm lại kêu như cũ zơ không biết đưa ra đmx xứ lý thể nào .. Mua mắc tiền mà wuat zơm","0","1"
"Xài OK mạnh lắm nhưng sao nó ồn quá ồn hơn cả quạt Asia việt nam","2","5"
"Quạt rất êm. Sử dụng quạt khi ngủ không nghe tiếng ồn. Rất đáng để mua","2","5"
"Quạt chạy rất ok","2","5"
"Tốt nha. Mà ai cần êm ko nghe tiếng gì thì con này vẫn có tiếng quạt kêu nhưng ko khó chịu. Bù lại rất mạnh","2","5"
"Quạt chạy tốt","2","5"
"Mình thấy quạt 55W nghĩ là sẽ mát dù giá cao hơn một số loại khác nhưng thấy hãng uy tín nên quyết định mua. Nhưng mua về quạt thấy nó rất ồn quạt chạy mức thấp nhất mà nghe ù ù rồi cảm thấy không xứng đáng với giá tiền.","0","2"
"Quạt hơi yếu so với nhu cầu sử dụng","2","5"
"Quạt dùng ok lắm","2","5"
"Chạy mạnh và Êm ái","2","5"
"Sản phẩm rất tốt","2","5"
"Quạt đẹp chạy êm. Nhìn xịn sò. Chỉ có điều k có nút tắt trực tiếpphải bật 4 lần mới tắt đc","2","4"
"Mẫu đẹp vừa tiền chạy êm còn bền hay ko thì chờ thời gian sử dụng","2","4"
"Kêu cạch cạch khi đảo hướng","0","2"
"Quạt kêu két két mới mua được 1 ngày kêu ko ngủ được đề nghị đổi cái khác","0","2"
"Máy chắc chắn, gió mạnh, bật nấc cao thì hơi kêu to. Nút speed và power là chung nhau nên tắt phải nhấn 3 lần, hơi bất tiện chút. Phù hợp Vs phòng nhỏ","2","4"
"Gió quạt ít mát","1","3"
"Quạt gió không mát, yêu cầu kiểm tra","0","2"
"Nhân viên lắp ok . Đồ dùng ok","2","5"
"nhân viên ko có đồ nghề lắp ráp","1","3"
"Sp chất lượng tốt...","2","5"
"Quạt êm, mát","2","5"
"Quạt chạy êm tốt","2","5"
"Quạt sử dụng tốt, êm và nhiều gió","2","5"
