"data","label","num_stars"
"Thời gian đầu ổn.sau rất tệ,kêu ò ò phải bật số cao nhất cho vòng quanh nhanh mới hết ,bật quay đi quay lại tạch tạch suốt.không hiểu động cơ hay cánh bị.","0","2"
"Hư remote, liên hệ đmx 2 tháng không thấy phản hồi. Bảo nào có báo rồi im luôn. Lúc lh thì kiu lên sàn tmđt mua mà có ai bán loại này đâu mà mua","0","2"
"Tiếp tục chuyên mục phốt của cái quạt này. Cập nhật với mọi người là cái remote hãng vẫn không có, kêu khách lên mạng kiếm. Mình đã bỏ quạt đó lâu lâu dùng bật chơi thôi nhưng tháng trước nó lăn đùng ra hú, cắm phích điện là kêu o o, bật nút nào cũng kêu. Và lạ hơn nữa là có số điện thoại kêu là của điện máy xanh nhờ mình đồng ý để ẩn bình luận trước đó. Không nha các bạn, mình sẽ để đó để cảnh báo MN về chiếc quạt cũng như dịch vụ sau bán hàng, sửa chữa của cái hãng này. Các bạn cân nhắc trước khi mua nhé.","0","1"
"quạt chạy êm. mua hàng cũ mà còn mới tận 99% quá lời","2","5"
"Quạt bật swing bị kêu tạch tạch suốt đêm. Chưa có tjna mang đi sửa. Hàng mới mà rất tụt mood","0","2"
"Xưa giờ mới mua được cái quạt ưng ý như vậy. Quạt mạnh rất êm.","2","5"
"Thương hiệu mới lạ, cũng phân vân lúc mua. Tuy nhiên, sử dụng được vài tháng thì hài lòng. Quạt êm và mát mẻ. Đáng tiền","2","5"
"Ổn áp, quạt êm nhẹ","2","4"
"Thuận tiện, giá phù hợp, chăm sóc khách hàng tốt.","2","4"
"Mình đã mua mẫu này. Ban đầu xài ổn. Nhưng về sau nghe tiếng kêu rất khó chịu. Có thể liên hệ bảo hành giúp mình được không?","1","3"
"Hài lòng. Quạt để trong phòng phù hop","2","4"
"Sử dụng tốt. Chạy êm","2","4"
"Bình thường","2","4"
"Êm hơn nhiều so với quạt Asia","2","5"
"Quạt hoạt động tốt","2","5"
"Đúng giờ, đúng việc","2","5"
"Quat chạy êm gió nhiều hiện tại theo cảm nhận thấy tốt","2","4"
"Rất êm, nên mua","2","5"
"Rất tốt, quạt êm, sử dụng cái thứ hai","2","5"
"Khi quay có tiếng cọt kẹt, quạt khá yếu. Mua buổi tối xong, sáng đem đổi qua quạt Lifan rẻ hơn mà tốt mạnh và êm hơn. Được cái khi đổi được trả lại tiền chênh lệch mà k mất phí.","1","3"
"Ok đẹp tốt đó","2","5"
"Rất hài lòng","2","5"
"Mua chưa dc 1 tháng thì quạt hư ko quay qua quay lại dc. Gọi điện bh thì kêu mang ra cửa hàng gần nhất, ko hỗ trợ bh tại nhà. Rất bất tiện, tốn thời gian. Sản phẩm ko tốt, của hangg nên bán hàng chất lượng tốt hơn","0","1"
"Quạt rất ok, thích chất lượng phục vụ của điện máy xanh, rất chuyên nghiệp, vui vẻ","2","5"
"Quạt chạy êm, phục vụ tốt","2","4"
"Quạt chạy êm, mát,khá đẹp, điều khiển nhạy, mua đợt sinh nhật DMX được giảm gần 50%, nên giá ưu đãi khá rẻ. nhân viên nhiệt tình.","2","5"
"Tốt trong tầm giá","2","5"
"Ok quạt hình thức đẹp, chạy êm.","2","5"
"Quạt nhẹ và gọn. Hoạt động êm. Nhưng tốc độ ko được mạnh. Phù hợp cho phòng ngủ. Độ bền phải đợi xài 1 thời gian mới biết.","1","3"
