"data","label","num_stars"
"Quạt bị gãy giá treo quạt mình ghé shop mua mới được k ạ","2","4"
"Hiện tại đang dùng rất tốt","2","5"
"Mình Mua hàng trưng bày . Quạt lỗi k đảo gió dc bảo hành nhu thế nào ạ.","1","3"
"Quạt mát nhưng cảm giác quay không hết vòng hoặc do góc quay hẹp","2","4"
"Quạt rất khó lắp cái lồng quạt, ai thiết kế cái quạt này","1","3"
"Quạt mới sao cánh quạt kêu to quá ạ","1","3"
"Ok êm gió đều","2","5"
"Vừa hết bảo hành đã không quay nữa, quạt ồn, tiếng máy vọng vào tường rất to.","0","1"
"Dịch vụ bên đây khỏi phải trình bài","2","5"
"Quạt xài tốt nhé cả nhà","2","4"
"Rất tốt,nhưng gió ko mạnh bằng senko","2","5"
"Quạt ổn , hơi yếu","1","3"
"Quat xài tốt , em giao hàng nhiêt tình dễ thương","2","5"
"Quạt mát đều, khá êm. Giá phù hợp","2","4"
"Quạt dùng tốt , nhân viên lắp đặt nhiệt tình","2","5"
"Quạt kêu tohiện trời đang mát nên quạt xài okeSau trời nóng chắc quạt ko ổn lắmMức gió to nhất thì cũng mát mát thôiCái cục còn nó kêu to quá nên tự tháo ra đở kêu","2","4"
"Hoạt động ok","2","5"
"Sản phẩm tốt mọi người nên mua nha","2","4"
"Quat chay không êm, lúc mới bật thì tạm ổn, mấy tiếng sau thì nghe ồn qúa, phải tắt đi, đoi may tieng sau mở lai","0","2"
"Sản phẩm tốt","2","4"
"Quạt yếu lắm lồng quạt khó tháo ráp nhìn đẹp chứ xài cùi hơn quạt mua ở tiệm điện lần đầu tiên mình chê hàng của điện máy xanh","0","2"
"Quạt chạy mạnh mát nhg tiếng ồn to ko ddc êm ái như những dòng quạt khác .","1","3"
"Dùng rất tốt ạ.","2","5"
"GỌN TIẾT KIỆM KHÔNG GIAN 5 CÁNH QUẠT TẠO GIÓ MÁT.","2","5"
"Mức gió quá tệ. Mức gió lớn nhất chỉ bằng mức 2 của những loại quạt khác","0","1"
"Quạt tốt, chạy êm","2","4"
"Sản phẩm tốt","2","5"
"Quạt xài ổn lắm ạ","2","5"
"Ít gió hơn loại 3 cánh. Quạt mỏng manh","1","3"
"Quạt chạy êm, gió mát, kiểu đẹp, nhìn sang góc bếp ghê nha","2","5"
"quạt quay hơi yếu","1","3"
"Quạt chạy êm, rất mát.","2","4"
"Quạt chạy êm. Tuy nhiên không mát bằng quạt khác","2","4"
"Xài thấy ok","2","5"
"Bình thường","2","4"
"Quạt chạy êm, mát. Hài lòng về sản phẩm, giá cả và dv giao hàng của DMX.","2","5"
"Nhân viên hơi kém","1","3"
"Quạt gió mát tản đều. Khá êm ái. Nhân viên thân thiện, siêu nhiệt tình. Nên mua nha bà con.","2","5"
"Binh thuong","1","3"
"Quạt quay vẫn nghe hơi kêu","1","3"
"Sản phẩm tốt mạnh gió","2","4"
"Rất hài lòng về sản phẩm tôi rất thích mua hàng của điện máy xanh","2","5"
"Quạt chạy tốt giá lại rẻ","2","5"
"quạt dùng ổn áp, khoẻ, nv nhiệt tình sẽ ủng hộ tiếp nha","2","5"
"Động cơ yếu. Thái độ phục vụ tốt nhưng kỹ năng tư vấn sản phẩm ko chu đáo","0","2"
"Quạt chạy chưa mát lắm","1","3"
"Quạt rất mát Và không kêu to Tiếng kêu chỉ như quạt màn Rất đáng mua","2","4"
"Quạt quay yếu, phần vỏ bọc moto quạt bị kẹt gì đó nên khi quay đảo hướng gió có âm thanh kẹt kẹt rất khó chịu","1","3"
"Quạt tốt nhưng lắp khá cực, dây nối nắp quạt lắp khá mất thời gian","2","4"
"Sản phẩm tốt","2","4"
"Máy của quạt kêu hơi to","2","4"
"Giao hàng nhanh đúng thời gian hẹn. Sản phẩm hiện tại đang dùng rất OK. Sẽ ủng hộ tiếp.","2","4"
"Quạt chạy êm, không gây tiếng ồn, nhưng gió hơi nhẹ.","2","5"
"Quạt k mát..rè","0","2"
"quạt mạnh, rất mát sẽ ủng hộ lần sau","2","5"
"Quạt mát . Êm","2","5"
"Hàng tốt, gió mềm, bật số lớn nhất mới nghe tiếng quạt","2","5"
"Quạt chạy êm và không bị nóng khi bật liên tục","2","5"
"Nhân viên nhiệt tình","2","4"
"Nói chung sản phẩm chọn phù hợp phân khúc","2","4"
"Chạy êm nhưng ko có nhiều gió.","1","3"
"Sản phẩm tốt","2","5"
"Quạt sử dụng rất ok","2","4"
"Nhân viên phục vụ tận tình, vui vẻ.","2","5"
"Quạt quá tệ,thiết kế không thông minh","0","1"
"hàng chuẩn nhìn rất ưng ý. về chất lượng thì thời gian dài mới biết.trước mắt thấy rất vừa bụng. vì mua lúc khuến mãi nên cũng rẻ.","2","4"
"Chưa đạt theo kỳ vong với số tiền bỏ ra","0","2"
"Quạt mạnh êm.","2","4"
"Thiết kế đẹp. Giá rẻ. Quạt tốt","2","5"
"Quạt mua dc giảm 50 % giá tiền. Chạy êm nhưng có chút nhược điểm hơi yếu gió xíu","2","4"
"Hơi yếu so với dự tính :((","2","4"
"Bình thường","1","3"
"quạt chạy êm chưa kiểm nghiệm độ bền thời gian chạy mô tơ có nóng hay ko chưa biên tập được nếu chỉ ấm với nh độ cho phép thí đạt tiêu chuẩn tốt","2","4"
"quạt chạy êm không gây tiếng ồn chất lượng tốt","2","5"
"Chất lượng tốt","2","5"
"Tiếng quạt hơi ồn","1","3"
"Sản phẩm sd tốt","2","4"
"quạt dùng tốt ạ","2","5"
"Chạy ổn định","2","4"
"Quạt hơi yếu. nếu được đổi qua quạt công suất lớn hơn thì báo giúp mình nha. Cảm ơn.","1","3"
"Dùng tốt, máy êm","2","5"
"Tiếng ồn nhỏ Quạt mạnh Dũng khá ok","2","5"
"Hàng giao nhanh, tư vấn nhiệt tình.","2","4"
"Quạt chất lượng lắm","2","5"
"Êm, nhẹ, tiết kiệm","1","3"
"Quạt rất ok nha","2","5"
"Quạt chạy tốt","2","4"
"Tiếng quạt khi quay qua trái kêu rè rất to","0","2"
"Quạt chay tiếng gió hơi to","2","4"
"Mình thấy Sài tốt","2","4"
