"data","label","num_stars"
"Quat dung ok","2","5"
"Nhân viên nhiệt tình, quạt OK chỉ có điều gió có 3 cấp nên không mạnh lắm","2","4"
"Quạt chạy êm,","2","4"
"Quạt chạy êm","2","5"
"Chạy êm rất tốt, tôi mua cái này là cái thứ hai rồi tại điện máy xanh Phạm văn Đồng","2","5"
"Quạt êm, mát, tiện lợi. Chưa thấy có gì bất ổn.","2","5"
"Đã mua tới cây số 3 rồi . Quạt rất tốt đáng mua","2","5"
"Tiền nào của đó, 3 mức tốc độ phù hợp với người dùng","2","5"
"Khá êm và mạnh","2","5"
"quạt mát, chạy êm","2","5"
"Quat rất tốt","2","5"
"Quạt êm, mát, ok","2","5"
"Mẫu mã đẹp,tốt","2","5"
"Máy chạy êm","2","5"
"Chị k phải tên mỹ","2","5"
"Dùng rất tốt. Thiết kế chắc chắn. Đẹp","2","5"
"Quạt chạy êm hình thức đẹp chắc chắn. Tuy nhiên phần cổ quạt chỉnh ngẩng cụp ko linh hoạt điều khiển xa thiết kế to và khó bấm nút","2","4"
"Quạt chạy êm, tốc độ gió tốt","2","4"
"Quạt mát tiếng êm, giá hơi cao","2","4"
"Tạm thời thấy ok","1","3"
"Dùng rất tốt, máy chạy êm","2","5"
"Chất lượng sản phẩm tốt, độ ồn thấp, tiết kiệm điện Nhân viên tư vấn và lắp ráp nhiệt tình","2","5"
"Mát, nhưng remosst ko nhạy lắm","2","4"
"Sản phẩm tốt, nhân viên láp ráp vui vẻ, nhiệt tình, chu đáo","2","4"
"Quạt nấc 1 nhẹ nhất chạy êm. Nấc 2 -3 mạnh dần có chút ồn tí. Điều khiển cảm giác ko nhạy bén mình ấn nhiều khi thấy khó. Mẫu mã đẹp. Mới dùng ít ngày nên ko rõ độ bền. Giá cả so với quạt treo tường thì ko rẻ. Nói chung hài lòng.","2","4"
"Cần tư vấn chức năng hẹn giờ khi không có điều khiển. Xin cảm ơn","2","4"
"Quạt dùng rất too Ung ý","2","5"
"Quạt êm, hơi đắt nhưng đáng tiền, mình đã mua 2 cái từ khi lên nhà mới đc gần 5 năm thấy tốt nên mua tiếp","2","5"
"Sản phẩm tốt ,nhân viên chăm sóc khách hàng nhiệt tình","2","5"
"Quạt chạy êm","2","4"
"Tôi đã dùng quạt Mitsubishi lâu rồi. Tôi rất ngưỡng mộ.","2","5"
"Rất tốt nhân viên nhiệt tình lắp đặt tốt","2","5"
"Quạt dùng thích","2","4"
"Quạt chạy rất êm","2","5"
"Rất tốt.và đág nên mua","2","5"
"cảm thấy quạt hơi ồn","1","3"
"Khi bán hàng không nói remote hư không bảo hành, đế khi hư rồi mới biết là không được bảo hành.","0","1"
"Quạt thiết kế tiện dụng, chạy êm, số 2,3 tiếng gió hơi to nhưng chấp nhận dc. Giá sale nên cũng ổn, đáng mua","2","4"
"Nhân viên giao hàng rất nhiệt tình lắp đặt cho khách hàng","2","5"
"Quạt Tốt, Cho A góp ý tí nha, Mấy hôm trước a có tới DMX 1085 Đường Phạm Thế Hiển, F5 - Q8 Tphcm, định mua Tivi trưng bày thì Nhân viên + Quản Lý điều Nói Tivi Trưng Bày tất cả không có Rờmót...? Nhờ cấp trên bên ĐMX xem lại nhân viên của mình. Cám ơn.","2","4"
"Tôi rất hài lòng","2","5"
"Quạt chạy êm, phụ kiện thiết kế đẹp","2","5"
"sản phẩm tốt","2","5"
"Quạt chạy êm .gió mạnh .nói chung tốt","2","5"
"Quạt ồn thử không lắp cánh để quạt chạy nhưng vẫn rung kêu è è hình như với số tiền bỏ ra còn phải thêm may mắn mới được cây quạt êm. Nói chung chất lượng không xứng với giá","1","3"
"Khuyển mải ở bhx 3 ngày đả hết hạn đề nghị tăng thêm thời gian","2","4"
"Sản phẩm rất tốt","2","5"
"Quạt chạy êm ái, nên mua khi giảm giá","2","5"
"Săn dc hàng ngon giá tốt. Rất hài lòng nhaaaaaaa","2","5"
"Cảm ứng remote khá yếu, phải bấm vài lần mới nhận","0","2"
"Tôi dùng thấy quạt chạy êm, gió mát đều, tốt","2","4"
"Sản phẩm tốt, phục vụ tốt","2","5"
"Hàng rất tốt","2","5"
"Nhân viên bán hàng chưa tư vấn chu đáo Không hỗ trợ kết nối với nguồn điện mặc dù đã có dây sẵn","0","1"
"Nói chung nhà nào có tiền nên mua , quạt chạy êm ru.","2","5"
"Mình mua 1 quạt dùng được 2 tháng. Bị hỏng. Gọi lên ĐMX thì kêu tự tháo cầm ra Siêu Thị để bảo hành. Mọi người cân nhắc trước khi mua.","0","1"
"Tốt tiền nào của nấy","2","4"
"Bộ điều khiển từ xa không nhạy. Phải đến gần mới điều khiển được","1","3"
"Quạt chạy rất êm","2","5"
"Quạt sử dụng tốt, êm và chạy tốt","2","5"
"Hàng tốt chất lượng.","2","5"
"Quạt chạy êm, gió mạnh, tốt.","2","4"
"Quạt tốt, lắp đặt ok","2","5"
"Quạt thì ok nhưng điều khiển mới xài được 3 bữa đã bị hư rồi","1","3"
"Quạt êm,nhứng quạt hơi châm nên kh mát bằng senko","2","4"
"Quạt quá ok","2","4"
"Tiếng Ồn quá hơi khó chịu","1","3"
"Quạt mitsubishi gia Đinh mua số lượng rất nhiều thời điểm nhiều năm trước sử dụng thấy rất tốt ,êm,nên gia đình sdung là mua sản phẩm nay.. Tôi sẽ giới thiệu sản phẩm này cho nhiều gia đình sdung.","2","5"
"Trước mắt thấy rất tốt, hy vọng ben","2","5"
"Tốt,chạy êm","2","5"
"Quạt nhẹ êm","2","4"
"Nhân viên tổng đài hỗ trợ thông tin và đặt hàng cho khách rất chu đáo, shipper đúng hẹn, lắp đặt cẩn thận. Quạt chạy êm, hy vọng chiếc này sẽ ko trục trặc sau bảo hành , 17/7/22, nhưng tôi chỉ thấy không hài lòng với cái remote vì bấm nó không nhạy như loại Điện cơ, kiểu nút bấm phải ấn mạnh nó mới nhận tín hiệu","2","4"
"Quạt treo ,hình thức & mầu sắc đẹp ,quạt quay rất êm .còn phải có thời gian vận hành xem quạt có bền không ,nhân viên điện máy xanh ,nhiệt tình,chú đáo !","2","4"
"Hàng đẹp...chất lượng tuyệt vời 👍👍 Cảm ơn Điện Máy Xanh","2","5"
