"data","label","num_stars"
"Mua quạt này phải mua cái thang nưa, ai mà thiết kế quạt treo tường treo trên cao mà cái nút bấm quay năm trên nóc, muốn bấm quay phải bắt cái thang mới bấm được, mà sao shop ko tặng cái thang vậy shop ơi","0","1"
"Dịch vụ ĐMX tốt nhưng hãng làm ra quạt này rất thông minh, quạt treo mà ko có dây chuyển trạng thái, phải đứng lên ghế mới làm được.","0","2"
"Quạt ồn phải chạy ra điện máy xanh để đổi. Được đổi cũng OK.","1","3"
"Quat sai rat ok nhe","2","5"
"Tốt cám ơn đmxanh","2","5"
"Quạt treo tường lại ko có dây xoay quạt","1","3"
"Quạt chạy chậm ít gió","1","3"
"quát tốt nha","2","5"
"Hàng sử dụng tốt ạ","2","5"
"Sử dụng rất tốt","2","5"
"lúc khởi động có tiếng kêu to rất khó chịu","1","3"
"Quạt treo tường nhưng không có dây giật quay hoặc đứng, chả nhẽ phải bắc thang lên để chỉnh","0","1"
"Chất lượng thì khỏi bàn rồi rất OK","2","5"
"Quạt mạnh ok đó","2","5"
"Ok, quạt mát êm","2","5"
"Đang dùng thấy OK","2","5"
"Đã mua quá ok trong tầm giá","2","5"
"Chất lượng tốt","2","5"
"Quạt treo tường là treo trên cao thế mà lại không có dây kéo đứng quạtmuốn đứng hay quay thì phải bắt ghé lên ấn hoặc kéo vô lí hết sức cho 1 cái treo tường.","0","1"
"Hay ủng hộ hàng điện tử bên dmx lắm , nhưng lần này mua ngay quạt kêu ẻng ẻng suốt rất khó chịu . 79608842 Mã đơn mình mua 27/2","0","2"
"Quạt êm không ồn mà mạnh nữa.","2","5"
"sản phẩm SENKO dùng rất tốt","2","5"
"Bị lỗi nút chỉnh","2","4"
"Dịch vụ tốt","2","5"
"Quạt êm, dùng tốt, mình thích hãng Senko, bền lắm, nên mua nhé mọi người","2","5"
"Quạt dùng được mà ưng bụng nhất là được anh nhân viên tư vấn rất nhiệt tình","2","5"
"Sản phẩm tốt","2","5"
"Quạt tốt mạnh.","2","5"
"Rất hài lòng","2","5"
"Quạt chạy rất êm. Tốt mọi người nên mua","2","5"
"Quạt kêu to, đã gọi lên tổng đài đmx nhưng chưa được phản hồi","0","2"
"kêu hơi to,nhưng hông sau","1","3"
"Cần thêm day chỉnh quay qua lại cho tiện","2","4"
"Quạt tốt , chạy êm","2","5"
"Quạt xài ổn. Nhân viên hỗ trợ nhiệt tình. Giá hợp lý","2","4"
"Hiện tại thì dùng ok. Mong dùng lâu vẫn tốt như hiện tại","2","4"
"Đang sư dung","2","4"
"Sản phẩm tốt","2","5"
"Sản phẩm chất lượng.","2","5"
"Sản phẩm rất tốt ,, nhân viên rất tốt bụng ak","2","5"
"Quạt mát, giá cả hợp lí","2","4"
"Tôi sẽ giới thiệu cho bạn bè người thân biết đến sp","2","5"
"Quạt không có cái giá bắt để treo lên tường, đề nghị đmx gửi cho tôi phụ kiện để gia đình sử dụng.","0","2"
"Quạt nhẹ k mát","0","2"
"Không có dây giật","0","2"
"Sp tốt,nhân viên nhiệt tình.sp được mua tại","2","5"
"Rất tuyệt vời","2","5"
"Thiếu chức năng","0","2"
"hơi rừng lắc","1","3"
"Bình thường ,k mát lắm","1","3"
"Hợp với giá tiền","2","4"
"San phẩm tốt","2","5"
"Sp ok, nên mua, sp này chỉ có dây chỉnh tốc độ gió","2","5"
"Đóng gói sơ sài, thân quạt,cánh quạt, lồng quạt để lẫn lộn làm va chạm dẫn tới vỏ quạt bị bể, lần sau nên cẩn thận hơn.","0","2"
"Nhân viên giao hàg nhiệt tình.","2","4"
"sp bình thường","1","3"
"Quạt tôi treo ở chỗ ít dùng tới ,nói trung là ổn.","2","4"
"Quat dùng ok","1","3"
"Sử dụng tốt ạ","2","4"
"Quạt hơi yếu","1","3"
"Tốt hiện xài OK ko thấy gì","2","4"
"Sản phẩm giai đến phải tháo ra lắp ráp lại chế độ đảo do dây giật bị lờn, rút kinh nghiệm nhé nv giao hàng sau này giao cho khách trước khi lên đường test ngay kho giúp đỡ tốn thời gian 2 phía","1","3"
"Giá phù hợp. Dùng tốt. Khi mua quên mất là nút điều chỉnh xoay ở trên cao, hơi bất tiện.","2","4"
"Sẽ giới thiệu cho bạn bè","2","5"
"Hiện tại thì ok","2","4"
"Binh thuong","1","3"
"Quạt tiếng hơi ồn nhưng mát lắm","2","5"
"quạt quay tiếng kêu cạch cạch","0","1"
"Chat luong rat tot , may chay em ru . Giao hang nhah","2","5"
"Sản phẩm rất tốt","2","5"
"Quạt lỗi kêu rất to Nhưng dc bảo hành đổi mới nên cũng chấp nhận dc","1","3"
"Tốt trong tầm giá","2","5"
"Quạt gió Sài rất tốt","2","5"
"Quạt tốt, chạy êm","2","4"
"Sản phẩm này rất tốt","2","5"
"sản phẩm sử dụng rất tốt","2","5"
"Quạt tốt giá rẻ bình dân","2","5"
"Quạt kêu to quá ồn gây khó chịu với lại muốn cho Quạt quay phải ấn nút chứ ko phải giật đấy như sản phẩm khác .Thấy mn bình luận êm khỏe mua về kêu khó ngủ","1","3"
"Quạt mạnh muốn bay cái nết","2","5"
"Giá cao hơn sản phẩm cùng loại ngoài thị trường nhiều.","2","4"
"Sản phẩm ok","2","5"
"Kể mà làm dc cái túc năng giật dây thì rất tiện,vì nó là quạt treo tường mỗi lần bật rút túc năng lại phải bắc ghế ,rất ko tiện","1","3"
"Tạm thời hoạt động bình thường chờ theo dõi thêm","1","3"
"Nhân viên bán và giao hàng quá thân thiện","2","5"
"Sp tốt, nhân viên nhiệt tình","2","5"
"Quạt dùng ok, công suất mạnh thấy mát lắm","2","4"
"Chạy mạnh tốt","2","4"
"SẢN PHẨM RẤT TỐT","2","5"
"Sản phẩm tốt giá ok","2","4"
"Dịch vụ nhà bán hàng là 5* Nhưng ông nào nhập mua hàng sp này thông minh thật Quạt treo tường, nhưng chỉ có 1 dây kéo. Mỗi lần muốn chuyển trạng thái đứng/quay thì sao nhỉ?","1","3"
"Máy kêu to Không có dây kéo quay quạt, bắt trên tường phải leo lên bấm nút, quá bất tiện. Thiết kế ngu","0","2"
"Chỉ có 1 dây kéo chỉnh tốc độ , k có dây tốc năng , bất tiện , được cái mạnh vs êm","1","3"
"Nhân viên giao hàng lap rap rất okie. Tuy nhiên Nhân viên bỏ quên Tua vít nha. Vẫn còn giữ khi nào nhan vien qua lấy Minh gửi lại.😀","2","4"
"Hiện tại thì ok","2","4"
"Quạt mát, êm tai.","2","5"
"Sp tạo gió tốt, tuy nhiên tiếng mô tơ hơi ồn","1","3"
"Quạt rung, quá ồn","0","1"
"Quạt mát, thoáng, giải pháp tốt cho phòng nhỏ bí hơi","2","5"
"Quá ok, quạt êm","2","5"
"Quạt xài tốt","2","4"
"Êm và rất mát","2","5"
