"data","label","num_stars"
"Nhân viên hỗ trợ nhiệt tình, hết mình khi giao hàng và lắp đặt hoàn chỉnh luôn, cảm ơn em nhiềuQuạt mát, hi vọng xài bền","2","5"
"Dùng gần được 1 năm tự nhiên quạt không quay. Không biết quạt còn được bảo hành không vậy.","0","2"
"Hồi giờ dùng thương hiệu này, ok","2","5"
"Quạt tốt , bền , đẹp","2","5"
"Máy hoạt động tốt","2","5"
"Xài tốt lắm nha shop","2","5"
"Trong hình có thể thấy, cánh quạt gần như vuông góc với vách tường, có bể cong xuống thì 30s sau cũng ngóc đầu dậy, hình như đây là lỗi chung của toàn bộ quạt treo tường thì phải, rất là bực mình luôn, giống chảo chống dính, chảo to chảo nhỏ gì cũng chung 1 tay cầm, thế là chảo nhỏ bị tay cầm cho nhỏng đầu luôn, giận rung người.","1","3"
"Sử dụng hơn 1 tháng không có gì phải chê, rất tốt nhé. Nên mua.","2","5"
"Quạt êm. Gió mát. Giá cả hợp lý. Nhân viên lắp đặt nhiệt tình chu đáo.","2","5"
"Quạt chạy mát, không ồn","2","5"
"Quạt sử dụng tốt. Hợp giá tiền","2","5"
"Quạt mạnh quá . Ai khó ngủ thì ko nên mua","2","4"
"Quạt rất yếu bảo hành 3 lần vẫn vậy","0","1"
"Rất tốt, quạt chạy êm, mạnh ko như các hãng khác mà giá lại rẻ, Senko mãi đỉnh","2","5"
"Hiện tại xài ok.lực gió mạnh mát..","2","5"
"Mới mua hồi trưa giá gốc. Tối lên coi thì giảm 30k. Hơi buồn tí, nhưng quạt rất êm nhé. Có xài 2 cây loại này 7 năm rồi chưa hư","2","5"
"Quạt mạnh rất mát","2","5"
"Quạt hoạt động ok nhưng cái bass bắt vít của ốp chụp motor bị bể làm mình không bắt vít được","0","1"
"Quạt dùng ổn","2","5"
"Quat xai tot nhân viên thân thiên","2","5"
"Quạt xài ngonđang dùng 2 cây.","2","5"
"Tốt hay không là do người sử dụng riêng tôi thì senko sài rất tốt","2","5"
"Cũng tạm ổn","1","3"
"Máy chạy ok","2","4"
"sản phẩm quạt treo senko tc1626 rất tốt","2","5"
"Quạt không mạnh lắm.","1","3"
"Xài tốt bền nhưng cần có giá mềm hơn","2","5"
"Sản phẩm chất lượng","2","5"
"Quạt mạnh, êm, giá tốt","2","5"
"Quạt êm. Thiết kế đẹp. Nhân viên tổng đài và giao hàng của điện máy xanh khỏi chê. 5*. Đặc biệt em nhân viên giao hàng tận tình lắp đặt cho khách. Mọi người hãy ủng hộ điện máy xanh","2","5"
"Quạt rất mát, chạy êm. Quạt thiết kế đẹp, nhân viên nhiệt tình, vui vẻ. Sản phẩm rất đáng mua.","2","5"
"Quạt khá là êm với mạnh nữa","2","5"
"Ok nhé. Màu sắc nhã nhặn. Quạt mạnh 3 tốc độ tốt. Tôi mang thai tháng thứ 6, chuyển nhà nên cần mua quạt, tôi mua ở ngoài tạp hoá về hì hục bắt vít nhưng ko vừa ý nên mang trả. Sau đó đặt Điện máy xanh, ship và bắt tận nơi mà sản phẩm đẹp và sau sale rẻ hơn tôi mua tiệm tạp hoá. Tôi rất hài lòng","2","5"
"Giá rẻ, chất lượng. Nhân viên giao hàng gắn giúp quạt nhiệt tình. Cho 5 ☆☆☆☆☆","2","5"
"Quạt chạy êm. giá có thể rẻ hơn nữa thì quá tốt","2","4"
"Quạt chạy mát êm","2","5"
"Dây giật tốc độ rất cứng","0","2"
"Quạt dùng tốt. Mình đã mua 2 cái","2","4"
"Quạt khỏe. Chạy êm","2","5"
"Tiện lợi ở nhà đặt hàng khỏi ra cửa hàng giao tận nơi 😝","2","5"
