"data","label","num_stars"
"Chạy êm, mạnh. Cứng cáp.","2","5"
"Tại sao quạt lại k thể điều chỉnh xuống thấp được . Có ai hỗ trợ giúp mình được không. Mình mới mua hôm nay 3/7/24","1","3"
"Máy quạt khá ồn","1","3"
"Quạt lắp lên trông đẹp chạy im lượng gió lớn cảm ơn điện máy xanh","2","5"
"Sản phẩm phù hợp với giá tiền, mọi người nên mua...","2","5"
"Quat chay êm toshiba thì yên tâm sd","2","5"
"Quạt hơi ồn Mình thích nó phải êm, tĩnh lặng.","1","3"
"Hiện tại quạt chạy êm gió mát dễ chịu","2","4"
"Quạt số 3 bị ồn quá","1","3"
"Quạt chạy êm lắm !","2","4"
"Tốt cám ơn các bạn","2","4"
"Giá hơi cao","2","4"
"Quạt mạnh và êm","2","4"
"Quạt treo Toshiba chạy ổn nhưng vẫn ồn ở đảo túp năng","2","4"
"Máy tốt nhân viên nhiệt tình.","2","5"
"Quạt rất tốt, chạy êm, nhưng hơi thất vọng vì góc quạt chỉnh nhỏ xuống ko đc, mới mua hôm 7/2/2023, giờ ko biết còn đổi con khác được ko nữa","2","4"
"Quạt mua xài 2 tháng êm, mát, máy cảm thấy chắc chắn.","2","4"
"Sài ổn, chưa biết độ bền thế nào","2","5"
"Quạt không được êm, hơi kêu","1","3"
"Sản phẩm tốt, nhân viên giao hàng thân thiện","2","4"
"Quat dung tot.hinh thuc đẹp","2","4"
"Sp sử dụng tốt","2","4"
"Sản phẩm tốt, nhân viên nhiệt tình, bảo vệ cũng rất nhiệt tình","2","5"
