"data","label","num_stars"
"sự dụng gần 1 năm thấy khá ok.tb 1.5 số điện cung hợp lý. hơp lý trong tầm tiền","2","5"
"Tôi cũng mới mua tủ Toshiba 474 lít hồi cuối tháng 11 nam 2024 được vài ngày đầu tủ phát ra tiếng kêu chói tai khi máy chạy gọi 3 lần cả thợ bên Đmx và bên hãng xuống kiểm tra cứ bảo là k sao máy to dòng nào cũng kêu như vậy giờ mới chua được 6 tháng thì tủ chết máy hôm 17 tháng 4 nam 2025 tôi có gọi nhung hãng cũng chỉ hẹn mà k xuống bảo hành cho tôi đến hôm nay là 23 tháng 4 nam 2025 một tuần dồi tôi gọi liên tục lên hãng và điện máy xanh chỉ nhận được câu thông cảm dồi lại hẹn ngày khác . Thật sự tôi thấy ĐMX và hãng Toshipa quá kém làm ăn không uy tín .Giò phút này tôi quá thất vọng họ nói mà làm không chuẩn","0","1"
"Tủ vận hành êm làm lạnh nhanh nhưng 2 bên hong tủ tỏ nhiệt rất nóng chạm vào muốn phỏng tay","1","3"
"Mình mua tủ này tại ĐMX được 32 ngày thì tủ bắt đầu có tiếng kêu lạ, nhỏ và không thường xuyên. Sau 5 tháng thì tủ kêu to như đàn gà, kêu ngày kêu đêm. Nhân viên đến bảo hành bảo do điện nhà khách không ổn định và kết cấu của tủ là kêu như vậy . Nếu còn gọi bảo hành nữa thì sẽ thu phí . Sợ luôn","0","1"
"Bị đóng lớp tuyết nhẹ","0","1"
"Tổng đài xử lý bảo hành rất tệ, mua máy 10 ngày thì lỗi bản lề. Sau khi yêu cầu bảo hành thì 3 ngày sau vẫn chưa có nhân viên bảo hành liên hệ. Đến khi mình bực và liên hệ trực tiếp tới nhân viên cửa hàng thì mới xử lý nhân viên cửa hàng xử lý tốt. Lần cuối giao dịch nhé.","0","2"
"Mình mới mua hôm qua, tạm thời dùng ổn và êm. Anh em khi ra ĐMX mua lưu ý, nhân viên ĐMX hay mời chào mn mua con này, dù có nhiều hãng khác giá tốt hơn và tiện ích tương tự. Mọi người nên tham khảo các tủ lạnh ở nhà trước, lúc ra là mua luôn, tránh bị mời chào sang hãng khác. Mình mua con này vì thấy cũng có thương hiệu, và tiện ích ổn. Còn giá này mn vẫn chọn tủ hãng khác tốt + tiết kiệm điện hơn đc nhé.","2","4"
"Tủ lạnh nhanh mỗi tội tốn điện chạy êm. Mình cần tư vấn cách chỉnh nhiệt độ","2","5"
"tủ 4 cánh mà mua đc rẻ gì đâu. nên mua","2","5"
"Luôn tin tưởng DMX và thương hiệu Toshiba. máy xài tốt","2","5"
"Máy xài tốt","2","5"
"Giá chạy cuối năm quá shock, hời quá hời.","2","5"
"Nhân viên tư vấn tận tình, máy quá rẻ cho con 4 cánh hàng Nhật","2","5"
"Xe gthieeu cho bạn bè và ng thân","2","4"
"Tủ Toshiba này rất đẹp, làm lạnh nhanh. DMX chạy khuyến mãi nên nói đứa em ra mua thêm 1 cái nữa. Nói chung là rất ngon.","2","5"
"Mua được giá hời. Mặt kính xịn xò. Giá 15 củ. Tủ nhật giá này quá hời.","2","5"
"Tủ lạnh cũ mình cũng xài Toshiba. 15 năm rồi chưa hỏng nhưng nhỏ quá phải thay tủ to. Vẫn tin tưởng Toshiba nên quyết định mua con mới 4 cánh này. Ngoại thất mặt kính đẹp khỏi nói rồi, nội thất làm chất liệu rất chất lượng, không bị rẻ tiền. Đúng hàng Nhật có khác. Về trải nghiệm thì thấy làm lạnh nhanh. Có APP xài tiện phết. Nên mua.","2","5"
"Tủ quá yếu làm đá 3 ngày mới đông","0","2"
"Tủ lạnh khá nóng bên ngoài. Chạy có tiếng ồn,thời gian làm đầu mới mua về mất hơn 3 ngày, gọi bh rồi nhưng mỹ thuật kêu tủ nó như vậy kkk","1","3"
"Tủ lạnh rất nóng bên ngoài,có gọi bảo hành và bộ phận bảo hành nói 12 ngày đầu nhiệt độ chưa ổn định nên nóng,nay qua 2 ngày vẫn tản nhiệt rất nóng","0","2"
"Tủ lạnh rất nóng phía bên ngoài. Hối hận khi mua hãng này","0","1"
"Tủ đẹp xài ok lắm","2","5"
"mua tủ toshiba quá tệ tủ đóng tuyết đổ lỗi cho môi trường ẩm ướt ,nhân viên kỷ thuật thì ăn nói mất lịch sự ai mà có ý định mua tủ lạnh hãng toshiba thì cân nhắc được cái mã bên ngoài đẹp chất lượng quá tệ","0","1"
"Tủ không đông đá","0","2"
"Máy kém chất lượng , tiếng ồn to dù đmx đã hộ trợ đổi mới . Nhưng đều có tiếng ồn to. Cái đầu tiên tiếng ồn to liên tục . Cái thứ 2 đổi thì tiếng ồn to nhưng có thời gian nghỉ ổn hơn cái đầu tiên rất nhiều làm đá nhanh hơn so với cái đầu tiên. Mọi người cân nhắc khi mua sản phẩm trên.","0","1"
"để đá không đông nhân viên đã hỗ trợ đổi tủ khác vẫn y như cũ ngăn đá tận 3 ngày vẫn không đôngmua điện máy xanh 7năm rồi lần này thất vọng quá","0","2"
