"data","label","num_stars"
"Tủ tốt, để rau trong tủ rất lâu mà bỏ ra vẫn tươi","2","5"
"Dùng vẫn tốt,chưa thấy có vấn đề gì khác thường","2","5"
"Tủ lạnh Hitachi chạy êm nhẹ, tủ mau đông đá và làm lạnh nhanh. Cảm ơn các bạn bán hàng ĐMX tư vấn và lắp đặt tủ cho tôi tốt, cẩn thận.","2","4"
"Tủ mới mua đk 2 ngày nhưng kêu rất to, báo nhân viên qua kiểm tra thì cũng không thấy phản hồi gì làm gắt quá thì cho nhân viên qua kiểm tra qua qua r bảo về báo hãng cuối cùng mất công mất việc vẫn chả giải quyết được vấn đề gì.","0","2"
"Tủ chạy êm tốt","2","4"
"trước mắt thấy sản phẩm xài khá là ok, rau củ quả để bảo quản khá tươi","2","4"
"Tủ giữ lạnh tốt.","2","4"
"Đang theo dõi sử dụng..","2","5"
"Rất đẹp và chất lượng , sẽ giới thiệu cho bạn bè .","2","5"
"Phải qua thời gian sử dụng mới biết đc sp","2","5"
"Ok, chạy êm làm lạnh nhanh","2","5"
"Mình mua mới 10 ngày nên chưa thể đánh giá chính xác.khi vận hành thời gian qua thấy ổn,tủ chạy êm.ngăn đông và ngăn mát tác dụng đều tốt.","2","4"
"Dùng nửa tháng r, vẫn chưa có vấn đề gì, rất hợp với giá tiền","2","4"
"Hàng dùng tốt. Lạnh nhanh và máy chạy êm.","2","5"
"Tủ rộng dùng cho gia đình 4 người thoải mái,tuy nhiên cánh tủ ngăn đá có khay đựng những đồ nhỏ thì lấy sẽ tiện hơn.","2","4"
"Tủ hiện đại chắc chắn","2","4"
"Giao hàng nhanh, máy chạy êm. Chất lượng sau 1 tuần chạy ok","2","4"
"Đèn tủ lạnh rất mờ và tối, nếu để full đồ thì sẽ che hết ánh đèn phía sau khiến tủ lạnh rất tối","1","3"
"Sản phẩm tốt.nhân viên tận tình.tuyệt vời","2","5"
"sử dụng dc 1 tuần làm lạnh tốt, chưa thấy gặp trục trặc gì","2","5"
"Chạy êm, làm lạnh nhanh sâu, nói chung hài lòng.","2","5"
"Mới sử dụng thấy ổn, máy êm, làm lạnh nhanh","2","5"
"Sản phẩm này Sài rất tốt","2","5"
