"data","label","num_stars"
"Tủ rất ít đồ, gần như chạy không tải ở mức Mid nhưng hơi lạnh yếu. Đồ ở ngăn đông mềm chỉ mềm một hai ngày đầu chứ qua ngày ba trở đi thì cũng đông cứng. Hơi thất vọng","1","3"
"Tủ yếu lạnh báo về điện máy thì điện máy bảo báo hãng . Hãng lên kiểm tra bảo bình thường , các bạn muốn mua tủ này nên cân nhắc nhé Nhiệt độ của nó kém lắm mà hãng bảo bt thì mình chịu thua luôn ... Chán thật sự","0","2"
"Êm ái, mua sale được giá tốt","2","4"
"Mới mua được 1 tuần đã bị đổ mồ hôi gọi tổng đài và cửa hàng đều không được","0","1"
"Tủ ngoại hình đẹp. Chất lượng tốt. Làm lạnh nhanh không ồn không bị chảy nước không tỏa nhiệt bên ngoài. Đồ ăn ngăn lạnh ko bị đóng tuyết. Quá chất lượng so với giá tiền.","2","5"
"Sản phẩm tốt..nhân viên nhiệt tình vui vẻ..","2","4"
"Mua chưa được 1 ngày. Máy chạy rất nóng ở hai bên hông không mát Máy chạy ngắt liên tục. Cuối cùng phải đổi wa dòng máy của Samsung","0","1"
"Ngăn lạnh hơi nhỏ","2","4"
"Đang dùng trước mắt rất tốt về lâu dài sau nầy sẽ đánh tiếp","2","5"
"Tôi cũng tìm hiểu về sp của hitachi. Tôi thấy sp tốt lên mới quyết định chọn mua","2","5"
"Hình dáng đẹp, Linh kiện chắc chắn làm lạnh tốt. Còn chờ thời gian sử dụng có lỗi gì ko","2","5"
"Chất lượng tốt","2","5"
"Tủ chạy êm, lạnh nhanh, khử mùi tốt, giá hợp lý .","2","5"
"Khung tủ bị lõm, gây đọng nước bên ngoài tủ. Nhân viên CH kiểm tra chuyển hãng. Nv Hãng kiểm tra rồi đến nay sau 2 ngày vẫn chưa giải quyết xong","0","1"
"Máy hiện tại tốt","2","4"
"Hiện đang xài rất tốt","2","5"
"Dùng ban đầu thấy rất ổn định.","2","4"
"Thái độ phục vụ của nhân viên giao hàng và ráp rất nhiệt tình.","2","5"
"Tủ êm, lạnh tốt, ngăn đá lớn tiện lợi","2","5"
"Đẹp hiện tại mới mua sd chưa lâu vẫn ổn time quay lại đánh giá sau","2","5"
"Tốt lm ah. Nhân viên phục vụ nhiệt tình","2","5"
"Mới mua về đã lỗi làm đá tự động","0","1"
