"data","label","num_stars"
"Sản phẩm êm","1","3"
"Sau một tháng dùng em tủ rất ok chạy êm làm lạnh nhanh bảo quản thực phẩm tốt không lần mùi ,nhân viên nhiệt tình","2","5"
"bộ phận làm đá viên rất hay bị hỏng","1","3"
"Mới mua đc 1 tuần kiêu rất khó chịu... gọi bảo hành thì nói do máy nén hoạt động. Đủ lạnh sẽ ngưng nhưng kiêu hơn cả tuần rồi vẫn ko hết kiêu.","0","1"
"Hài lòng, sản phẩm tốt","2","4"
"Dùng ổn định, không lỗi gì","2","5"
"đã trải nhiệm sản phẩm. cơ bản tốt, giá cả ok","2","4"
"Sản phẩm rất tốt","2","5"
"Sau 1 tuần dùng thấy rất ok. Đồ ăn để ko bị mùi như tủ cũ, rất đáng tiền, mua được lúc giá dưới 30 củ. Ngon","2","5"
"tủ lạnh chạy êm, tự làm đá viên ,rất tốt","2","5"
"Máy vừa rồi hoạt động được tròn 1 tháng là bị kêu ồn lắm, mở cánh cửa tủ lạnh thì hết kêu, đóng lại thì kêu như tiếng lốc lạnh rung bần bật va vào cái gì đó Rút điện để qua đêm, sáng cắm lại thì chưa thays kêu. Đang theo dõi thêm 1 2 ngày nếu bị nữa sẽ báo hãng bảo hành xử lý.","1","3"
"Mua đc nửa tháng mà vẫn chưa dùng","2","5"
"tủ xài tốt và tiết kiệm điện","2","5"
"Dịch vụ giao hàng tốt","2","5"
"Tu lanh sd tốt","2","5"
"Tủ dùng ổn định","2","4"
"Sản phẩm Tuyệt vời","2","5"
"Sản phẩm dùng rất ok","2","5"
"Nhiệt tình chu đáo","2","5"
"Tốt . Kiểu dáng đẹp","2","4"
"Tủ đẹp, rộng rãi, nhiều chức năng rất thích !","2","5"
"Mới mua về, sau khi dùng tầm 30’ thì liên tục kêu tít tít và màn hình nhấp nháy","0","2"
"Tốt. Tiện dụng","2","5"
"Hiện tại tôi thấy sản phẩm rất OK","2","4"
"Tủ lạnh dùng được hơn chục ngày, nói chung ổn định, chưa có bất thường gì. Tủ làm lạnh nhanh, khử mùi tốt. Các chức năng xứng đáng với giá tiền. Nhân viên giao lắp cẩn thận chu đáo.","2","5"
"4 cửa tủ mở k tiện","1","3"
"Xai rat tot","2","4"
"Sài êm.. rộng rãi","2","5"
"Nv tư vấn rất nhiệt tình, giao hàng nhanh , chuẩn hàng rất ưng","2","5"
"Tủ đang hoat động tốt.","2","4"
"Hàng chất lượng Ok","2","5"
"Tiết kiệm điện chưa đánh giá được do mới","2","4"
"Tủ lạnh khử mùi chưa tốt, mặt kính khó vệ sinh, tầm giá cao mà chất lượng thì chưa thấy xứng tầm.","0","2"
