"data","label","num_stars"
"Nhân viên thì cứ chờ hãng và k thấy nỗi chị ơi vậy tủ em mua về là để ngắm à mà mở quá nhiều mà trời mưa đá thì ai uống còn khắc phục thì em k cần sửa vì cho dù có là răm 3 triệu thì em cũng là mua đô mới chứ không phải đồ lỗi hay đồ cũ cũng là tiền và uy tín của một của hàng mà họ nghĩ chắc em ra đường mua hay xao mà đùn đẩy. Đã có câu khách hàng không ưng hay sản phẩm lỗi sẽ được đổi mà nhân viên bh cho đến thợ của điện máy xanh đến tới 3 người hai người đầu kêu nỗi rồi để gọi về của hàng để họ kêu bên hãng xuống vậy mà ah thứ 3 xuống nói nhà em k đủ điều kiện về độ ẩm trong nhà và mở tủ quá nhiều","0","1"
"tủ rất tệ bị tươm nước ra ngoài mặt tủ , ngăn đông đóng tuyết ngày càng nhiều báo nhân viên vô kiểm tra đã điều chỉnh nhiệt độ lại hợp lí mà vẫn còn bị mới mua 10 ngày mà nv vô hai lần tủ vẫn bị vậy hãng LG tệ quá","0","1"
"Ngăn đông có tình trạng đóng tuyết. Mới xài ngày thứ 4","1","3"
"Mua tủ lạnh đã bảo hành đổi mới nhưng vẫn bị lỗi, tủ tươm mồ hôi, đóng tuyết mặc dù đã chỉnh nhiệt độ lại.đmx càng ngày chất lượng quá kém. Đẩy hết trách nhiệm qua Hãng","0","1"
"Tủ xài ngon, tốt mà giá lại rẻ. Nên mua.","2","5"
"Đang Xài cảm thấy ok, vừa túi tiền mà còn nhìn sang,","2","5"
"Chú giao hàng nhiệt tình, hướng dẫn tận tâm","2","5"
"Mình ko rõ ngăn đông mềm ở đâu ạ","2","4"
"Ngăn đông có tình trạng đóng tuyết.ngăn mát thì tươm mồ hôi","0","2"
"mua tủ lạnh đã bảo hành đổi mới nhưng vẫn bị lỗi tương tự như tủ trước,làm lạnh kém,tủ tươm mồ hôi mặc dù đã chỉnh nhiệt độ lại,đã ra tận cửa hàng gặp quản lý ở st đmx nguyễn an ninh 2 lần nhưng vẫn chưa có người xuống kiểm tra,đmx càng ngày chất lượng quá kém,ko có thời gian mà lên cứ hứa xong đến nay vẫn chưa thấy ai liên hệ để bảo hành","0","1"
"Tủ đông quá chậm chế độ bảo hành ko ai liên hệ củng không xuống coi","0","1"
"Có nhiều lúc rất ồn","2","4"
"bên ngăn lạnh nước rỏ rất nhiều , k rõ lý do. Nhờ kĩ thuật liên hệ xử lý dùm","1","3"
"Dùng thử rất OK","2","4"
"Dùng OK, êm và đẹp. bám vân tay ở cửa nhiều","2","5"
"Sao nó kêu e e giống như ruồi bay vậy","2","4"
"Mới sử dụng được tầm 1 ngày . Tủ đẹp , nhân viên giao hành nhiệu tình. Tủ sau khi mới gấm điện thì toả nhiệt 2 bên thành rất nóng, tuy nhiên sau tầm 34h sử dụng thì không còn . Tủ chạy êm hầu như không nghe thấy tiếng động","2","5"
"Đã mua nv tới nhà lắp đặt nhưng 2 bên chân tăng đưa được có 1 bên còn 1 bên ko chạm đất nên bánh xe mỗi khi mở tủ xê dịch ko cố định. Mình rất thích ko biết xài ntn nhưng phải trả lại vì bạn tv cái này k dc đẩy qua lại do xài ga nếu lỗi bên hãng k bh lỗi này.Nv rất nhiệt tình ko biết mn có ai bị lỗi bánh xe giống mình ko","2","4"
"dùng tốt nhé. mẫu mã đẹp.","2","5"
"Báo lỗi sản phẩm hệ thống chăm sóc khách hàng nhiệt tình chu đáo làm phiền cả lúc nghỉ ngơi chưa","0","2"
"Tủ lạnh bị đọng sương phía sau lưng, chỉ đọng ở vùng của ngăn đông, mặc dù để tủ ở vị tri khô thoáng, độ ẩm phòng dưới 65% nhưng vẫn bị","0","2"
"Mới sài thấy tủ êm.không kêu.nói chung hài lòng với giá tiền bỏ ra","2","5"
"Tủ lạnh ok lắm shop ơi. Dùng sướng lắm luôn","1","3"
"Mới dùng thấy OK","2","4"
"Tủ dùng ok tiết kiệm điện.","2","5"
"dùng thấy ổn định rất tốt","2","5"
