"data","label","num_stars"
"Tủ lạnh mua hôm 25/1 về 2 ngày thì các kệ cong nức ra. hôm nay 7/2 thì thấy đá viên làm từ sáng tới chiều 12 viên đá kiểm tra thì thấy cửa ngăn lạnh đóng không chắc, đóng cửa ngăn dưới là ngăn trên bật ra. Mong cho bảo trì kiểm tra sớm dùm.","1","3"
"Mình mua tủ lạnh từ ngày 1/1/2025 mà tủ lạnh khi bơm nước lên để làm đá tự động thì có tiếng kêu rất to,k biết là do đâu hay máy nó phải nv ạ,mình rất mong nhận đc sự giải thích từ hãng ạ,đã đổi máy mới nhưng vẫn kêu to","0","1"
"Mới mua về thì làm đá rơi dất tốt nhưng dùng chưa đc 1tháng bây giờ làm đá 1ngày 1 đêm mà đước hơn chục viên hy vọng các bạn liên hệ với tôi để giải đáp vấn đề","1","3"
"E sd dc 1 tuần cũng tạm ổn. Ngăn làm đá tự động chưa ra đá ạ..vui lòng gọi lại hỗ trợ giúp e ạ.e cảm ơn","1","3"
"Tủ lạnh sài ok nhé...","2","4"
"Từ ngày đầu mua đã máy đã không đủ lanh, mà đến bây giờ là 2 tuần rồi mà cứ xuống bảo hành là bảo máy chạy bình thường. Rõ ràng là ngăn mát không đủ lạnh, ngăn lạnh không làm đá mà cứ bảo tủ chạy bình thường. Rất thất vọng. Sẽ không giới thiệu cho bất kì ai sử dụng dịch vụ nữa dù là khách hàng lâu năm.","0","1"
"Mới dùng được hơn 2 ngày nhưng chưa thấy cục đá nào, chương trình km đc 1 cây quạt hoặc 350k nhưng ko thấy có gì, giao tủ song , kiểm tra ok là về thôi, còn chất lượng thế nào từ từ mới biết","1","3"
"Sài cũng OK","2","5"
"Tu lạnh xài ngon nhưng tuần mat hoi đong nước","1","3"
"Sản phẩm tốt","2","5"
"chỗ làm đá tự động. không làm đá. tủ lạnh đắt tiền mà chán quá. cần them sự uy tín khi mua trên mạng","0","2"
"Có bán thêm chân tủ thì ok hơn nữa ạ","2","5"
"Tốt Rất tốt","2","5"
"Sài thì ok mà cho mình hỏi sao tủ ngăn đông lại đóng tuyết","1","3"
"Vừa dùng nên chưa đánh giá đc tốt hay k nhưng tạm nói là dùng ok","2","4"
"Vừa dùng nên chưa biết tốt hay k nhưng tạm nói là ok","2","4"
"Đã sử dụng rất tốt.","2","5"
"Mua được 2 ngày cắm điện hơn 1 ngày ngăn dưới k lạnh hỏng hết đồ ngăn trên thì đóng đá oke còn làm đá tự động 1 ngày được 12 viên đã bật chế độ làm đá tự động . thấy nv bảo con này dùng oke lắm Qua thật vọng về sản phẩm nước để ngăn dưới uống k khác gì nước ở bình k có tý lạnh nào . Dù đã chỉnh ngăn mắt xuống kịch 1 độ để xem hôm nay nv lên sử lý ra sao","0","2"
"Tủ to quá tr luôn . Mát nhanh làm đã tự động tốt ạ giá ổn ạ . Ra cửa hàng nv tư vấn nhiệt tình lắm ạ . Mấy anh giao hàng cũng vậy ạ bê tủ vô xong còn đứng hướng dẫn hết rồi mới về nói chung là 10 mua hàng bên này em yên tân lắm ạ","2","5"
"Tủ chạy êm, hình thức đẹp. Mỗi tội bám vân tay quá","2","4"
"Tủ không có vấn đề gì. Chạy rất êm khử mùi rất tôt","2","5"
"Mới dùng được 2hom thấy ổn. được cái mẫu đẹp","2","4"
"Rat hài lòng","2","5"
"Tủ lạnh đẹp và rất tốt","2","5"
"Sp tốt, đáng để mua.","2","4"
"Tủ đẹp .chạy êm. nhân viên giao hàng ko hướng dẫn xả e chỗ lm đá tự động làm 2 ngày ko lm đc đá.phải gọi cho bảo hành của hãng hướng dẫn nhiệt tình","2","4"
"Tủ chạy êm, chức năng ổn","2","5"
