"data","label","num_stars"
"mẫu mã đẹp, không gian sử dụng hợp lý cho gđ, tiết kiệm điện","2","5"
"Đối với tủ lạnh này giá cao do tiêu dùng không tốt như đã là tiêu chuẩn 5sao 1chi tiết nhỏ lại không làm cho sản phẩm không tốt ... từ trước tới giớ tôi luôn lựa chọn dien may xanh nhưng từ khi mua tủ lạnh này sử dụngkhông như muong muốn và cách xử lý không thích đáng với khách hàng từ đây tôi sẽ không cân nhắc giới thiệu tiêu dùng của hãng điện máy xanh cho gia đình và bạn bè ,... thất vọng","0","2"
"Tủ lạnh chạy tốt , tiết kiệm điện","2","5"
"Tủ lạnh được thiết kế với các ngăn có chức năng riêng biệt rất hợp lý. Chế độ điều khiển riêng từng khu vực rất hữu ích. Tính năng làm đá tự động khá hữu, đặc biệt với gia đình đông người vào mùa hè. Thiết kế hiện đại, bắt mắt.","2","4"
"Sản phẩm sử dụng rất tốt, các công nghệ hỗ trợ bảo quản thực phẩm cũng như khử mùi chạy rất ổn định.","2","5"
"Thiết kế tủ đẹp, hợp lý. Tủ chạy êm, khử mùi tốt, ngăn đông mềm tôi rất ưng ý. Đội ngũ nhân viên nhiệt tình chuyên nghiệp. Tôi srx giới thiệu cho người thân và bạn bè.","2","5"
"Sáng xịn sd tốt nên mua Làm lạnh tốt , làm đá và nc nhanh giữ dc thực phẩm tươi tốt mức già khá ổn","2","5"
"Rất tốt, chạy êm, tiết kiệm điện, nhanh lạnh nữa, sản phẩm đáng đồng tiền lắm, Mn nên sử dụng","2","5"
"Tủ thiết kế đẹp. Nhiều tính năng. Dễ sử dụng. Hiện tại mùa đông nên chưa đánh giá được kỹ tính năng làm đá. Các tính năng của tủ rất hữu dụng, nếu có phiên bản dung tích lớn hơn thì càng tốt","2","5"
"Sản phẩm tốt,êm,làm đá nhanh,tiện lợi! Còn tốn điện hay o thì chưa biết vì mới mua lên chưa theo dõi được","2","5"
"Mẫu mã đẹp! Cả nhà đều thích! Xài ok! Thích phần ngăn đông mềm- rơi đá tự động nhanh!!","2","5"
"Tủ thiết kế đẹp,tiết kiệm điện nhân viên nhiệt tình, sẽ giới thiệu cho người khác","2","5"
"Rất hài lòng với sản phẩm, sử dụng hiệu quả,rất tốt! Đánh giá cao chất lượng sản phẩm 👍","2","5"
"Gia đình tôi đã sử dụng tủ lạnh PNASONIC từ mấy năm nay, nay có nhu cầu mua thêm tủ lạnh có ngăn đông mềm, làm đông nhanh, tôi đã mua dùng và thấy rất tuyệt vời, sẽ giới thiệu cho bạn bè và người thân cùng mua sản phẩm","2","5"
"thiết kế đẹp, kích thước phù hợp cho gia đình 4 thành viên, tuy nhiên mặt kính hơi khó lau chùi","2","5"
"Sản phẩm rất tốt ạ, gia đình chúng tôi rất hài lòng, tủ có rất nhiều chức năng, bảo quản thực phẩm cực kì tốt ạ","2","5"
"Tủ lạnh hoạt động êm, nhiều tính năng, tiện dụng, có 3 ngăn mở riêng biêt, thiết kế đep. Tôi thích nhất bố trí ngăn đông mềm riêng biệt rất tiện lợi.phù hợp với gia đình.","2","5"
