"data","label","num_stars"
"Đã dùng được một thời gian, thấy sản phẩm hoạt động tốt chưa gặp vấn đề gì đặc biệt. Ngoài ra, ngăn lấy nước ngoài khá tiện trong ngày hè","2","4"
"Máy hoạt động ồn còn các thứ khác thì đc","1","3"
"Ok nước kháng khuẩn ok","2","4"
"liên hệ giúp m. m để mức thấp nhất mag trái cây toàn bị đông đá","2","4"
"Mỗi tội máy quẹt thẻ ko sài được","2","5"
"Máy tốt nha mọi người","2","5"
"Tủ lạnh chạy ồn. Có tiếng hú. Có lúc tôi phải rút điện buổi tối cho dễ ngủ. Tôi quay video có tiếng ổn gửi đi. Điện Máy Xanh đến xem, xác nhận có ồn. Hãng Panasonic đến ,nói là model kiểu này có tiếng máy như thế. Rồi tôi phải làm sao? Tủ lạnh này hơn 12 triệu. Ai chỉ giúp tôi cách liên hệ với Hội bảo vệ người tiêu dùng với ạ. Tôi không biết phải làm sao.","0","2"
"Tủ chạy hơi ồn","2","4"
"Sản phẩm sử dụng tốt trong tầm giá, khay lấy nước ngoài tiện lợi","2","5"
"Rất hài lòng","2","5"
"Tủ mới mua dc 3 tháng. Mới đầu dùng ok. Bây giờ bị đóng tuyết nặng. Mà sản phẩm là hệ k đóng tuyết","1","3"
"Tủ Hoạt Động Khá Êm.Thiết Kế đẹp..Mặt Gương Sang Trọng,Lấy Nước Ngoài Tiện Lợi,Trong Tầm Giá Nên Chọn Panasonic. Chất Lượng Tốt Nhất Tại Thời điểm Hiện Tại","2","5"
"Máy chạy êm, lạnh, tiết kiệm điện, xài tốt, sẽ giới thiệu cho người thân mua sửng dụng trong thời gian tới.","2","5"
"Nhân vien tư vấn nhiệt tình. Tủ lạnh hoạt động tốt, chạy êm, làm lạnh nhanh. Sẽ giới thiệu cho người thân và bạn bè sử dụng","2","5"
"Sp rất ok nha. Tu pana chat luong đáng tiền. Mua tặng gia đình mẹ tôi rất thích. Tủ to đựng dc nhiều đồ nhà 4-5 nguoi dung hop lý","2","5"
"Tủ có màu sắc đẹp, thích hợp cho cả gia đình, nhất là các bé nhỏ lấy nước không cần phải mở tủ","2","4"
"Tủ dùng ok, làm đá nhanh ngăn lạnh rộng, máy chạy êm hàng ổn áp tiết kiệm điện vvvvvv vvvvvv","2","5"
"Tù lạnh tốt, làm lạnh nhanh, phù hợp cho gia đình 3 4 người. Làm đá cực nhanh, khử mùi tốt. Rất đáng mua","2","5"
"Làm lạnh êm, tiết kiệm điện.Màu đẹp, làm đá nhanh cực. Dành cho gia đình 3 4 người rất hợp lí","2","5"
"Mới lấy cảm thấy Tủ to rộng . Mà ngăn lạnh không được lạnh cho lắm mặc dù đã để ở mức to nhất . 1 2 hôm đầu bị rỉ nước chỗ lấy nước ngoài","1","3"
"Mới dùng thấy rất ổn áp nhen, để thức ăn nhiều tủ vẫn rất tươi mát, không bị mùi. Nhưng để về lâu dài xem thế nào","2","4"
"Máy chạy êm ,nhân viên tư vấn nhiệt .tình tủ không để lại mùi thực phẩm nhiều làm đá nhanh các hộp đựng thực phẩm hợp lý","2","5"
"Tủ lạnh mua về sử dụng tầm 1 tháng rất tốt, kiểu dáng đẹp, chạy êm không ồn tí nào, làm lạnh nhanh, ngăn lấy nước về lúc đầu rỉ nhẹ xong vài bữa là hết. Mình rất hài lòng sản phẩm này.","2","5"
"Hài lòng nhất ở sản phẩm là làm đá nhanh lại còn tiết kiệm điện, tủ rộng nhiều ngăn phân loại khác nhau, bảo quản thực phẩm tốt. Nhân viên tư vấn nhiệt tình, giá cả vừa phải, hợp lý","2","5"
"Máy chạy êm, nhân viên tư vấn nhiệt tình, giao hàng đúng giờ, thiết kế sang trọng, ngăn lạnh rất tốt. Rất hài lòng.","2","5"
"Hoạt động tốt, máy chạy êm, tiết kiệm điện,làm đá nhanh, bảo quản thực phẩm tốt Nhân viên tư vấn nhiệt tình","2","5"
"Rất hài lòng về sản phẩm này làm đá nhanh tiến kiệm điện bảo quản thực phẩm tốt mình sẽ giới thiệu tủ lạnh này cho người thân và bạn bè","2","5"
"Tủ lạnh panasonic sài rất tốt và tiết kiệm điện...sẽ giới thiệu người nhà mua sản phẩm này","2","5"
"Mình mua tủ lạnh được hơn 2 tháng rồi, mẫu mã đẹp, máy chạy êm, khử mùi tốt, làm đá nhanh, nhân viên ĐMX tư vấn rất nhiệt tình, dễ thương nữa, nói chung rất hài lòng. Sẽ giới thiệu cho bạn bè và người thân.","2","5"
"Tôi rất thích thương hiệu này lâu rồi mà nay mới có khả năng sử dụng đến tủ lạnh Panasonic. Sử dụng rất tuyệt mời mọi người nào","2","5"
"Rất tốt mình sẽ giới thiệu cho người thân và bạn bè .dùng rất nhanh mát và tiết kiệm điện","2","5"
"Tủ chạy êm, mẫu mã đẹp, nhân viên đxm nhiệt tình dễ thương giá cả hợp lý, nhưng mình thấy có vẻ bị đóng tuyết","1","3"
"Lúc đầu vợ cự quá, về sử dụng vợ lại khoái 👍về lâu dài chưa biết sao, giờ thì mọi thứ ok","2","5"
"Máy tốt có chỗ lấy nước ngoài rất tiện, màu sắc đẹp, Tu rất êm tiết kiệm điện , nhân viên tư vấn nhiệt tình sẽ giới thiệu cho người thân bạn bè về sản phẩm này","2","5"
"Chạy êm hoạt động rất tốt để được nhiều thực phẩm kiểm soát được mùi rất tốt tôi sẽ giới thiệu cho bạn bè và người thân mua và sử dụng","2","5"
"Tủ lạnh hoạt động rất ổn định, làm lạnh nhanh; đặc biệt có ngăn cách mùi ở tủ đông khiến mình rất hài lòng","2","5"
"Sản phẩm tốt, tiết kiệm điện, làm đá nhanh sẽ giới thiệu cho bạn bè, phù hợp cho mọi nhà!!","2","5"
"Tủ lạnh gia đình e dùng rất thíc rất ưng ý ạ, làm lạnh nhanh và khử mùi rất tốt luôn","2","5"
"Tủ rất êm tiết kiệm điện , nhân viên tư vấn nhiệt tình sẽ giới thiệu cho người than bạn bè","2","5"
"Mẫu mã đẹp,khử được mùi của thức ăn,thích nhất là ngăn đông có ngăn đựng thực phẩm khép kín.Giá cả hợp lí.Nhân viên hỗ trợ nhiệt tình","2","5"
"Tôi mua tủ lạnh này được 1 tháng rồi, tủ chạy êm, bảo quản thực phẩm tốt, không mùi, tiết kiêm điện.","2","5"
"Tủ chạy êm làm lạnh nhanh và mọi thứ đều ok và có tiết kiệm điện nhân viên tư vấn nhiệt tình tôi rất ưng ý với sản phẩm","2","5"
"Rất hài lòng khi sử dụng , vừa tiết kiệm điện được một phần Tiện ích với các công dụng bên trong An toàn về thực phẩm khi có công nghệ kháng khuẩn","2","5"
"Sản phẩm tốt, hoạt động ổn định, tiết kiệm điện, nhân viên chăm sóc khách hàng tốt, nói chung là hài lòng, sẽ giới thiệu cho người thân.","2","5"
