"data","label","num_stars"
"Nhà mình sài tủ lạnh pana đc 20 mấy năm nay,gđ đag sài 1 cái tủ nhỏ hđ bt ổn áp,xây nhà mới gđ qđinh đổi sang 1 cái tủ to hơn để đáp ứng nhu cầu sd,mua về hôm trc hôm s tủ tơm nước mặt trước sau và trên nốc tủ,đã gọi bảo hành nhìu lần nhưng chỉ xuống xem qua loa r đi về k giải quyết dứt điểm cho mình,pana là hãng lớn mà h lm ăn như thế này rất thất vọng.mình mong hãng đưa ra hướng giải quyết đừng đổ trách nhiệm cho khách.và khí hậu moi trường","0","1"
"Cho mình hỏi sao đụng vào tủ có cảm giác điện giật bị tê tê","2","4"
"Siêu tiết kiệm điện luôn á làm lạnh cũng nhanh rất ưng cái tủ lạnh này","2","5"
"Mọi thứ điều ổn chỉ có máy nén kiêu to và ồn quá","1","3"
"Tủ làm đá chậm, chạy cả ngày lẫn đêm, đôi lúc có tiếng kêu bụp bụp bụp ở sau, nghe ko ổn. Mình mới mua chưa được 1 tháng nên chưa xem độ hao điện được.","0","2"
"Tôi rất hài lòng khi dùng sản phẩm","2","5"
"ngăn mát và ngăn đá đều rộng rãi và ok","2","5"
"Rất hài lòng sản phẩm","2","5"
"Sản phẩm tốt.sài ổn định","2","5"
"Máy chạy rất tốt .chổ để đồ rộng làm lạnh nhanh","2","5"
"Sản phẩm sử dụng tốt, rất hài lòng","2","5"
"Tủ lạnh hoạt động rất em, bảo quản thực phẩm tốt, làm đá nhanh chóng, tiết kiệm hiệu quả, sẽ giới thiệu bạn bè, người thân","2","5"
"Làm lạnh nhanh, chạy êm","2","5"
"Mua được 1 tháng, máy chạy êm, nhìu tính năng thông minh","2","5"
"Sản phẩm dùng rất tốt. Tiết kiệm điện . Làm đá nhanh","2","5"
"Nhà mình mua tủ lạnh Pana NRTL381VGMV từ tháng 10/2023 đến hiện tại rất ưng luôn, với các ngăn tủ rộng rãi đặc biệt là bảo quản thực phẩm tốt, làm đá nhanh chóng và tiết kiệm điện hiệu quả. Sản phẩm rất đáng tiền mua","2","5"
"Mình xài rất tốt tôi hài lòng với dòng máy này ngăn dá đông rất nhanh.nói chung là rất tốt","2","5"
"Tốt rất hài lòng","2","5"
"Tôi sẽ giới thiệu sản phẩm cho người thân","2","5"
"Sản phẩm rất tốt máy chạy ok. Tin dùng sản phẩn của panasonic","2","5"
"Tủ đẹp , xài rất tốt","2","5"
"Hàng dùng tốt ạ, cả nhà mình đều chỉ dùng panasonic","2","5"
"Máy dùng tốt, chế độ làm mát nhanh, hiệu quả","2","5"
"tủ lạnh đẹp sài vài tháng nhưng tủ lạnh vẫn tốt không có vấn đề gì. Rất hài long","2","5"
"Mua tủ lạnh dùng được 4 tháng không có vẫn đề gì. Rất hài lòng.","2","5"
"Tủ lạnh chạy êm, dùng tốt","2","5"
"Tủ xài rất tốt tui hài lòng với sản phẩm này","2","5"
"Sản phẩm dùng rất tốt","2","5"
"Rat hai long","2","5"
"Máy êm. Làm lạnh nhanh. Hài lòng","2","5"
"Làm lạnh nhanh, mặt kính đẹp","2","5"
"Máy chạy êm , rộng rãi, nhà mình vẫn trung thành với Panasonic .","2","5"
"Sản phẩm dùng tốt, rất hài lòng về chất lượng sản phẩm","2","5"
"Mình mua chiếc này vào ngày 1/11/2023 đến hôm nay là ngày 2/2/2024, từ lúc mua về đến hôm nay là cứ 1530 phút máy lại chạy lại 1 lần do là tủ lạnh inverter. Mỗi lần chạy là kêu ù ù nhức hết cả đầu.Thợ của hãng đến check thì báo là bình thường. Tủ nào của panasonic cũng kêu như vậy hết. Giờ anh đổi sang cái khác thì nó cũng kêu như thế này. Vậy là do ko muốn mất 20% phí đổi trả sang sản phẩm khác nên mình không đổi nữa. Nhưng mà sự thực tủ này quá ồn các bạn ạ. Ù ù như tiếng máy bay cả ngày. Cứ 1530 phút nó lại kêu trong vòng 2030 phút xong lại nghỉ, xong lại kêu tiếp. Thực sự nhức đầu. Khuyên các bạn nên mua hãng khác, đừng mua pana quảng cáo thì hay mà có cái tiếng ồn thì không xử lý được.Cảnh báo là rất ồn đấy các bạn ạ","0","1"
"Máy mới mua về 1 ngày, bắt đầu phát ra tiếng ù ù cả ngày, rất đau đầu, đau tai. Gọi kỹ thuật DMX qua, không xử lý được Kỹ thuật hãng Panasonic qua, gần 3 tiếng không giải quyết được. DMX không có động thái hỗ trợ thích hợp. Chính sách hỗ trợ trong 30 ngày đầu, nhưng có vấn đề thì đổ cho Hãng.Mọi người cân nhắc trước khi mua dòng sản phẩm này nhé. Mình đã mua sản phẩm này ngày 13 Jan 2024, và cực kỳ hối hận","0","1"
"Tủ mình mua gần 2 năm rồi. Tủ to, để đồ thoải mái, máy chạy êm và làm lạnh nhanh. Kiểu dáng tủ đẹp, sang. Nói chung mình rất hài lòng.","2","5"
"Hài lòng với sản phẩm, thiết kế các ngăn đẹp phù hợp và thuận tiện , làm đá nhanh","2","5"
"M k tin tưởng đã dặn nv rất kỹ đừng giao hàng lỗi, vì trước đó m mua sp đã giao hàng trầy xước cho m trong khi m đều mua hàng mới 100%. Kết quả như m nghĩ, giao cho m cái tủ lạnh gắn điện vào kêu rầm rập như luộc nồi trứng vậy, kêu mà đêm cả nhà k ngủ được. Gọi tổng đài 85 lần k thấy nv đến kt, hẹn qua hôm sau. Lúc giao hàng thì k thấy hẹn. Bảo là lỗi 1 đổi 1 trong 1 tháng. Mà k nói là phải qua kt 2 lần : nv kt đmx kt rồi phải có biẻn bản kt của nv hãng panasonic kt nữa mới cho đổi. Vậy mua cái tủ thì thanh toán nhanh , giờ lỗi kéo dài k bít bao lâu mới đổi đây. Nhà m gọi cả xóm lại hỏi xem tủ nhà ai kêu vậy k, ngta hỏi mua ở đâu để ngta né chỗ đó ra. Mua hàng mà chuốc bực, phiền, mất thời gian vào người.","0","1"
"Máy dùng được 2 tháng. Vận hành êm. Chỉ tiếc là không có ngăn đông mềm","2","5"
"Hiện tại dùng thấy rất ok.","2","5"
"Tủ đông làm đá hơi lâu đông","2","4"
"Mua sản phẩm nào ở DMX cũng được CSKH tốt, sản phẩm ok.","2","4"
"Sản phẩm tốt, mẫu mã sang trọng","2","5"
"Sử dụng vài ngày bị đông đá ngăn đông, tuy nhiên hãng đã qua khắc phục. Hiện sd tốt","2","5"
"Giao hàng nhanh chóng, sản phẩm ok máy chạy êm lắm chưa có gì bất thường","2","5"
"Sản phẩm tốt","2","4"
"Sp tốt, hơi phiền chút về cách xử lý cv của các bạn nv, phải đợi chờ hơn 3 tiếng đồng hồ mới giải quyết được","2","5"
"Sản phẩm tốt.","2","4"
"Rất tốt và đẹp.","2","5"
"Máy chạy êm.nước đá mau đông.điện năng thì chưa biết hao nhiều k vì mới mua 2 tuần nên chưa đánh giá đc","2","4"
"Mình mua cái thứ 2 rồi, khá ưng ý sản phẩm này, thiết kế đẹp, tiết kiệm điện, bảo quản thực phẩm tốt, khử mùi tốt.","2","4"
"Nhìn đẹp, rộng , dùng đc. Có đủ hơn 14tr thì mua đc. Mua cho mẹ đẻ nên k có hình.","2","4"
"Kiểu dáng đẹp, sang trọng","2","5"
"Tủ lạnh rất tốt và êm","2","5"
"Tủ lạnh dùng ok chạy êm làm đá nhanh khử mùi ổn nên dùng","2","5"
"Ok dùng rất ok","2","5"
"Tủ lạnh xài tốt","2","5"
"Dùng tốt tôi hài lòng về sản phẩm","2","5"
"Hài lòng khi mua sản phẩm","2","5"
"Sản phẩm tốt,máy chạy êm,tiết kiệm điện, giá cả hợp lý. Nhân viên tư vấn nhiệt tình chu đáo, sẽ giới thiệu sản phẩm cho bạn bè và người thân","2","5"
"sản phẩm hình thức rất đẹp, bảo quản lạnh tốt, không có mùi và tiết kiệm điện","2","5"
"Sản phẩm tốt","2","5"
"Qua hơn 1 tuần sử dụng tủ lạnh tôi cảm thấy tủ lạnh rất tốt, tôi thật sự hài lòng về sản phẩm.","2","4"
"Tủ hoạt động êm,làm lạnh nhanh,mẫu mã đẹp,sang trọng. Sẽ giới thiệu cho người thân sử dụng","2","4"
"Sp dùng rất êm. Với các thiết kế tinh tế vững chắc. Và tủ làm đông đá rất nhanh.bà xã tôi rất hài lòng với chiếc tủ lạnh thương hiệu Panasonic.","2","5"
"Sản phẩm tuyệt vời, máy chạy rất em, làm lạnh tốt. Đồ ăn tươi ngon để được nhiều ngày. có ngăn làm đá rất ưng. để đồ đông lạnh OK luôn","2","5"
"Hoạt đông tốt,máy chạy êm,tiết kiệm điện giá cả hợp lí.Nhân viên tu van nhiet tinh chu đáo.Sẽ giới thiệu sản phẩm cho bạn bè va người thân.","2","4"
"Sản phẩm của Panasonic mình cưc kì an tâm, mua cho mình 1 cái , mẹ 1 cái ơ quê, máy chạy êm, tiết kiệm điện, nhân viên nhiệt tình","2","5"
"Máy chạy êm, tiết kiệm điện,bảo quản thực phẩm tốt, làm đá nhanh.tôi hài lòng về sản phẩm này","2","5"
"Tử chạy êm hoạt động tốt giá cả ok nhân viên tư vấn nhiệt tình chu đáo sẽ giới thiệu cho bạn bè và người thân","2","5"
"Bề mặt tủ ngăn đá có 1 lỗ thủng nhỏ được vá lại bằng silicon. Lúc máy chạy không ồn nhưng có tiếng hơi chói tai.","2","4"
"Sản phẩm tốt, máy chạy êm, làm lạnh nhanh. Tiêu thụ điện thấp Nhân viên tư vấn nhiệt tình, giao hàng nhanh chóng trong mùa dịch","2","5"
"Hoạt động tốt máy chạy em tiết kiệm điện kiểu dáng sang trọng giá cả hợp lí nhân viên tư vấn nhiệt tình chu đáo tôi rất hài lòng với sản phẩm","2","5"
