"data","label","num_stars"
"Mình rất hài lòng sản phẩm Panasonic","2","5"
"Hình thức đẹp bố trí bên trong gọn gàng , làm mát nhanh . Tiết kiệm điện.","2","5"
"Thiết kế sản phẩm đẹp, sang trọng, hiện đại. Tiết kiệm điện tốt Không bị mùi thức ăn, bền. Đáng tin cậy","2","5"
"Tủ đẹp, máy chạy êm , bảo quản thức ăn tốt","2","5"
"Tiết kiệm điện Thiết kế đẹp Bảo quản thực phẩm ok","2","5"
"San pham đẹp bền vs rat tiet kiêm điện","2","5"
"Tủ rất tốt xài rất ok máy chạy im","2","5"
"Tủ đẹp, lồng sâu để được nhiều đồ, máy chạy im","2","5"
"Mình mua tủ lạnh Panasonic ở điện máy xanh dùng ổn định tốt","2","5"
"Tủ lạnh đẹp,tiện lợi,đông nhanh,nhanh lạnh","2","5"
"Tủ lạnh đểu vừa mua đã hỏng. Điện máy xanh chăm sóc khách hàng rất tệ, vô trách nhiệm và không giữ chữ tín, lúc mua thì bảo 1 đổi 1 trong vòng 1 tháng. lúc nhận hàng thì sản phẩm lỗi, đã có biên bản của hãng xác nhận lỗi do nsx nhưng điện máy xanh vòng vo không giải quyết. Mọi người nên chọn cửa hàng khác uy tín để mua.","0","1"
"Chưa xài mới đem về thấy móp","0","1"
"phải nói rất ưng cái bụng, bỏ tiền ra ko hề tiếc chút nào từ thái độ nhân viên lẫn chất lượng sản phẩm. Công nghệ inverter đã biết từ lâu nhưng nay kết hợp với Econavi thì đỉnh của chóp, Nói 1 cách dễ hiểu là máy ko tiêu thụ điện luôn mình đã test kẹp dòng nếu ko mở cửa nhiều econavi sẽ làm cho inverter thuần túy tiết kiệm hơn , còn khi chạy bth chỉ chạy 0.5A","2","5"
"Sản phẩm rất tốt, vận hành rất êm","2","5"
"Mới mua hôm qua. Máy chạy êm...","2","4"
"Mới mua được 5 hôm bắt đầu cắm dùng dc 2 hôm. Cứ cắm là điện trong nhà thỉnh thoảng nháy nháy. Gọi bảo hành thì bảo kiểm tra dây nguồn tổng nhà . Đã gọi thợ lắp điện nhà ra kiểm tra 1 lượt không vấn đề ko bị lỏng lẻo. Nhà mới máy hàn họ hàn thoả mái.tủ lạnh thì có 100w. Tại sao lại cứ cắm vào là thi thoảng lại bị sụt điện , bóng điện cứ nhấp nháy. Đang theo dõi thêm xem tình hình. Ko biết mọi người sử dụng có bị vậy ko. Cho em xin lời trải nghiệm ạ. Tks ạ","1","3"
"Sản phẩm tốt.","2","4"
"Sản phẩm tốtmáy chạy rất êm","2","4"
"Máy kêu to, máy k êm","1","3"
"Dùng thấy ok","2","4"
"Tủ đọng nước (do thất thoát nhiệt), và thỉnh thoảng kêu ồn (rất to) từ lúc sau 1 ngày nhận hàng. Nhưng cả Panasonic và ĐMX đều thoái thác bảo hành, đổ lỗi do thời tiết đồng thời biện minh những thứ đó là ""bình thường"" (Không ngờ thương hiệu lớn cùng với ĐMX đều bán những thứ ""bình thường"" như thế). Thất vọng cùng cực với cả Panasonic và ĐMX.","0","1"
"Tủ lạnh tốt, tiết kiệm điện, bảo quản thực phẩm lâu hơn, để rau củ được tươi lâu","2","5"
"Tủ lạnh nhìn rất đẹp, sang, có lấy nước ngoài rất tiện. Máy chạy êm, tiết kiệm điện. Sẽ giới thiệu bạn bè mua sử dụng.","2","5"
"Tủ lạnh tốt sử dụng êm , khử mùi hôi tốt, chế đồ làm lạnh nhanh","2","5"
"Tôi đang dùng nó và rất hài lòng","2","5"
"sản phẩm rất êm tiết kiệm điện đáng mua","2","5"
"Tủ dùng rất tốt","2","5"
"Sản phẩm thật sự tuyệt vời","2","5"
"Rất tốt k có vấn đề gì ạ","2","5"
"Tủ đẹp chạy êm rất ok","2","5"
"Mình đã dùng và thấy rất ok","2","4"
"sản phẩm hoạt động tốt, máy chạy êm, giao hàng miễn phí tận nhà","2","5"
"Sản phẩm dùng rất tốt","2","5"
"Rat hai long","2","4"
"Sản phẩm này rất tốt tiết kiệm điện làm đá nhanh","2","5"
"Thiết bị hoạt động tốt","2","5"
"Sản phẩm dùng tốt ngắn đá không bị đóng tuyết ngắn mat cũng không bị đóng băng sản phẩm dùng dất OK tôi sẽ giới thiệu cho bạn bè người thân sử dụng","2","5"
"Tủ rất đẹp, làm lạnh tốt, máy chạy êm. Tôi rất hài lòng.","2","5"
"Tôi rất hài lòng về sản phẩm .sử dụng dễ dàng, tiện lợi.","2","4"
"Hài lòng sản phẩm tốt","2","5"
"Máy chạy êm không nghe mùi. Mình sẽ giới thiệu cho bạn bè","2","5"
"Tủ dùng tiết kiệm điện hơn, công năng sử dụng tiện ích, khoang chứa rộng rãi thoáng. Nếu tủ kt như vậy nhưng ngăn đông ở dưới thì mình sẽ thích hơn :)","2","4"
"Tủ lạnh đẹp, sang trọng, tiện ích","2","5"
"Làm lạnh nhanh chóng ti","2","5"
"Rất tốt, sử dụng ok","2","5"
"Sản phẩm rất tốt","2","5"
"Sản phẩm thích hợp vs ng dùng","2","5"
"Tủ lạnh dùng rất tốt, m mua được 2 tháng và không có vđ gì phát sinh, có ngăn đựng đồ tươi bảo quản đc lâu","2","5"
"Sản phảm rất tốt","2","5"
"Tu lạnh Panasonic lnverter 405 lít sử dụng rất tốt như giữ lạnh nhanh điều hòa êm thoáng rộng","2","5"
"Sản phẩm rất tốt.. rất ưng ý","2","5"
"Tủ lạnh rất tốt xài bền, làm đông nhanh, khử khuẩn tốt, chỗ rộng rãi. MN nên sử dụng","2","5"
"Tốt xài bền rất ok","2","5"
"Nói chung là nhân viên tiếp khách hàng.vui tươi niềm nổ.cn sản phẩm của hãng Panasonic sử dụng rất tuyệt","2","4"
"Tủ lạnh chạy êm, độ lạnh tốt, ổn định. Tuy nhiên liệu, nếu có 2 khay đựng nước thì tốt hơn.","2","4"
"Tủ lạnh bên mình rất ok .cả về phục vụ khách hàng","2","5"
"Tủ chạy êm, thức ăn để tươi","2","5"
"Tủ lạnh sài rất tốt luôn nha","2","5"
"Sản phẩm hài lòng chất lượng cao","2","5"
"Sẽ giới thiệu cho bạn bè, người thân","2","5"
"sản phẩm rất tốt, giá phù hợp, làm lạnh nhanh, tiết kiệm điện","2","5"
"Sản phẩm sử dụng tốt. Rất hài lòng","2","5"
"Rất hài lòng","2","5"
"Tủ xài ngon, thiết kế đẹp, tính ổn định và độ bền cao. Rất hài lòng.","2","5"
"Làm lạnh tốt, làm đá siêu nhanh","2","5"
"Tủ LẠNH panasonic 405 lít xài rất tốt","2","5"
"Tủ lạnh đẹp nhưng mùi tủ lạnh bay khắp lên ngăn đá","1","3"
"Mới mua được 3 ngày , trước mắt là nghe tiếng máy chạy ồn quá...máy đắt tiền mà chạy kêu to thế này thì không ổn lắm..","1","3"
"Chờ sử dụng thêm vài ngày nửa","1","3"
"Hiện tại máy đang hoạt động ổn Đinh a","2","5"
"rất hài lòng về sản phẩm","2","5"
"Mua ve chay max luon mà ngăn mát lạnh vừa thoi, để rau rất dễ hư. Tủ có ngăn đông mềm chay tb thôi đã lạnh hơn","0","2"
"Rau củ để ngăn mát mà bị thế này. Hãng kêu là tủ lạnh bình thường. Mọi người nghĩ sao ah. Chúng nó sản xuất kiểu gì","0","1"
"Sản phẩm rất tốt,sài rất êm, máy chạy rất ổn định, làm đá rất nhanh.sài rất hài lòng mình sẽ giới thiệu cho bạn bè người thân cùng sử dụng sản phẩm này.. rất xứng đáng giá tiền bỏ ra","2","5"
"Tủ lạnh hoạt động rất êm,tủ bảo quản thực phẩm rất tốt, làm đá nhanh tiết kiệm điện rất OK","2","5"
"Sản phẩm sử dụng tốt. Tiết kiệm điện . Thực phẩm bảo quản vẫn còn tươi sau 1 tuần. Có ngăn lấy nước bên ngoài rất tiện khi sử dụng","2","5"
"Máy chạy rất tốt và tiết kiệm điện ít hao điện làm đá rất nhan tủ lạnh rất êm ái tôi cực kỳ thích sản phẩm này tôi sẽ giới thiệu sạn phẩm này cho người thân sài","2","5"
"Dễ sử dụng, máy chạy êm, không gian bên trong rộng rãi. Đặc biệt có cần gạt lấy nước ở ngoài rất tiện.","2","5"
"Tủ lạnh dùng tốt. Ít tốn điện. Khử mùi tốt. Không gian để đồ rộng rãi. Làm đá nhanh","2","5"
"Rất dể sử dụng,nội thất rộng tiện ích cho việc dự trử thức ăn 1 tuần,tôi rất hài lòng khi sử dụng sản phẩm này.","2","5"
"Máy chạy tốt. Tiết kiệm điện. Nhân viên tư vân nhiệt tình phục vụ tốt. Sẽ giới thiệu bạn bè mua.","2","5"
"Máy chạy êm, tiết kiệm điện, khử khuẩn tốt, để lâu không có mùi hôi, làm đá cực nhanh","2","5"
"Hài lòng về tủ lạnh pấnonic inverter 405 lít nr- t tui sẽ giới thiệu bạn bè mua sản phẩm này","2","5"
"Tủ lạnh hoạt động rất êm , làm đá nhanh , ngăn mát chứa được nhiều đồ . Để thực phẩm sống không có mùi hôi . Sản phẩm đáng để mua","2","5"
"Tủ hoạt động công suất tốt, tiết kiệm điện, giữ thức ăn đc lâu mà lại có chức năng khử khuẩn ko bám mùi Mẫu mã tủ lại sang trọng đẹp nữa","2","5"
"Mẫu mã đẹp, dung tích lớn , đựng đc nhiều đồ ăn Khi hoạt động tủ êm không có âm thanh quá ồn Đá được làm lạnh nhanh Kích thước phù hợp với phòng bếp gia đình","2","5"
"Máy chạy êm, tiết kiệm điện, làm đá nhanh, khử khuẩn tốt, để lâu không có mùi hôi","2","5"
"Tủ lạnh Panasonic NR-TX461G chạy rất êm, tiết kiệm điện. Bảo quản thức ăn tốt. Tôi sẽ giới thiêu cho bạn bè và người thân","2","5"
"Làm lạnh nhanh chứa nhiều thúc phẩm màu sạc đẹp, Nhân viên nhiệt tình. Giao hàng nhanh","2","5"
"Tủ lạnh hoạt động rất êm.bảo quản thực phẩm rất tốt.làm đá rất nhanh.rất tiết kiệm điện","2","5"
"mẫu mã đẹp, vận chuyển nhanh, nhân viên giao hàng nhiệt tình, máy chạy êm, nội dung đánh giá quá ít, vui lòng nhập thêm nội dung đánh giá về sản phẩm","2","5"
"Thiết kế đẹp,tính tiện dụng cao. Rất phù hợp cho các gia đình sử dụng. Tối rất thích sản phẩm này.","2","5"
"Hoạt động tốt,máy chạy êm,tiết kiệm điện,giá cả hợp lý.Nhân viên tư vấn nhiệt tình chu đáo.Sẽ giới thiệu cho bạn bè và người thân sử dụng.","2","5"
